spec,n,beta,t,p,r2
h=1,977,-6.11165691887947e-07,-0.6351026236265128,0.525361486038969,0.012980254870907149
h=5,973,-1.4039243313404247e-07,-0.15615238974327617,0.8759129037613617,0.033483482606430415
h=22,956,-1.589689802366282e-07,-0.2027996429273376,0.839291637040106,0.10456135202925398
