currency,T_days,wknd_frac,moneyness,eff_time_frac,vol_weekday,vol_weekend,vol_cut_pct,vol_cut_points,elasticity,prem_weekday_pct_fwd,prem_weekend_pct_fwd,price_cut_pct,price_cut_firstorder_pct,price_gap_pct
BTC,1.0,0.0,at the money,1.0,0.6645399187535261,0.6645399187535261,0.0,0.0,0.99989917911105,1.3875952809930814,1.3875952809930814,0.0,0.0,0.0
BTC,1.0,0.0,1 sd out,1.0,0.6645399187535261,0.6645399187535261,0.0,0.0,2.904110808765534,0.2948572200382499,0.2948572200382499,0.0,0.0,0.0
BTC,1.0,0.0,2 sd out,1.0,0.6645399187535261,0.6645399187535261,0.0,0.0,6.3586282342766065,0.030575457043077736,0.030575457043077736,0.0,0.0,0.0
BTC,1.0,0.2857142857142857,at the money,0.8957218739297127,0.6645399187535261,0.6289377519819107,-5.357415825131195,-3.560216677161543,0.99989917911105,1.3875952809930814,1.3132629352548053,-5.356918314472614,-5.356875685705231,0.823362169052122
BTC,1.0,0.2857142857142857,1 sd out,0.8957218739297127,0.6645399187535261,0.6289377519819107,-5.357415825131195,-3.560216677161543,2.904110808765534,0.2948572200382499,0.25025536117294356,-15.126595461871483,-15.558529204815025,2.5471409446461424
BTC,1.0,0.2857142857142857,2 sd out,0.8957218739297127,0.6645399187535261,0.6289377519819107,-5.357415825131195,-3.560216677161543,6.3586282342766065,0.030575457043077736,0.021253532526373242,-30.48825894432532,-34.06581552843952,5.820465196296931
BTC,1.0,0.5,at the money,0.8175132793769972,0.6645399187535261,0.600853343218124,-9.583559051630598,-6.3686575535402135,0.99989917911105,1.3875952809930814,1.2546258094306484,-9.582727282501901,-9.582592828687707,1.5969092236248983
BTC,1.0,0.5,1 sd out,0.8175132793769972,0.6645399187535261,0.600853343218124,-9.583559051630598,-6.3686575535402135,2.904110808765534,0.2948572200382499,0.21698794706851432,-26.40914574166917,-27.831717428283188,5.227657848411882
BTC,1.0,0.5,2 sd out,0.8175132793769972,0.6645399187535261,0.600853343218124,-9.583559051630598,-6.3686575535402135,6.3586282342766065,0.030575457043077736,0.015377696188285592,-49.70575201338784,-60.93828917055545,12.436670934603388
BTC,1.0,0.6666666666666666,at the money,0.756684372502663,0.6645399187535261,0.578067371104973,-13.0123932676233,-8.647254764855317,0.99989917911105,1.3875952809930814,1.207050731309639,-13.01132629639885,-13.01108134656669,2.325088283574317
BTC,1.0,0.6666666666666666,1 sd out,0.756684372502663,0.6645399187535261,0.578067371104973,-13.0123932676233,-8.647254764855317,2.904110808765534,0.2948572200382499,0.19134977201628045,-35.10426097368147,-37.78943193641269,8.012233749711918
BTC,1.0,0.6666666666666666,2 sd out,0.756684372502663,0.6645399187535261,0.578067371104973,-13.0123932676233,-8.647254764855317,6.3586282342766065,0.030575457043077736,0.0114977332153203,-62.39554751668584,-82.74097122702035,19.809216779549722
