asset,rehedge_minutes,n,outright_gross,fee_drag,outright_mean,outright_t,outright_sharpe,outright_hit_rate,spread_mean,spread_t,spread_sharpe,spread_hit_rate,outright_mean_12m,outright_t_12m,spread_mean_12m,spread_t_12m
BTC,5,1231,0.05578307986860774,0.13490852516467183,-0.07912544529606408,-16.523171802531643,-7.4759202947947205,0.27051177904142976,0.02094760176710833,3.8331295743475806,1.734302077101946,0.537774167343623,-0.14500750881960225,-17.697290337297254,-0.018771694443727345,-2.1553815588018135
BTC,60,1231,0.06355964759026468,0.05933435808028562,0.0042252895099790565,0.7423421940135736,0.33587322944001613,0.5134037367993501,0.015982762764418037,2.506279818739094,1.1339680047674157,0.5345247766043867,-0.06473523905904997,-7.234597107922171,-0.019403682717907707,-1.9720307009224654
BTC,480,1231,0.07698724159582425,0.03815847389468601,0.03882876770113824,4.818700660443467,2.1802243838214217,0.6141348497156783,0.028835352754527727,3.1929583669643513,1.444656179896771,0.5483346872461413,-0.03072808700655201,-2.1872791938435214,-0.01032515418652631,-0.6677604406124499
BTC,1440,1231,0.07914630968444383,0.03442380556489293,0.0447225041195509,4.489848460286623,2.031434982699068,0.6401299756295694,0.039148644701482785,3.3257404629573877,1.504733529335674,0.5418359057676686,-0.0173516056021372,-1.1396166455099384,0.004172794645239547,0.19226208395743624
ETH,5,1213,0.040121448972033534,0.14250868846637488,-0.10238723949434135,-15.988099452589035,-7.2873010458691425,0.2407254740313273,0.015111388364942607,1.842082993830821,0.8396128237335497,0.5037098103874691,-0.1416990874922271,-12.962264603371269,-0.03006274202664315,-2.726261103035806
ETH,60,1213,0.04575434282141185,0.06297817377662654,-0.01722383095521468,-2.3071918970282996,-1.0516072891648474,0.4830997526793075,0.011694103308013307,1.4445822312952254,0.6584338330005175,0.5078318219291014,-0.06991342495561993,-4.614385458386607,-0.04183850820919455,-2.9031863772436353
ETH,480,1213,0.05227486552952758,0.04118920089541028,0.011085664634117295,1.007029594694589,0.4589993851614859,0.5828524319868096,0.013445301242143135,1.1447464214622731,0.5217700714906485,0.5449299258037923,-0.034496789105488083,-1.70198159922379,-0.020988666599871197,-0.991714233747278
ETH,1440,1213,0.047125237918284206,0.03706778133276496,0.010057456585519242,0.722132447973495,0.3291445965155744,0.6042868920032977,0.038427267997003425,2.411089327771415,1.0989632527653126,0.5490519373454246,-0.022685213870621484,-0.8945791737721895,-0.0011611013365441878,-0.040101617095209395
SOL,5,377,0.0005785033809260981,0.14198752829457487,-0.14140902491364876,-12.932571661619034,-10.57339577980646,0.20689655172413793,-0.010290533838328631,-0.8315080838653354,-0.6798233402339435,0.5013262599469496,-0.14458737063107513,-8.93876614540355,-0.01273253448701132,-0.8102996680969892
SOL,60,377,0.0008747760817615776,0.06150753037733823,-0.06063275429557665,-3.4331291922677587,-2.806853475305614,0.4376657824933687,-0.032145155709805286,-1.7361941530200034,-1.419475446244554,0.47745358090185674,-0.05892447114531782,-2.8986986106124846,-0.029288605309877563,-1.4756451438829372
SOL,480,377,0.0025827767393270416,0.03891685742756281,-0.03633408068823577,-1.417262230032626,-1.1587234831552482,0.5251989389920424,-0.03946924862448909,-1.465010883242516,-1.1977617673844565,0.4960212201591512,-0.052252442685865694,-1.4937334054150624,-0.04044042953666335,-1.0698075251505443
SOL,1440,377,-0.0038784851486465158,0.03394787187919244,-0.03782635702783895,-1.223226854532467,-1.0000842833018055,0.596816976127321,-0.04458902381415139,-1.2949230455729936,-1.058701565588042,0.5092838196286472,-0.032863219020215474,-0.747363288555525,-0.03266510197754674,-0.7262126101238421
XRP,5,284,0.029145905121682518,0.13423176262573092,-0.1050858575040484,-6.566568639880338,-6.1855680432356595,0.34507042253521125,-0.029095087639509735,-1.6814833433323269,-1.583921558450203,0.44366197183098594,-0.09374813394049142,-4.8397961216849295,-0.03933032939593634,-2.3742312580401843
XRP,60,284,0.04845967883690493,0.0657306517225442,-0.017270972885639276,-0.908089603136555,-0.8554010987477298,0.5316901408450704,-0.052771886010329484,-2.764354577131073,-2.6039632371505657,0.41901408450704225,-0.017800694971035542,-0.7285975489973194,-0.051787842079705965,-3.066400871957405
XRP,480,284,0.028068422271428393,0.04455451341875539,-0.016486091147326996,-0.499081606723664,-0.4701242622772401,0.6267605633802817,-0.08885499982838713,-2.8227795912083344,-2.658998358204061,0.4225352112676056,0.0014318225400290574,0.03926781124293352,-0.06922381387003892,-2.2708744262807548
XRP,1440,284,0.011268002341300534,0.03954482763359304,-0.0282768252922925,-0.6558717122974473,-0.617817208124588,0.6267605633802817,-0.07971781407983755,-1.8542289536779508,-1.7466442505536095,0.47183098591549294,0.04172984704976859,1.292414259847129,-0.034817431974187074,-0.9908950917694701
