currency,spec,slope,t,n,n_days,placebo_slope,placebo_t
SOL,baseline,-0.35683976107445997,-14.66075326950265,189906,886,,
SOL,T <= 3d,-0.3931037001772125,-9.612620898055056,102029,886,,
SOL,3-7d,1.4128973061955585,0.6943465681500347,35986,628,,
SOL,7-14d,-0.4545872867981704,-1.1178882300739463,51891,883,,
SOL,2023-2024,-0.3549680664469545,-10.02129509307603,63067,296,,
SOL,2025-2026,-0.35988963455002465,-11.46300153019332,126839,590,,
SOL,ex-2020 (covid),-0.35683976107445997,-14.66075326950265,189906,886,,
SOL,|delta| in 0.45-0.55,-0.3265562500388503,-13.383039168715376,55378,886,,
SOL,horse race vs placebo_tuewed,-0.35319578865202567,-12.976752482496872,189906,886,0.007702465489506727,0.20823717351224377
SOL,horse race vs placebo_thufri,-0.3816017861116873,-10.71589165827089,189906,886,-0.05802587171891894,-1.4500028987296378
SOL,horse race vs sunmon_frac,-0.38044661522213846,-10.956995419928074,189906,886,0.06846791847125117,1.498449501612958
