asset,period,n,mean,t,sharpe,hit_rate,total
BTC,2020,145,0.019193937629739356,0.9198287653368113,1.212615893644647,0.5448275862068965,2.7831209563122066
BTC,2021,171,0.05958905243216064,2.8139609416996447,3.41601902095894,0.631578947368421,10.189727965899468
BTC,2022,177,0.04139428485855323,3.0450102544854105,3.633309519473223,0.5310734463276836,7.326788419963922
BTC,2023,199,0.01720386187515175,1.8002469518576474,2.0258431461323263,0.5477386934673367,3.4235685131551983
BTC,2024,205,0.021177530595092805,1.758488934838049,1.9496783976886936,0.551219512195122,4.341393771994025
BTC,2025,206,0.011722594113944244,1.1220652992369993,1.2410371778254432,0.5145631067961165,2.414854387472514
BTC,2026,128,-0.03666372062099206,-3.0911181616192844,-4.337214413555206,0.4140625,-4.692956239486984
BTC,last_6m,104,-0.04280825269728128,-3.2827630831506203,-5.110026373505943,0.40384615384615385,-4.452058280517253
BTC,last_12m,207,-0.018771694443727345,-2.1553815588018135,-2.3781500902705885,0.45893719806763283,-3.8857407498515606
BTC,last_24m,413,-0.00021464612605938765,-0.02733929831901883,-0.021355640850797577,0.48184019370460046,-0.0886488500625271
BTC,full,1231,0.02094760176710833,3.8331295743475806,1.734302077101946,0.537774167343623,25.786497775310355
ETH,2019,1,,,,,
ETH,2020,137,0.09934978742999857,2.0416284017668254,2.7689600221536206,0.6642335766423357,13.610920877909804
ETH,2021,173,0.06166687349302497,2.316019564574043,2.795242189264468,0.5780346820809249,10.66836911429332
ETH,2022,169,0.04037521444242052,2.288576448761252,2.7946172952838286,0.5621301775147929,6.823411240769068
ETH,2023,193,-0.006433563695741429,-0.6506279677797321,-0.7434544130935268,0.43005181347150256,-1.2416777932780958
ETH,2024,203,-0.017731290118445917,-1.5970899177294868,-1.7794329142316219,0.46798029556650245,-3.5994518940445213
ETH,2025,208,-0.010088404829155006,-0.6361241376714234,-0.7001812521834472,0.44711538461538464,-2.098388204464241
ETH,2026,129,-0.04557215792700847,-3.3784114486726553,-4.721912720911343,0.4108527131782946,-5.878808372584093
ETH,last_6m,104,-0.05493783506485406,-3.6825485007235677,-5.732341775438686,0.41346153846153844,-5.713534846744822
ETH,last_12m,209,-0.03006274202664315,-2.726261103035806,-2.9936055453539545,0.44976076555023925,-6.283113083568418
ETH,last_24m,414,-0.025543709368992973,-2.639140945335588,-2.059030048251461,0.42995169082125606,-10.575095678763091
ETH,full,1213,0.015111388364942607,1.842082993830821,0.8396128237335497,0.5037098103874691,18.330114086675383
SOL,2024,124,0.015138236951151877,0.5806748352967364,0.8277943030661935,0.5564516129032258,1.8771413819428329
SOL,2025,169,-0.029373513531399012,-1.6600184394337485,-2.027075059626109,0.4437869822485207,-4.964123786806433
SOL,2026,84,-0.009435105383170161,-0.5179839925160002,-0.8971745925450896,0.5357142857142857,-0.7925488521862936
SOL,last_6m,65,-0.031093266367022348,-1.5155402033704402,-2.9840840656958534,0.5384615384615384,-2.0210623138564525
SOL,last_12m,145,-0.01273253448701132,-0.8102996680969892,-1.0682230140841502,0.4896551724137931,-1.8462175006166415
SOL,last_24m,312,-0.025442772220615268,-2.031561896910291,-1.8257992829330782,0.4775641025641026,-7.938144932831964
SOL,full,377,-0.010290533838328631,-0.8315080838653354,-0.6798233402339435,0.5013262599469496,-3.8795312570498943
XRP,2024,79,0.002617159553377932,0.05877315188404067,0.10497012307673806,0.5063291139240507,0.2067556047168566
XRP,2025,125,-0.036723282955201,-1.5532774837714958,-2.2054352446282532,0.4,-4.590410369400125
XRP,2026,80,-0.04849187656171873,-2.202315465547678,-3.9087222005202715,0.45,-3.8793501249374986
XRP,last_6m,65,-0.0636227716667743,-2.885993596952769,-5.6824936001133555,0.4307692307692308,-4.13548015834033
XRP,last_12m,122,-0.03933032939593634,-2.3742312580401843,-3.412269886311052,0.45081967213114754,-4.798300186304234
XRP,last_24m,243,-0.04548830933164077,-2.471869434466325,-2.5172286203310263,0.42386831275720166,-11.053659167588707
XRP,full,284,-0.029095087639509735,-1.6814833433323269,-1.583921558450203,0.44366197183098594,-8.263004889620765
