asset,filter,scale_free_only,window,n_all,mean_all,n_kept,mean_kept,hit_all,hit_kept,t_kept
BTC,f_iv_premium+f_wd_vol+f_wknd_frac,False,in_sample,122,0.0055717909836065565,38,0.053959814210526306,0.5245901639344263,0.7105263157894737,1.8718836960852747
BTC,f_iv_premium+f_wd_vol+f_wknd_frac,False,out_of_sample,122,0.0017513826639344264,32,0.02446357571875,0.5163934426229508,0.65625,1.2542006061201914
ETH,f_iv_premium,False,in_sample,84,0.0027029335714285705,56,0.02497280017857143,0.6071428571428571,0.6964285714285714,0.759865208149655
ETH,f_iv_premium,False,out_of_sample,84,-0.035340375476190476,24,-0.027865953333333335,0.44047619047619047,0.5833333333333334,-0.7363739365237649
BTC,f_iv_premium+f_wknd_frac,True,in_sample,122,0.0055717909836065565,50,0.0607048832,0.5245901639344263,0.68,2.3960233559159985
BTC,f_iv_premium+f_wknd_frac,True,out_of_sample,122,0.0017513826639344264,34,0.03694298302941176,0.5163934426229508,0.6764705882352942,1.821056023825591
ETH,f_iv_premium,True,in_sample,84,0.0027029335714285705,56,0.02497280017857143,0.6071428571428571,0.6964285714285714,0.759865208149655
ETH,f_iv_premium,True,out_of_sample,84,-0.035340375476190476,24,-0.027865953333333335,0.44047619047619047,0.5833333333333334,-0.7363739365237649
