scenario,half_spread,n,gross_per_vega,net_per_vega,t,sharpe_ann,hit_rate,worst,cost_per_vega
gross,0.0,130,0.061004696433430115,0.03883390289571644,4.895476801909759,3.0961713853103547,0.7461538461538462,-0.31554580171434177,0.022170793537713677
measured,0.0015,130,0.061004696433430115,0.035833902895716446,4.517291007781165,2.8569856876771764,0.7307692307692307,-0.31854580171434177,0.02517079353771368
stress_2x,0.003,130,0.061004696433430115,0.032833902895716444,4.139105213652569,2.617799990043997,0.7307692307692307,-0.3215458017143418,0.02817079353771368
stress_4x,0.006,130,0.061004696433430115,0.026833902895716442,3.3827336253953786,2.1394285947776392,0.7,-0.3275458017143418,0.03417079353771368
