friday,expiry_ms,K,S_in,prem_in,prem_out,sigma_in,vega_usd,wknd_frac,T_days,settled,stopped,gross,fees_opt,spread_cost,perp_fees,net,gross_per_vega,net_per_vega,f_iv,f_wd_vol,f_iv_premium,f_friday_move_abs,f_wknd_frac,f_T_days
2024-02-02,1707048000000,43200.0,43390.0,733.59386,662.898687,0.2929197230894161,2385.3343686940234,0.8181818181818182,1.8333333333333333,False,False,-4.123977636087261,44.961717938099994,7.15600310608207,15.333319621468245,-71.57501830173757,-0.0017288887001385676,-0.030006283077590113,0.2929197230894161,0.3435465987988896,0.8526346181668641,1.8975153820863344,0.8181818181818182,1.8333333333333333
2024-02-09,1707652800000,47200.0,47230.0,881.906929,726.0103799999999,0.330313727339539,2667.8073163071685,0.8181818181818182,1.8333333333333333,False,False,52.28553153380574,50.15224199999999,8.003421948921506,16.27997310626182,-22.150105521377576,0.019598691110188724,-0.008302738127294061,0.330313727339539,0.3856651205888291,0.8564780938323376,4.194932547955488,0.8181818181818182,1.8333333333333333
2024-02-16,1708257600000,52000.0,51934.5,1068.847704,805.0698970000001,0.36342303850825397,2933.855965831779,0.8181818181818182,1.8333333333333333,False,False,235.01054419190086,55.22683199999999,8.801567897495337,9.293007588713198,161.6891367056923,0.08010295901669219,0.05511147738292317,0.36342303850825397,0.4969756256641406,0.73126934147442,0.05683460167613674,0.8181818181818182,1.8333333333333333
2024-02-23,1708862400000,50800.0,50844.5,1014.7376939999999,780.244151,0.3530019313337151,2870.8509104527056,0.8181818181818182,1.8333333333333333,False,False,173.42457702721492,53.8808768177,8.612552731358116,13.026739705920704,97.9044077722361,0.06040877162787514,0.034102923079623634,0.3530019313337151,0.36781130124587263,0.9597365011298067,0.8734220402592974,0.8181818181818182,1.8333333333333333
2024-03-01,1709467200000,61600.0,61425.0,1579.915064,1252.524153,0.4525950747896103,3462.866899710676,0.8181818181818182,1.8333333333333333,False,False,283.655400873869,65.57673,10.388600699132029,17.2696762130333,190.42039396170364,0.08191345757400277,0.05498923275902211,0.4525950747896103,0.7771703610866489,0.5823627578344425,0.36518712776647533,0.8181818181818182,1.8333333333333333
2024-03-08,1710072000000,66800.0,66881.0,2528.553488,1989.5469790000002,0.6690542640279296,3775.4573147345063,0.8181818181818182,1.8333333333333333,False,False,-91.09400138664114,71.457732,11.326371944203519,34.63565141177635,-208.513756742621,-0.024127938364215607,-0.05522874167557206,0.6690542640279296,0.9453319706390387,0.7077453051499495,0.02765342042915231,0.8181818181818182,1.8333333333333333
2024-03-15,1710676800000,68000.0,68061.0,2434.3875749999997,2571.806047,0.6329511322591171,3843.881118246384,0.8181818181818182,1.8333333333333333,False,False,54.23460664644608,72.81585299999999,11.531643354739153,18.0961585989944,-48.20904830728746,0.014109335064760909,-0.012541763604094211,0.6329511322591171,0.7616426180638792,0.8310342898984564,4.898241495671862,0.8181818181818182,1.8333333333333333
2024-03-22,1711281600000,63600.0,63522.0,1934.4997130000002,1270.083399,0.5381540282631949,3590.1746761161453,0.8181818181818182,1.8333333333333333,False,False,660.9044091838578,67.55913,10.770524028348436,4.268224377900352,578.306530777609,0.18408697871459134,0.16108033256009194,0.5381540282631949,0.8806254229164505,0.6111043518150309,3.0635057493190065,0.8181818181818182,1.8333333333333333
2024-03-29,1711886400000,69200.0,69345.5,1477.328421,1211.33888,0.376105652381416,3903.2156380944634,0.8181818181818182,1.8333333333333333,False,False,325.4761465754609,73.81572599999998,11.70964691428339,12.417622495991232,227.53315116518633,0.08338666800749887,0.058293769102715325,0.376105652381416,0.5451747252165686,0.6898809408891974,2.100009882399445,0.8181818181818182,1.8333333333333333
2024-04-05,1712491200000,68400.0,68377.5,1660.62414893,1144.8669093600001,0.4295488197667295,3865.2180624432026,0.8181818181818182,1.8333333333333333,False,False,420.9068855321084,72.39459299999999,11.595654187329608,17.572016441733457,319.3446219030453,0.10889602571764175,0.08262007905996065,0.4295488197667295,0.6124976003390861,0.7013069431274932,0.014626832924991007,0.8181818181818182,1.8333333333333333
2024-04-12,1713096000000,69600.0,69525.0,1417.6868090799999,2562.80191954,0.36021501615503015,3928.354511927789,0.8181818181818182,1.8333333333333333,False,False,-1131.3849974692066,72.96099299999999,11.785063535783367,35.22978341519951,-1251.3608374201895,-0.28800481067427747,-0.31854580171434177,0.36021501615503015,0.531710069858171,0.6774651009545753,0.8754045538145627,0.8181818181818182,1.8333333333333333
2024-04-19,1713700800000,64400.0,64547.0,2061.3452813100002,1665.68747043,0.5647128155121408,3637.907755264318,0.8181818181818182,1.8333333333333333,False,False,389.9169737913178,68.29739699999999,10.913723265792955,11.381943416820686,299.3239101087042,0.10718165495732526,0.08227913686804197,0.5647128155121408,0.8001169099705933,0.7057878773401949,1.9224847819736546,0.8181818181818182,1.8333333333333333
2024-04-26,1714305600000,63600.0,63665.5,1182.78977621,986.55893869,0.32850506224973963,3593.1658218909297,0.8181818181818182,1.8333333333333333,False,False,179.02151429841695,67.65630299999998,10.779497465672788,10.390637007967147,90.19507682477703,0.04982278112736962,0.02510184091011731,0.32850506224973963,0.4540828529997773,0.7234474063038464,1.335100035643999,0.8181818181818182,1.8333333333333333
2024-05-03,1714910400000,61600.0,61787.5,1288.73286959,1530.95953497,0.36703378780748175,3463.1697732931702,0.8181818181818182,1.8333333333333333,False,False,-30.15524562048472,65.993742,10.389509319879512,22.63021856928886,-129.16871550965308,-0.008707411878283325,-0.03729782943526473,0.36703378780748175,0.6533750142296757,0.5617505717450978,4.5854244776018405,0.8181818181818182,1.8333333333333333
2024-05-10,1715515200000,60800.0,60743.5,1417.40645202,962.42831197,0.41239938576017504,3433.0651240779207,0.8181818181818182,1.8333333333333333,False,False,455.08633522041043,64.55703299999999,10.299195372233763,2.8284085836433013,377.40169826453337,0.1325597734888997,0.109931412491308,0.41239938576017504,0.46420418637344296,0.8884008327930244,3.471427663361304,0.8181818181818182,1.8333333333333333
2024-05-17,1716120000000,67200.0,67140.5,1428.7130745499999,1039.42593748,0.37607507621845626,3794.557386722441,0.8181818181818182,1.8333333333333333,False,False,394.285629880515,71.231349,11.383672160167324,4.7419198965091,306.9286888238385,0.1039082005348403,0.08088655870584921,0.37607507621845626,0.48560716252367936,0.7744430174052838,2.802786709539129,0.8181818181818182,1.8333333333333333
2024-05-24,1716724800000,68400.0,68302.5,1191.01920731,1055.8836518399999,0.3075985948729866,3855.2271529954637,0.8181818181818182,1.8333333333333333,False,False,-77.51596298354275,72.15907785315,11.565681458986392,28.785683019789573,-190.0264053154687,-0.020106717427354134,-0.04929058594324865,0.3075985948729866,0.483229251679842,0.6365479610426864,0.6594945103529648,0.8181818181818182,1.8333333333333333
2024-05-31,1717329600000,67200.0,67245.5,1227.30113863,1069.56666218,0.32284088300745073,3798.072112907725,0.8181818181818182,1.8333333333333333,False,False,130.8573452169826,71.56464,11.394216338723176,15.378607115870828,32.51988176238859,0.03445362313481745,0.008562207561007062,0.32284088300745073,0.4217521477814892,0.7654753738793415,1.6404113095499273,0.8181818181818182,1.8333333333333333
2024-06-07,1717934400000,71200.0,71005.5,1288.47916682,1953.37035908,0.31820278942888824,3988.17992776315,0.8181818181818182,1.8333333333333333,False,False,-612.6898847072207,74.81347499999998,11.96453978328945,33.62541836227653,-733.0933178527865,-0.15362644008161888,-0.1838165105715169,0.31820278942888824,0.3897526505946455,0.8164223872330473,0.3115066751430362,0.8181818181818182,1.8333333333333333
2024-06-14,1718539200000,66400.0,66377.0,1124.7767264899999,1055.60004342,0.2996802630674438,3752.115506692785,0.8181818181818182,1.8333333333333333,False,False,-102.31128643885131,69.829668804037,11.256346520078354,24.867631926216173,-208.26493368918284,-0.027267627090998385,-0.05550600276502499,0.2996802630674438,0.4410513788532278,0.679467920147169,0.7728645319460603,0.8181818181818182,1.8333333333333333
2024-06-21,1719144000000,63600.0,63702.0,1111.06009212,1074.5656305799998,0.3079666520468254,3588.1136705145186,0.8181818181818182,1.8333333333333333,False,False,2.3602975413725744,65.074159527541,10.764341011543555,19.868668106863122,-93.3468711045751,0.0006578101359409048,-0.026015583584114713,0.3079666520468254,0.44028542847800906,0.6994704619487706,1.9403502020396424,0.8181818181818182,1.8333333333333333
2024-06-28,1719748800000,60800.0,60940.5,1053.83150863,976.56101544,0.304508425593333,3420.237634677699,0.8181818181818182,1.8333333333333333,False,False,-54.7535425926352,59.330596600389995,10.260712904033097,22.620138847346006,-146.9649909444043,-0.016008695430250366,-0.042969233907705746,0.304508425593333,0.464096789928935,0.6561312902852894,1.2117429645960298,0.8181818181818182,1.8333333333333333
2024-07-05,1720353600000,56400.0,56575.5,1290.82800369,886.65351415,0.401853569972237,3173.423813248247,0.8181818181818182,1.8333333333333333,False,False,395.16788536985166,60.05857799999998,9.520271439744741,5.857999661513874,319.731036268593,0.1245241444650806,0.10075270593665941,0.401853569972237,0.5924020433160118,0.6783460227835029,0.39436966874708546,0.8181818181818182,1.8333333333333333
2024-07-12,1720958400000,58000.0,58158.0,1032.72122821,893.50652797,0.3121952096938862,3257.8736330396678,0.8181818181818182,1.8333333333333333,False,False,9.01973189055957,57.81852768485399,9.773620899119004,21.74611676773889,-80.31853346115231,0.0027685947665637236,-0.02465366754763086,0.3121952096938862,0.6139471819744541,0.508504996618547,1.519528692995853,0.8181818181818182,1.8333333333333333
2024-07-19,1721563200000,66000.0,66035.0,1318.03547913,1151.08184212,0.3531141902440753,3730.6801162434326,0.8181818181818182,1.8333333333333333,False,False,66.33250211622794,70.35041999999999,11.192040348730298,22.148319238166664,-37.35827747066901,0.017780270634143978,-0.010013798102927816,0.3531141902440753,0.5253262564957868,0.6721807369757985,3.3160970343656837,0.8181818181818182,1.8333333333333333
2024-07-26,1722168000000,67600.0,67597.0,2909.3168000200003,2284.63171641,0.7614489684944767,3819.8348751797757,0.8181818181818182,1.8333333333333333,False,False,631.4660564880414,71.88359399999999,11.459504625539328,3.3501856289444443,544.7727722335576,0.16531239624810282,0.14261683817102658,0.7614489684944767,0.44488805633463224,1.711551833438604,2.6935464268351916,0.8181818181818182,1.8333333333333333
2024-08-09,1723377600000,60000.0,59890.0,1683.74273017,1342.82191607,0.4962356544356455,3383.4355668662574,0.8181818181818182,1.8333333333333333,False,False,344.8333697611397,63.894521999999995,10.150306700598772,12.762256805975586,258.0262842545653,0.10191811339280943,0.07626162199788826,0.4962356544356455,1.2659889370463078,0.39197471629840475,2.7751848635135024,0.8181818181818182,1.8333333333333333
2024-08-16,1723982400000,58000.0,58081.0,1307.07761776,1192.28287901,0.39791212254227903,3276.5824042277027,0.8181818181818182,1.8333333333333333,False,False,-311.865773773922,61.97495699999999,9.829747212683108,32.90897099040299,-416.57944897700816,-0.09518020159405373,-0.1271384014146889,0.39791212254227903,0.6434252032130691,0.6184279393396891,1.0262475865787657,0.8181818181818182,1.8333333333333333
2024-08-23,1724587200000,61600.0,61473.0,1374.7173769800002,2553.96889654,0.39412985339271267,3468.577848447945,0.8181818181818182,1.8333333333333333,False,False,-950.2683252288707,66.21251399999998,10.405733545343836,36.879246372122324,-1063.7658191463368,-0.2739648255708256,-0.3066864477677302,0.39412985339271267,0.5045395150766381,0.7811674638265855,1.7916576973389997,0.8181818181818182,1.8333333333333333
2024-08-30,1725192000000,58000.0,58164.5,1397.6938709,1298.16004512,0.42382892298694985,3268.2810450773127,0.8181818181818182,1.8333333333333333,False,False,262.2811755940172,62.103989999999996,9.804843135231938,18.11390458393481,172.25843787485044,0.08025049620168538,0.05270612762458303,0.42382892298694985,0.5858834573034294,0.7234014166190198,1.942950587521286,0.8181818181818182,1.8333333333333333
2024-09-06,1725796800000,54000.0,54095.0,1552.97393029,905.53203121,0.507724546381337,3051.0684227569936,0.8181818181818182,1.8333333333333333,False,False,567.5240432798573,57.402692999999985,9.15320526827098,13.02228347865475,487.9458615329316,0.18600829763333646,0.15992622711883203,0.507724546381337,0.5868398936332716,0.8651841019837424,3.7506894649751765,0.8181818181818182,1.8333333333333333
2024-09-13,1726401600000,59600.0,59672.5,1191.37092369,1118.36363691,0.35299581242753725,3366.8873313628287,0.8181818181818182,1.8333333333333333,False,False,110.14672182618142,63.67734299999999,10.100661994088487,18.78307249027154,17.585644341821403,0.03271470381564472,0.005223116371614132,0.35299581242753725,0.5037411737920345,0.7007483818927788,2.639409680415561,0.8181818181818182,1.8333333333333333
2024-09-20,1727006400000,63200.0,63122.0,1292.3623377600002,806.60452959,0.361556662378821,3565.918885626561,0.8181818181818182,1.8333333333333333,False,False,443.1529183476572,67.03149299999998,10.697756656879683,11.984989687470371,353.4386790033072,0.12427453695985897,0.09911573716046689,0.361556662378821,0.49684609540631886,0.7277035398318695,0.30669484657313006,0.8181818181818182,1.8333333333333333
2024-09-27,1727611200000,66000.0,66078.0,1157.7603579699999,879.32063251,0.30969307551553754,3727.4098566492553,0.8181818181818182,1.8333333333333333,False,False,237.26054826833297,70.01275021517199,11.182229569947767,13.124022791496117,142.9415456917171,0.06365292720495666,0.0383487599134628,0.30969307551553754,0.40178884916960245,0.7707856406557725,1.471909335913213,0.8181818181818182,1.8333333333333333
2024-10-04,1728216000000,61600.0,61784.5,1276.8227212,902.55062067,0.363672754600323,3463.0785158763438,0.8181818181818182,1.8333333333333333,False,False,363.4351027380426,64.101482024534,10.389235547629031,16.929846246219366,272.0145389196602,0.10494567220231624,0.07854703197534232,0.363672754600323,0.5051212993924669,0.7199711337410031,1.6426479781528558,0.8181818181818182,1.8333333333333333
2024-10-11,1728820800000,62400.0,62240.5,1031.69742532,801.50669313,0.2906168803890101,3495.3986482068767,0.8181818181818182,1.8333333333333333,False,False,-15.234896029698348,63.11879937834499,10.486195944620631,31.130925124104238,-119.9708164767682,-0.004358557510318252,-0.034322498962546855,0.2906168803890101,0.4131331817889566,0.7034459907833494,3.2454714352066816,0.8181818181818182,1.8333333333333333
