entry_ts,exit_ts,bucket,instrument,cp,strike,expiry,T_days,wknd_frac,abs_delta,log_moneyness,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,vega_usd,gamma_per_vega,volga_per_vega,vanna_per_vega,perp_fees,option_fees,half_spread_volpts,spread_cost,total_cost,term_gamma,term_theta,term_vega,term_volga,term_vanna,gross_usd,net_usd,gross_per_vega,net_per_vega,cost_per_vega
2019-04-05 11:58:52.310000+00:00,2019-04-07 00:00:00+00:00,OTM,ETH-12APR19-150-P,P,150,2019-04-12 08:00:00+00:00,6.83333,0.292649,0.211267,-0.0947412,164.906,166.204,0.787194,0.9384,1.0128,0.0744,2.70153,2.16997,0.531559,-0.616235,6.52562,56.921,0.575804,-5.24676,0.0561847,0.0993331,0.501122,0.0654026,0.22092,-0.00176362,0.103049,-0.0744,-0.00159364,0.00307289,-0.0846751,-0.305596,-0.0129758,-0.0468301,0.0338543
2019-04-05 11:47:37.417000+00:00,2019-04-07 00:00:00+00:00,OTM,ETH-19APR19-200-C,C,200,2019-04-19 08:00:00+00:00,13.8333,0.288977,0.178017,0.188421,165.653,166.688,0.624817,0.9526,0.949,-0.00360001,2.72013,2.43083,0.289299,-0.169384,8.4007,27.6984,1.07463,5.97865,0.0408514,0.0997024,0.501122,0.0841955,0.224749,-0.000540668,0.0519429,0.00360001,-6.96364e-06,0.00013448,0.119915,-0.104834,0.0142744,-0.0124792,0.0267536
2019-04-05 11:33:21.793000+00:00,2019-04-07 00:00:00+00:00,deep OTM,ETH-12APR19-140-P,P,140,2019-04-12 08:00:00+00:00,6.83333,0.291893,0.0930249,-0.168589,165.709,164.634,-0.648379,0.9803,1.0659,0.0856,1.01712,0.971796,0.0453227,-0.216111,3.76524,54.488,1.60695,-8.87068,0.0285873,0.0991029,0.619146,0.0466247,0.174315,-0.00114533,0.108921,-0.0856,-0.00588735,-0.00492333,-0.170788,-0.345103,-0.0453592,-0.091655,0.0462958
2019-04-05 11:31:17.249000+00:00,2019-04-07 00:00:00+00:00,deep OTM,ETH-12APR19-130-P,P,130,2019-04-12 08:00:00+00:00,6.83333,0.291831,0.0355563,-0.241245,165.468,165.694,0.136373,1.0146,1.2535,0.2389,0.338797,0.514394,-0.175597,-0.0787347,1.76445,52.646,2.97165,-12.0178,0.01129,0.0920578,0.619146,0.021849,0.125197,-4.89543e-05,0.112839,-0.2389,-0.0848009,0.00391534,-0.254332,-0.379529,-0.144142,-0.215098,0.0709553
2019-04-05 11:27:19.120000+00:00,2019-04-07 00:00:00+00:00,ATM,ETH-12APR19-160-P,P,160,2019-04-12 08:00:00+00:00,6.83333,0.291714,0.377059,-0.0316665,165.148,165.122,-0.0156187,0.9248,1.059,0.1342,5.88267,5.98494,-0.102264,-1.52815,8.58238,57.758,0.0633918,-1.47772,0.10078,0.0990809,0.50583,0.0868245,0.286686,-7.04481e-07,0.103038,-0.1342,-0.000570831,-3.09734e-05,-1.63041,-1.9171,-0.189972,-0.223376,0.033404
2019-04-05 12:41:38.753000+00:00,2019-04-07 00:00:00+00:00,ATM,ETH-12APR19-170-C,C,170,2019-04-12 08:00:00+00:00,6.83333,0.293927,0.450479,0.0240708,165.957,165.433,-0.31591,0.936,1.0445,0.1085,6.70579,6.3539,0.351887,-0.827952,8.98961,57.0669,0.0333601,1.96757,0.0978525,0.0994168,0.50583,0.0909443,0.288214,-0.000284762,0.100751,-0.1085,-0.000196362,0.00067441,-0.476065,-0.764279,-0.0529573,-0.0850181,0.0320608
2019-04-05 11:17:51.404000+00:00,2019-04-07 00:00:00+00:00,ATM,ETH-12APR19-160-C,C,160,2019-04-12 08:00:00+00:00,6.83333,0.291435,0.613791,-0.0271684,164.407,166.091,1.02487,0.8607,0.9428,0.0821,10.021,10.8489,-0.827865,0.103035,8.60577,62.0595,0.0578063,-1.45894,0.113691,0.0991494,0.50583,0.0870612,0.299901,-0.00325926,0.0963102,-0.0821,-0.000194819,0.00122758,-0.72483,-1.02473,-0.0842261,-0.119075,0.0348489
2019-04-05 13:21:52.620000+00:00,2019-04-07 00:00:00+00:00,ATM,ETH-12APR19-170-P,P,170,2019-04-12 08:00:00+00:00,6.83333,0.295139,0.524556,0.0172195,167.098,165.954,-0.684634,0.983,1.0523,0.0693,10.5621,10.6936,-0.131506,-0.101042,9.10434,54.3384,0.0120732,1.45186,0.102488,0.0999154,0.50583,0.092105,0.294509,-0.00127348,0.103801,-0.0693,-2.89907e-05,0.000688837,-0.232548,-0.527057,-0.0255426,-0.0578907,0.0323482
2019-04-05 13:22:43.644000+00:00,2019-04-07 00:00:00+00:00,ATM,ETH-19APR19-170-C,C,170,2019-04-19 08:00:00+00:00,13.8333,0.290362,0.504228,0.0110005,168.14,165.454,-1.59753,0.82,0.8983,0.0783,9.85146,8.91164,0.939817,-1.59239,13.0579,32.1775,-0.00197851,0.931667,0.0892985,0.100078,0.50583,0.132101,0.321478,-0.00410601,0.0427551,-0.0783,6.06502e-06,0.00116539,-0.652574,-0.974053,-0.0499755,-0.074595,0.0246195
2019-04-05 13:27:16.588000+00:00,2019-04-07 00:00:00+00:00,OTM,ETH-12APR19-180-C,C,180,2019-04-12 08:00:00+00:00,6.83333,0.295302,0.309502,0.0637615,168.881,164.034,-2.87019,0.8438,1.0065,0.1627,3.66334,2.67621,0.987135,-1.67033,8.15743,63.3025,0.35751,5.28344,0.0830207,0.0998745,0.501122,0.0817573,0.264653,-0.0260743,0.0888701,-0.1627,-0.00473188,0.0246726,-0.683199,-0.947851,-0.0837517,-0.116195,0.0324431
2019-04-05 14:04:01.611000+00:00,2019-04-07 00:00:00+00:00,deep OTM,ETH-19APR19-130-P,P,130,2019-04-19 08:00:00+00:00,13.8333,0.290968,0.0879225,-0.238508,165.016,166.359,0.814101,0.9762,1.1483,0.1721,1.38913,1.85074,-0.461613,-0.228377,5.1521,27.0288,1.6042,-6.10375,0.0191373,0.0994126,0.619146,0.0637981,0.182348,-0.000895681,0.0498875,-0.1721,-0.0237569,0.00855176,-0.68999,-0.872338,-0.133924,-0.169317,0.0353929
2019-04-05 09:32:58.547000+00:00,2019-04-07 00:00:00+00:00,ATM,ETH-19APR19-160-C,C,160,2019-04-19 08:00:00+00:00,13.8333,0.287038,0.588943,-0.0249434,164.041,165.444,0.855213,1.0191,0.8994,-0.1197,14.924,13.6606,1.26337,0.963509,12.4221,25.891,0.00585463,-0.133705,0.0859729,0.0988455,0.50583,0.125669,0.310488,-0.000946821,0.0590133,0.1197,-4.19429e-05,-0.000136873,2.22688,1.91639,0.179268,0.154273,0.0249948
2019-04-05 15:11:12.801000+00:00,2019-04-07 00:00:00+00:00,deep OTM,ETH-19APR19-220-C,C,220,2019-04-19 08:00:00+00:00,13.8333,0.291959,0.0728856,0.296155,163.608,166.478,1.75395,0.9861,1.0305,0.0444,0.964453,1.12939,-0.16494,0.0244409,4.46219,26.7575,2.40412,8.53606,0.0179997,0.0990256,0.619146,0.0552549,0.17228,-0.00411576,0.0487304,-0.0444,-0.0023697,-0.00664749,-0.140499,-0.312779,-0.0314865,-0.0700955,0.0386089
2019-04-05 15:12:05.358000+00:00,2019-04-07 00:00:00+00:00,OTM,ETH-19APR19-180-C,C,180,2019-04-19 08:00:00+00:00,13.8333,0.291972,0.324666,0.0952388,163.648,165.454,1.10362,0.9062,0.9085,0.00229996,5.61369,5.64991,-0.0362241,0.406827,11.4774,29.1167,0.313018,3.56007,0.0601713,0.0987306,0.501122,0.115032,0.273934,-0.00177317,0.0447621,-0.00229996,-8.27903e-07,-9.03646e-05,0.370603,0.0966696,0.0322898,0.00842259,0.0238672
2019-04-12 12:01:56.351000+00:00,2019-04-14 00:00:00+00:00,deep OTM,ETH-19APR19-190-C,C,190,2019-04-19 08:00:00+00:00,6.83333,0.292741,0.107243,0.134108,166.154,163.656,-1.50361,0.758,0.8134,0.0553999,0.85066,0.487169,0.363491,-0.232114,4.1982,70.4679,2.20223,12.9674,0.0233243,0.098943,0.619146,0.051986,0.174253,-0.0079658,0.0831204,-0.0553999,-0.00337949,0.0108018,0.131377,-0.0428763,0.0312937,-0.010213,0.0415067
2019-04-12 12:25:27.424000+00:00,2019-04-14 00:00:00+00:00,deep OTM,ETH-19APR19-150-P,P,150,2019-04-19 08:00:00+00:00,6.83333,0.293442,0.111778,-0.101555,166.034,164.265,-1.06527,0.6331,0.7378,0.1047,0.810961,1.1249,-0.313935,0.117884,4.3288,84.37,2.16796,-13.0337,0.0291027,0.0990895,0.619146,0.0536031,0.181795,-0.00478714,0.0686676,-0.1047,-0.0118827,-0.0145369,-0.196051,-0.377847,-0.0452901,-0.0872868,0.0419967
2019-04-12 11:16:21.796000+00:00,2019-04-14 00:00:00+00:00,OTM,ETH-19APR19-180-C,C,180,2019-04-19 08:00:00+00:00,6.83333,0.291391,0.242194,0.0788911,166.345,163.746,-1.56231,0.7653,0.7729,0.00760002,2.36085,1.30283,1.05802,-0.487527,7.10183,69.7957,0.738106,7.6949,0.0453731,0.0990275,0.501122,0.0711777,0.215578,-0.00851796,0.0856933,-0.00760002,-2.13166e-05,0.000913664,0.570498,0.35492,0.0803311,0.0499758,0.0303553
2019-04-12 10:41:17.578000+00:00,2019-04-14 00:00:00+00:00,ITM,ETH-19APR19-160-C,C,160,2019-04-19 08:00:00+00:00,6.83333,0.29036,0.657885,-0.0348555,165.675,164.051,-0.980443,0.7087,0.5802,-0.1285,9.53661,6.84276,2.69384,-1.36841,8.3215,75.3699,0.178995,-3.20686,0.0935939,0.0989178,0.782468,0.130226,0.322738,-0.00362253,0.0806185,0.1285,-0.0014778,0.00404022,1.32544,1.0027,0.159278,0.120495,0.0387836
2019-04-19 11:53:28.209000+00:00,2019-04-21 00:00:00+00:00,ATM,ETH-26APR19-180-C,C,180,2019-04-26 08:00:00+00:00,6.83333,0.292489,0.388962,0.034357,173.921,173.767,-0.0881977,0.7526,0.7928,0.0402,4.62727,4.09525,0.532016,-0.045726,9.12313,70.9735,0.144388,3.74001,0.0671986,0.104306,0.50583,0.0922951,0.2638,-2.76046e-05,0.0828522,-0.0402,-0.000116668,0.000132604,0.48629,0.22249,0.0533029,0.0243874,0.0289155
2019-04-19 12:18:56.001000+00:00,2019-04-21 00:00:00+00:00,ATM,ETH-26APR19-170-C,C,170,2019-04-26 08:00:00+00:00,6.83333,0.293247,0.611949,-0.0210675,173.619,171.402,-1.2771,0.6405,0.7136,0.0731,7.98723,6.60013,1.3871,0.0447353,9.10202,83.3952,0.087228,-2.24306,0.0943122,0.103506,0.50583,0.0920815,0.2899,-0.00680084,0.0696826,-0.0731,-0.000233056,-0.00209404,1.43183,1.14193,0.157309,0.125459,0.0318501
2019-04-19 12:44:30.048000+00:00,2019-04-21 00:00:00+00:00,deep ITM,ETH-26APR19-150-C,C,150,2019-04-26 08:00:00+00:00,6.83333,0.294013,0.889697,-0.142063,172.897,172.184,-0.412721,0.8941,0.911,0.0168999,24.092,23.0735,1.01848,1.04649,4.47078,59.7412,1.50404,-8.99227,0.0910125,0.103524,1.1501,0.102837,0.297374,-0.000508812,0.0961112,-0.0168999,-0.000214783,-0.000627207,2.06497,1.7676,0.461882,0.395367,0.0665149
2019-04-19 10:11:10.579000+00:00,2019-04-21 00:00:00+00:00,ATM,ETH-3MAY19-170-C,C,170,2019-05-03 08:00:00+00:00,13.8333,0.287586,0.589266,-0.0224002,173.851,174.216,0.210113,0.7552,0.7638,0.00860001,12.1168,11.8864,0.230414,0.192006,13.1621,34.9385,0.0235832,-0.536321,0.0759035,0.10442,0.50583,0.133156,0.31348,-7.71226e-05,0.0430074,-0.00860001,-8.72109e-07,9.69121e-06,0.42242,0.108941,0.0320936,0.00827684,0.0238168
2019-04-19 09:51:38.556000+00:00,2019-04-21 00:00:00+00:00,ATM,ETH-3MAY19-180-P,P,180,2019-05-03 08:00:00+00:00,13.8333,0.287305,0.581175,0.0329669,174.163,174.2,0.0211475,0.6329,0.6297,-0.0032,11.9266,11.3985,0.528047,-0.314013,13.2425,41.6899,0.107118,2.67157,0.0813212,0.104509,0.50583,0.133969,0.319799,-9.32223e-07,0.0363529,0.0032,-5.48442e-07,1.80791e-06,0.214034,-0.105765,0.0161626,-0.00798679,0.0241494
