entry_ts,hold_hours,entry_dow,instrument,expiry,T_days,wknd_life,wknd_hold,abs_delta,iv_in,iv_out,d_index,d_iv,vega_usd,gamma_per_vega,theta_per_vega,volga_per_vega,vanna_per_vega,charm_per_day,term_gamma,term_theta,term_vega,term_volga,term_vanna,attributed,gross_per_vega,net_per_vega,residual
2017-10-01 12:00:00+00:00,12,6,BTC-6OCT17-4400-C,2017-10-06 08:00:00+00:00,4.83333,0.103448,1,0.405508,0.787,0.794,85.15,0.00700005,191.322,95.9558,-0.0814138,0.100038,3.63835,-0.0132158,-0.0189175,0.040285,-0.00700005,-2.45097e-06,-0.000505727,0.0138593,-0.162637,-0.200709,-0.176497
2017-10-04 12:00:00+00:00,12,2,BTC-6OCT17-4200-P,2017-10-06 08:00:00+00:00,1.83333,0,0,0.421632,0.6381,0.661,-20.76,0.0229,117.359,312.006,-0.174027,0.0478221,-3.39497,0.0163779,-0.0037512,0.0913668,-0.0229,-1.25392e-05,-0.000381232,0.0643219,-0.00310987,-0.0334203,-0.0674318
2017-10-07 12:00:00+00:00,12,5,BTC-13OCT17-4500-C,2017-10-13 08:00:00+00:00,5.83333,0.257143,1,0.360934,0.6534,0.7307,87.81,0.0773,206.404,95.7628,-0.0560057,0.235421,5.27436,-0.0139976,-0.0194592,0.0237059,-0.0773,-0.000703354,-0.00821919,-0.0819758,-0.222702,-0.258829,-0.140727
2017-11-01 12:00:00+00:00,12,2,BTC-3NOV17-6600-C,2017-11-03 08:00:00+00:00,1.83333,0,0,0.501939,0.7158,1.1827,148.64,0.4669,186.405,278.138,-0.195218,-0.000273489,0.917052,-0.00506168,-0.070688,0.1078,-0.4669,2.98097e-05,-0.0096533,-0.439411,-0.747356,-0.778608,-0.307945
2017-11-02 12:00:00+00:00,12,3,BTC-3NOV17-7100-P,2017-11-03 08:00:00+00:00,0.833333,0,0,0.472216,1.2875,1.9505,-115.18,0.663,135.337,340.194,-0.7725,0.000423751,-0.12782,0.00187769,-0.0445523,0.34265,-0.663,-9.31338e-05,-0.00137151,-0.366367,-0.394714,-0.457025,-0.0283476
2017-11-03 12:00:00+00:00,12,4,BTC-10NOV17-7500-C,2017-11-10 08:00:00+00:00,6.83333,0.292683,0,0.489329,0.7222,0.9215,-275.8,0.1993,406.158,73.961,-0.0528439,0.00473705,1.27483,-0.00367592,-0.0507704,0.0287594,-0.1993,-9.40791e-05,0.00941407,-0.211991,0.132566,0.11291,0.344557
2017-11-12 12:00:00+00:00,12,6,BTC-17NOV17-6500-C,2017-11-17 08:00:00+00:00,4.83333,0.103448,1,0.498027,0.9012,1.4708,-505.37,0.5696,296.634,83.7963,-0.0932276,0.000638924,1.05094,-0.00449785,-0.256291,0.049421,-0.5696,-0.000103648,0.0468187,-0.729755,0.222,0.197991,0.951755
2017-11-16 12:00:00+00:00,12,3,BTC-17NOV17-7500-C,2017-11-17 08:00:00+00:00,0.833333,0,0,0.532688,0.9392,0.8411,394.7,-0.0981,142.86,466.354,-0.56352,0.00343381,-0.860651,0.00921288,-0.64227,0.320667,0.0981,-1.65228e-05,-0.0044311,-0.227951,-1.90039,-1.94153,-1.67244
2017-11-17 12:00:00+00:00,12,4,BTC-24NOV17-8000-C,2017-11-24 08:00:00+00:00,6.83333,0.292683,0,0.45509,1.0494,1.0971,-253.48,0.0477,422.43,50.9002,-0.0767854,0.0280059,1.79441,-0.00747232,-0.0269511,0.0435374,-0.0477,-3.18607e-05,0.00278538,-0.0283602,0.239642,0.219785,0.268002
2017-11-20 12:00:00+00:00,12,0,BTC-24NOV17-8000-C,2017-11-24 08:00:00+00:00,3.83333,0,0,0.526306,0.8676,0.9162,221.47,0.0486,326.984,109.748,-0.113165,-0.00175191,0.259728,-0.00119906,-0.0418954,0.0628363,-0.0486,2.06898e-06,-0.000348782,-0.0280059,-0.384634,-0.408278,-0.356628
2017-11-21 12:00:00+00:00,12,1,BTC-24NOV17-8000-P,2017-11-24 08:00:00+00:00,2.83333,0,0,0.385091,1.1158,0.9685,-129.75,-0.1473,275.844,115.454,-0.196906,0.0516831,-1.9934,0.0132117,-0.0144705,0.110867,0.1473,-0.000560692,0.00464888,0.247784,0.0456899,0.0083573,-0.202094
2017-11-22 12:00:00+00:00,12,2,BTC-24NOV17-8250-C,2017-11-24 08:00:00+00:00,1.83333,0,0,0.54143,1.146,1.1354,-76.22,-0.0106,233.197,173.727,-0.312545,0.00208961,-0.282956,0.0024869,-0.00733805,0.164599,0.0106,-1.17393e-07,2.75674e-05,0.167889,0.34663,0.31667,0.178741
2017-11-23 12:00:00+00:00,12,3,BTC-24NOV17-8250-C,2017-11-24 08:00:00+00:00,0.833333,0,0,0.487636,1.1692,1.0313,-128.23,-0.1379,156.716,374.615,-0.70152,0.00197122,1.49421,-0.0199737,-0.0455325,0.305494,0.1379,-1.87428e-05,-0.00321261,0.39463,0.819122,0.779161,0.424492
2017-11-25 12:00:00+00:00,12,5,BTC-1DEC17-8750-C,2017-12-01 08:00:00+00:00,5.83333,0.257143,1,0.461919,0.7672,0.9114,134.23,0.1442,433.3,81.5582,-0.06576,0.0234912,1.9717,-0.00651022,-0.00986609,0.0274887,-0.1442,-0.000244234,-0.00442242,-0.131244,-0.259225,-0.279987,-0.127981
2017-11-26 12:00:00+00:00,12,6,BTC-1DEC17-9000-C,2017-12-01 08:00:00+00:00,4.83333,0.103448,1,0.499629,0.86,0.719,355.5,-0.141,411.104,87.8107,-0.0889655,0.00013739,1.01192,-0.00413291,-0.0691937,0.046632,0.141,-1.36573e-06,0.00566423,0.124101,-0.329472,-0.35152,-0.453573
2017-11-27 12:00:00+00:00,12,0,BTC-1DEC17-9500-C,2017-12-01 08:00:00+00:00,3.83333,0,0,0.511463,0.8922,0.8899,250.75,-0.00230003,387.621,106.722,-0.116374,-0.00199922,0.691414,-0.00328831,-0.0372948,0.0656059,0.00230003,5.28809e-09,4.20421e-05,0.0306531,-0.306545,-0.330139,-0.337198
2017-11-29 12:00:00+00:00,12,2,BTC-1DEC17-11250-C,2017-12-01 08:00:00+00:00,1.83333,0,0,0.484737,1.2407,1.695,-952.92,0.4543,315.67,160.467,-0.338373,0.00351934,1.40263,-0.0134107,-0.583747,0.141125,-0.4543,-0.000363176,0.0543526,-0.842933,0.800136,0.771088,1.64307
2017-11-30 12:00:00+00:00,12,3,BTC-1DEC17-9750-C,2017-12-01 08:00:00+00:00,0.833333,0,0,0.503236,1.1321,2.1343,406.01,1.0022,185.65,386.892,-0.67926,-0.000288315,0.872093,-0.0112918,-0.336178,0.368926,-1.0022,0.000144792,-0.0364353,-1.00574,-1.59288,-1.63374,-0.587142
2017-12-03 12:00:00+00:00,12,6,BTC-8DEC17-11750-C,2017-12-08 08:00:00+00:00,4.83333,0.103448,1,0.512379,1.6047,1.4006,-498.2,-0.2041,533.176,47.06,-0.166003,-0.00305171,0.826169,-0.00629288,-0.0432528,0.0718624,0.2041,6.35623e-05,-0.0072295,0.225544,0.694301,0.672785,0.468758
2017-12-05 12:00:00+00:00,12,1,BTC-8DEC17-12000-C,2017-12-08 08:00:00+00:00,2.83333,0,0,0.456405,1.2958,1.0502,-68.39,-0.2456,411.099,99.4162,-0.228671,0.0196546,1.98458,-0.0158507,-0.00167825,0.131252,0.2456,-0.000592776,-0.00283213,0.371749,0.409625,0.383777,0.037876
2017-12-06 12:00:00+00:00,12,2,BTC-8DEC17-12750-C,2017-12-08 08:00:00+00:00,1.83333,0,0,0.503415,1.2392,2.5619,1225.87,1.3227,359.328,160.661,-0.337964,-0.000481295,0.915542,-0.00874823,-0.747364,0.186819,-1.3227,0.000421021,-0.116806,-1.99963,-3.12199,-3.15295,-1.12236
2017-12-08 12:00:00+00:00,12,4,BTC-15DEC17-16000-C,2017-12-15 08:00:00+00:00,6.83333,0.292683,0,0.52598,2.6331,2.4799,646.07,-0.1532,835.853,20.2858,-0.192666,-0.00719544,0.822544,-0.00863289,-0.0179824,0.107353,0.1532,8.44393e-05,0.0053059,0.247961,-0.171008,-0.191002,-0.418969
2017-12-11 12:00:00+00:00,12,0,BTC-15DEC17-17000-C,2017-12-15 08:00:00+00:00,3.83333,0,0,0.502812,1.8965,2.0425,61.6,0.146,682.774,50.2069,-0.24737,-0.000572132,0.970399,-0.00981389,-0.000341531,0.136798,-0.146,6.09779e-06,-0.000522579,-0.0100601,-0.053827,-0.0772491,-0.0437669
2017-12-13 12:00:00+00:00,12,2,BTC-15DEC17-17000-P,2017-12-15 08:00:00+00:00,1.83333,0,0,0.488058,1.7004,0.8841,-621.82,-0.8163,478.605,117.085,-0.463745,-0.00152525,0.767238,-0.010056,-0.0789356,0.2672,0.8163,0.000508172,-0.0229975,0.982075,0.101824,0.0659606,-0.880251
2017-12-19 12:00:00+00:00,12,1,BTC-22DEC17-18000-P,2017-12-22 08:00:00+00:00,2.83333,0,0,0.476328,1.1543,2.6819,-2063.79,1.5276,632.118,111.603,-0.2037,-0.0021756,0.41517,-0.0029673,-0.732269,0.0989713,-1.5276,0.00253845,0.0726519,-2.08571,-3.12261,-3.15223,-1.03691
2017-12-22 12:00:00+00:00,12,4,BTC-29DEC17-14500-C,2017-12-29 08:00:00+00:00,6.83333,0.292683,0,0.485863,1.8118,2.2587,420.54,0.4469,760.006,29.4815,-0.132571,0.00582532,1.14941,-0.00831202,-0.0134296,0.0764915,-0.4469,-0.000581716,-0.0155045,-0.399924,-0.653852,-0.673738,-0.253927
2017-12-23 12:00:00+00:00,12,5,BTC-29DEC17-15500-P,2017-12-29 08:00:00+00:00,5.83333,0.257143,1,0.500817,1.7335,1.5016,-554.68,-0.2319,762.713,36.0954,-0.148586,0.000353149,1.01259,-0.00758806,-0.0242787,0.0798655,0.2319,-9.49575e-06,-0.00861263,0.278865,-0.108494,-0.132848,-0.387359
2017-12-24 12:00:00+00:00,12,6,BTC-29DEC17-14000-C,2017-12-29 08:00:00+00:00,4.83333,0.103448,1,0.488448,1.7578,1.6049,214.36,-0.1529,625.5,42.9612,-0.181841,0.00407079,1.15183,-0.00961091,-0.00531182,0.104239,0.1529,-4.75842e-05,0.00276946,0.254549,0.0694414,0.0475435,-0.185107
2017-12-25 12:00:00+00:00,12,0,BTC-29DEC17-15000-C,2017-12-29 08:00:00+00:00,3.83333,0,0,0.454119,1.7409,1.8356,-700.61,0.0947,587.571,54.6943,-0.227074,0.0191776,1.6397,-0.0151236,-0.0641493,0.106822,-0.0947,-8.59934e-05,0.00752061,-0.0445931,0.503739,0.480606,0.548332
2017-12-27 12:00:00+00:00,12,2,BTC-29DEC17-16000-P,2017-12-29 08:00:00+00:00,1.83333,0,0,0.544991,1.5821,1.5757,-917.5,-0.00639999,441.038,125.84,-0.431482,0.0161296,2.00988,-0.0243632,-0.214906,0.217278,0.00639999,-3.30335e-07,-0.000751763,0.00802022,-1.1689,-1.20519,-1.17692
2017-12-28 12:00:00+00:00,12,3,BTC-29DEC17-14000-C,2017-12-29 08:00:00+00:00,0.833333,0,0,0.574302,2.0439,2.2141,69.32,0.1702,265.726,214.296,-1.22634,0.00863748,-0.949476,0.021797,-0.00255527,0.685245,-0.1702,-0.000125106,0.000789169,0.513153,0.481999,0.44115,-0.0311549
2018-01-05 12:00:00+00:00,12,4,BTC-12JAN18-16500-C,2018-01-12 08:00:00+00:00,6.83333,0.292683,0,0.490228,1.4884,1.4992,1012.09,0.0108,877.367,35.8873,-0.108907,0.003892,1.12424,-0.00668123,-0.0710998,0.0596991,-0.0108,-2.26982e-07,-0.000764296,-0.0229653,-0.588284,-0.608344,-0.565319
2018-01-19 12:00:00+00:00,12,4,BTC-26JAN18-11500-C,2018-01-26 08:00:00+00:00,6.83333,0.292683,0,0.608512,1.6169,1.467,-225.52,-0.1499,626.818,33.0352,-0.11831,0.0092215,-0.244738,0.00152172,-0.00590555,0.0572921,0.1499,-0.000103604,0.00069368,0.201877,0.417783,0.39774,0.215907
2018-01-29 12:00:00+00:00,12,0,BTC-2FEB18-11000-P,2018-02-02 08:00:00+00:00,3.83333,0,0,0.445734,1.5564,1.33,47.04,-0.2264,449.605,61.178,-0.203009,-0.00200897,0.143496,-0.00117992,-0.000549334,0.0900612,0.2264,5.14869e-05,0.000137674,0.316101,0.36224,0.331965,0.0461389
2018-02-01 12:00:00+00:00,12,3,BTC-2FEB18-9500-C,2018-02-02 08:00:00+00:00,0.833333,0,0,0.484359,1.4852,2.1181,-419.71,0.6329,179.959,294.91,-0.89112,0.00309043,1.57768,-0.0267771,-0.290954,0.469611,-0.6329,-0.000618955,0.0443545,-0.410508,0.952062,0.91254,1.36257
2018-02-17 12:00:00+00:00,12,5,BTC-23FEB18-11000-C,2018-02-23 08:00:00+00:00,5.83333,0.257143,1,0.5017,1.3933,1.4796,274.76,0.0863,546.696,44.9088,-0.119426,-0.00059969,0.972301,-0.0058562,-0.0144262,0.0546991,-0.0863,2.23316e-06,-0.00212685,-0.0481518,-0.288323,-0.309094,-0.240172
2018-02-19 12:00:00+00:00,12,0,BTC-23FEB18-11000-C,2018-02-23 08:00:00+00:00,3.83333,0,0,0.508363,1.5121,1.583,328.82,0.0709,445.756,62.9703,-0.19723,-0.00192384,0.858964,-0.00692464,-0.0286236,0.0885477,-0.0709,4.83539e-06,-0.00183624,-0.0128072,-0.367282,-0.390902,-0.354475
2018-02-20 12:00:00+00:00,12,1,BTC-23FEB18-11500-P,2018-02-23 08:00:00+00:00,2.83333,0,0,0.494816,1.4693,1.4408,-293.57,-0.0284999,401.468,87.6768,-0.259288,-0.00100976,0.90183,-0.00821836,-0.0289555,0.133252,0.0284999,4.10086e-07,-0.000660551,0.132136,-0.236749,-0.269837,-0.368886
2018-02-21 12:00:00+00:00,12,2,BTC-23FEB18-11000-C,2018-02-23 08:00:00+00:00,1.83333,0,0,0.526709,1.5852,1.458,-477.08,-0.1272,310.702,125.594,-0.432327,-0.00190654,0.397285,-0.00484511,-0.117817,0.190898,0.1272,1.54238e-05,-0.0021889,0.198107,0.994793,0.965264,0.796686
2018-02-22 12:00:00+00:00,12,3,BTC-23FEB18-10000-P,2018-02-23 08:00:00+00:00,0.833333,0,0,0.498592,1.456,1.7677,-254.89,0.3117,190.232,300.824,-0.8736,-0.000245673,0.919638,-0.0153142,-0.0981189,0.391294,-0.3117,1.19344e-05,0.0073213,-0.0111912,-0.464182,-0.519837,-0.45299
2018-02-23 12:00:00+00:00,12,4,BTC-2MAR18-10500-C,2018-03-02 08:00:00+00:00,6.83333,0.292683,0,0.469997,1.3172,1.4871,83.6,0.1699,554.714,40.5517,-0.0963805,0.0146559,1.41887,-0.00744344,-0.00136439,0.0493015,-0.1699,-0.000211529,-0.00197749,-0.124152,-0.187883,-0.207681,-0.0637307
2018-02-24 12:00:00+00:00,12,5,BTC-2MAR18-10500-C,2018-03-02 08:00:00+00:00,5.83333,0.257143,1,0.375928,1.3622,1.3864,-120.7,0.0242,470.234,45.9341,-0.11676,0.112811,2.83064,-0.0158606,-0.00348478,0.0557558,-0.0242,-3.30333e-05,0.00084379,0.0288818,0.128206,0.107053,0.0993239
2018-02-26 12:00:00+00:00,12,0,BTC-2MAR18-10000-C,2018-03-02 08:00:00+00:00,3.83333,0,0,0.451445,1.3347,1.4487,495.92,0.114,395.342,71.3399,-0.174091,0.0237493,1.89437,-0.0133827,-0.0924241,0.0886992,-0.114,-0.000154323,-0.0109929,-0.128872,-0.674065,-0.697948,-0.545193
2018-02-28 12:00:00+00:00,12,2,BTC-2MAR18-10500-P,2018-03-02 08:00:00+00:00,1.83333,0,0,0.50204,1.3145,1.3993,-15.12,0.0848,295.466,151.458,-0.3585,0.00032652,1.04722,-0.0106147,-0.00015853,0.169686,-0.0848,-1.17401e-06,0.000128487,0.0848548,0.0951242,0.0549865,0.0102693
2018-03-01 12:00:00+00:00,12,3,BTC-2MAR18-10500-C,2018-03-02 08:00:00+00:00,0.833333,0,0,0.63578,1.1552,1.5974,186.05,0.4422,191.076,379.155,-0.69312,0.0949094,-5.51958,0.0683544,-0.057377,0.397958,-0.4422,-0.00927933,0.042462,-0.068436,-0.556393,-0.598985,-0.487957
2018-03-03 12:00:00+00:00,12,5,BTC-9MAR18-12000-C,2018-03-09 08:00:00+00:00,5.83333,0.257143,1,0.42849,1.3722,1.1008,-65.69,-0.2714,568.922,45.5993,-0.117617,0.0456568,2.02706,-0.011835,-0.000748995,0.0508585,0.2714,-0.00168149,-0.00315321,0.316675,0.36061,0.339838,0.0439353
2018-03-06 12:00:00+00:00,12,1,BTC-9MAR18-11000-C,2018-03-09 08:00:00+00:00,2.83333,0,0,0.487311,1.1072,1.2113,-291.97,0.1041,383.463,116.351,-0.195388,0.00358289,1.31662,-0.00903785,-0.0416275,0.0897854,-0.1041,-1.94136e-05,0.00366634,-0.0522951,0.337093,0.311524,0.389388
2018-03-09 12:00:00+00:00,12,4,BTC-16MAR18-9000-C,2018-03-16 08:00:00+00:00,6.83333,0.292683,0,0.51348,1.2199,1.1711,412.89,-0.0488,486.97,43.7861,-0.089261,-0.00372729,0.794613,-0.00386938,-0.0468402,0.0401801,0.0488,4.43816e-06,0.00179362,0.0439379,-0.389016,-0.409064,-0.432954
2018-03-15 12:00:00+00:00,12,3,BTC-16MAR18-8000-C,2018-03-16 08:00:00+00:00,0.833333,0,0,0.58221,1.5684,1.2314,-84.7,-0.337,151.083,279.266,-0.94104,0.0184118,-1.82202,0.0319612,-0.0152492,0.518144,0.337,-0.00104551,0.00641672,0.845266,1.10859,1.06784,0.263321
2018-03-18 12:00:00+00:00,12,6,BTC-23MAR18-7500-C,2018-03-23 08:00:00+00:00,4.83333,0.103448,1,0.551316,1.2563,0.8213,786.53,-0.435,344.268,60.1108,-0.129962,-0.00159087,0.107099,-0.00063368,-0.325161,0.0568803,0.435,0.000150516,0.00484576,0.171716,-1.2278,-1.25113,-1.39952
2018-03-23 12:00:00+00:00,12,4,BTC-30MAR18-8500-C,2018-03-30 08:00:00+00:00,6.83333,0.292683,0,0.511852,0.9582,0.9562,438.68,-0.00199997,461.588,55.7448,-0.0701122,-0.00312434,0.775381,-0.0029662,-0.0749451,0.037539,0.00199997,6.24848e-09,8.04124e-05,-0.0353258,-0.522593,-0.54264,-0.487267
2018-03-24 12:00:00+00:00,12,5,BTC-30MAR18-9000-P,2018-03-30 08:00:00+00:00,5.83333,0.257143,1,0.547928,0.9491,1.0822,-286.21,0.1331,440.801,65.9271,-0.0813514,0.0311288,2.01731,-0.00821532,-0.034825,0.0471367,-0.1331,-0.000275733,0.00872729,-0.112337,-0.468622,-0.495976,-0.356285
2018-03-25 12:00:00+00:00,12,6,BTC-30MAR18-8500-P,2018-03-30 08:00:00+00:00,4.83333,0.103448,1,0.473351,0.8492,0.8725,102.02,0.0233,390.032,88.9275,-0.0878483,-0.00242588,0.314872,-0.00126701,-0.00638268,0.0411059,-0.0233,6.58495e-07,-8.79001e-05,0.011336,0.140442,0.110809,0.129106
2018-03-26 12:00:00+00:00,12,0,BTC-30MAR18-8000-P,2018-03-30 08:00:00+00:00,3.83333,0,0,0.450602,0.9753,0.948,117.42,-0.0273,326.975,97.6288,-0.127213,0.00307671,-0.241873,0.00124832,-0.0103613,0.0629292,0.0273,-1.14652e-06,-9.62017e-05,0.0797705,0.241393,0.208562,0.161622
2018-03-28 12:00:00+00:00,12,2,BTC-30MAR18-8000-P,2018-03-30 08:00:00+00:00,1.83333,0,0,0.459764,0.893,0.8417,-159.18,-0.0513,226.034,222.946,-0.243545,0.00418835,-0.588015,0.00402865,-0.0437504,0.109579,0.0513,-5.51123e-06,0.000597602,0.11772,-0.200679,-0.243865,-0.318399
2018-03-29 12:00:00+00:00,12,3,BTC-30MAR18-7500-C,2018-03-30 08:00:00+00:00,0.833333,0,0,0.500582,0.9169,1.9478,-623.45,1.0309,142.829,477.697,-0.55014,2.27759e-06,1.00109,-0.0104983,-1.65363,0.307671,-1.0309,-1.21026e-06,0.085871,-2.29099,0.804034,0.76855,3.09502
2018-04-01 12:00:00+00:00,12,6,BTC-6APR18-6500-P,2018-04-06 08:00:00+00:00,4.83333,0.103448,1,0.43889,1.0481,1.25,233.2,0.2019,298.239,72.0516,-0.108424,0.00482525,-0.273089,0.00134338,-0.0453394,0.0467939,-0.2019,-9.83473e-05,0.00195601,-0.198588,0.169642,0.140145,0.36823
