date,short_weekend_leg_net,short_weekday_leg_net,spread_net,spread_gross
2024-03-17 00:00:00+00:00,-0.2422405403908729,-0.307027545307302,0.06478700491642908,0.060497747634848956
2024-03-22 00:00:00+00:00,0.40490532090410175,0.21846655506430412,0.18643876583979763,0.22578016068614187
2024-03-23 00:00:00+00:00,0.43939862863593726,0.2528633351085918,0.18653529352734544,0.24352903353655897
2024-03-29 00:00:00+00:00,-0.12656444942904385,0.1433651795077478,-0.2699296289367916,-0.2890994265166275
2024-03-30 00:00:00+00:00,-0.175721417805307,0.004923497824267779,-0.1806449156295748,-0.150428266474255
2024-03-31 00:00:00+00:00,-0.12093313648335662,0.02697494321436774,-0.14790807969772435,-0.07284019612891227
2024-04-05 00:00:00+00:00,-0.048145522621819925,-0.04284842096076928,-0.005297101661050643,0.057858252520344405
2024-04-06 00:00:00+00:00,-0.18770846374876715,0.11653797779079807,-0.3042464415395652,-0.25921797708452804
2024-04-07 00:00:00+00:00,-0.13052729608863736,0.11737922418988621,-0.24790652027852356,-0.26599535889486325
2024-04-11 00:00:00+00:00,-0.06692034071134402,-0.10808927848446954,0.041168937773125525,-0.04847912604463855
2024-04-12 00:00:00+00:00,-0.3922537336873004,-0.4632950756721642,0.07104134198486384,0.04438524566488927
2024-04-14 00:00:00+00:00,-0.6862383648266656,-0.10144582151575814,-0.5847925433109075,-0.5641828466443936
2024-04-18 00:00:00+00:00,-0.41409599583758533,-0.6097765026241564,0.19568050678657106,0.07423957461531411
2024-04-20 00:00:00+00:00,-0.0022675522065366436,0.48762526343904744,-0.48989281564558407,-0.495047147736594
2024-04-21 00:00:00+00:00,0.38345253779932886,0.46433021676754976,-0.0808776789682209,-0.06365051661228383
2024-04-25 00:00:00+00:00,0.5050562668946137,0.02884195209896149,0.4762143147956522,0.3992746547224941
2024-04-26 00:00:00+00:00,-0.11171210656659353,0.05878482925036263,-0.17049693581695616,-0.1347059927626808
2024-04-27 00:00:00+00:00,-0.17411158906516364,-0.2243812980437274,0.050269708978563754,0.031062098351883935
2024-04-28 00:00:00+00:00,0.22934178140469655,-0.07167447123701053,0.30101625264170706,0.3239266891297733
2024-05-02 00:00:00+00:00,-0.13443664135547986,0.04200128520353981,-0.1764379265590197,-0.11869940806248991
2024-05-03 00:00:00+00:00,-0.2627355346242282,-0.07358492265004296,-0.18915061197418526,-0.19663771040383182
2024-05-04 00:00:00+00:00,0.2158557825273532,-0.0481049219234119,0.26396070445076514,0.3081376576542498
