wk_bucket,n,mean,sd,median,t
weekday_only,377,-0.13111849107532014,0.21864186190463197,-0.09513532153408229,-11.643975976272905
weekend_heavy,377,-0.14140902491364876,0.2123063134227062,-0.1118065138709528,-12.932571661619034
