trade_no,asset,rehedge_min,entry_ts,exit_ts,instrument,strike,cp,expiry,hold_hours,wknd_frac,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,option_fees,spread_cost,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega,cum_net_per_vega
134,BTC,240,2023-02-10 12:35:28.802000+00:00,2023-02-12 00:00:00+00:00,BTC-12FEB23-21750-P,21750,P,2023-02-12 08:00:00+00:00,35.4087,0.73718,21741.2,21861.7,0.554527,0.3798,0.2887,-0.0911,237.947,32.7567,205.191,-93.3222,12.6386,10.6169,5.35967,614.705,111.868,83.2533,0.181987,0.135436,9.14281
135,BTC,240,2023-03-03 12:32:52.619000+00:00,2023-03-05 00:00:00+00:00,BTC-5MAR23-22250-C,22250,C,2023-03-05 08:00:00+00:00,35.4521,0.736444,22334.5,22346,0.0516035,0.3943,0.2414,-0.1529,293.024,123.868,169.156,-10.3438,9.81946,13.4041,5.4447,624.458,158.813,130.144,0.254321,0.208412,9.35122
136,BTC,240,2023-03-17 12:43:48.363000+00:00,2023-03-19 00:00:00+00:00,BTC-19MAR23-26250-P,26250,P,2023-03-19 08:00:00+00:00,35.2699,0.739544,26599.5,27078.2,1.79956,0.787,0.7849,-0.00209999,429.61,28.2095,401.4,-300.753,11.6133,11.506,6.33106,726.116,100.648,71.1971,0.138611,0.0980521,9.44927
137,BTC,240,2023-03-24 12:43:48.697000+00:00,2023-03-26 00:00:00+00:00,BTC-26MAR23-27750-C,27750,C,2023-03-26 08:00:00+00:00,35.2698,0.739546,28027.9,27563.9,-1.65564,0.6557,0.4038,-0.2519,667.797,61.552,606.245,-363.884,15.8071,16.1024,6.71705,770.385,242.361,203.735,0.314598,0.264459,9.71373
138,BTC,240,2023-04-07 12:41:00.350000+00:00,2023-04-09 00:00:00+00:00,BTC-9APR23-28000-P,28000,P,2023-04-09 08:00:00+00:00,35.3166,0.738747,27877,27959.3,0.295248,0.3618,0.2077,-0.1541,351.515,92.3073,259.208,-23.6884,13.7723,16.7509,6.78602,778.295,235.519,198.21,0.302609,0.254672,9.9684
139,BTC,240,2023-04-21 12:27:52.407000+00:00,2023-04-23 00:00:00+00:00,BTC-23APR23-28000-C,28000,C,2023-04-23 08:00:00+00:00,35.5354,0.735033,28191.7,27765.5,-1.5117,0.3622,0.3224,-0.0398,393.659,29.1729,364.486,-380.083,18.296,12.1041,6.68529,766.742,-15.5968,-52.6822,-0.0203417,-0.0687092,9.89969
140,BTC,240,2023-05-05 12:34:10.082000+00:00,2023-05-07 00:00:00+00:00,BTC-7MAY23-29000-C,29000,C,2023-05-07 08:00:00+00:00,35.4305,0.736809,28867.1,28867.5,0.00143952,0.3382,0.3125,-0.0257,215.271,55.3293,159.942,-281.829,23.5822,15.5763,7.00243,803.115,-121.888,-168.048,-0.151769,-0.209246,9.69045
141,BTC,240,2023-05-12 12:36:20.718000+00:00,2023-05-14 00:00:00+00:00,BTC-14MAY23-26500-P,26500,P,2023-05-14 08:00:00+00:00,35.3942,0.737425,26454.7,26893.4,1.65817,0.3938,0.3634,-0.0304,317.995,12.2052,305.79,-226.414,15.4604,9.46207,6.51436,747.138,79.3763,47.9395,0.106241,0.0641642,9.75461
142,BTC,240,2023-05-26 12:44:10.548000+00:00,2023-05-28 00:00:00+00:00,BTC-28MAY23-26500-C,26500,C,2023-05-28 08:00:00+00:00,35.2637,0.739649,26417.6,27001.3,2.20951,0.3004,0.4952,0.1948,185.934,521.478,-335.544,199.989,17.9973,16.0257,6.45293,740.093,-135.555,-176.031,-0.18316,-0.23785,9.51676
143,BTC,240,2023-06-02 12:44:47.628000+00:00,2023-06-04 00:00:00+00:00,BTC-4JUN23-27250-C,27250,C,2023-06-04 08:00:00+00:00,35.2534,0.739826,27161.4,27068.1,-0.343382,0.2991,0.2736,-0.0255,188.463,26.519,161.944,-61.2461,14.2177,11.4633,6.62768,760.134,100.698,68.3891,0.132474,0.0899697,9.60673
144,BTC,240,2023-07-21 12:41:28.336000+00:00,2023-07-23 00:00:00+00:00,BTC-23JUL23-30000-C,30000,C,2023-07-23 08:00:00+00:00,35.3088,0.73888,29856.7,29803.7,-0.177543,0.2535,0.2272,-0.0263,150.439,18.585,131.854,-34.495,13.6891,11.2801,7.12036,816.641,97.3594,65.2698,0.119219,0.0799248,9.68665
145,BTC,240,2023-07-28 12:28:48.684000+00:00,2023-07-30 00:00:00+00:00,BTC-30JUL23-29250-P,29250,P,2023-07-30 08:00:00+00:00,35.5198,0.735297,29276.3,29356.6,0.274052,0.2326,0.1348,-0.0978,179.574,12.1519,167.422,-55.2144,14.4821,10.3019,7.20303,826.122,112.207,80.2203,0.135824,0.0971046,9.78376
146,BTC,240,2023-08-11 12:38:19.443000+00:00,2023-08-13 00:00:00+00:00,BTC-13AUG23-29250-P,29250,P,2023-08-13 08:00:00+00:00,35.3613,0.737986,29396,29416.6,0.0701935,0.1988,0.1226,-0.0762,102.018,2.95346,99.0643,-10.699,9.64306,9.18797,6.79121,778.89,88.3653,62.7431,0.11345,0.0805545,9.86431
147,BTC,240,2023-08-25 12:35:01.672000+00:00,2023-08-27 00:00:00+00:00,BTC-27AUG23-26250-C,26250,C,2023-08-27 08:00:00+00:00,35.4162,0.737052,26107.8,26004,-0.397594,0.333,0.1822,-0.1508,181.885,2.5682,179.316,-43.5618,9.14245,8.15337,6.28459,720.785,135.755,112.174,0.188343,0.155628,10.0199
148,BTC,240,2023-09-22 12:37:15.023000+00:00,2023-09-24 00:00:00+00:00,BTC-24SEP23-26500-P,26500,P,2023-09-24 08:00:00+00:00,35.3792,0.737681,26601.5,26575.7,-0.0972534,0.234,0.1169,-0.1171,129.541,11.1292,118.412,-0.487625,9.78792,9.37162,6.37338,730.969,117.924,92.3916,0.161326,0.126396,10.1463
149,BTC,240,2023-09-29 12:40:59.122000+00:00,2023-10-01 00:00:00+00:00,BTC-1OCT23-27000-P,27000,P,2023-10-01 08:00:00+00:00,35.3169,0.738742,26994.2,26983.5,-0.039678,0.2468,0.1425,-0.1043,191.301,55.0986,136.203,-19.4931,14.9923,14.9856,6.65461,763.224,116.71,80.0772,0.152917,0.10492,10.2513
150,BTC,240,2023-10-06 12:07:51.693000+00:00,2023-10-08 00:00:00+00:00,BTC-8OCT23-27750-P,27750,P,2023-10-08 08:00:00+00:00,35.869,0.729445,27747.8,27973.6,0.81362,0.2493,0.2061,-0.0432,196.675,8.09555,188.58,-141.572,15.6156,9.33629,6.84038,784.529,47.0074,15.2151,0.0599179,0.0193939,10.2706
151,BTC,240,2023-10-20 12:41:31.605000+00:00,2023-10-22 00:00:00+00:00,BTC-22OCT23-29500-P,29500,P,2023-10-22 08:00:00+00:00,35.3079,0.738895,29719.9,29907.6,0.631574,0.3884,0.3067,-0.0817,226.974,8.43415,218.54,-104.901,12.657,9.97023,7.03795,807.189,113.639,83.9738,0.140784,0.104032,10.3747
152,BTC,240,2023-10-27 12:42:42.252000+00:00,2023-10-29 00:00:00+00:00,BTC-29OCT23-34250-C,34250,C,2023-10-29 08:00:00+00:00,35.2883,0.73923,34016.2,34058.8,0.125138,0.4302,0.2518,-0.1784,308.693,34.934,273.759,-0.800419,13.1699,14.5716,8.20387,940.909,272.959,237.013,0.290101,0.251898,10.6266
