asset,exit,n_common,gross_per_vega,net_per_vega,t,hit_rate,mean_hold_hours,mean_iv_change
BTC,sat_00,86,0.017629473362288914,-0.023589159330326705,-2.894402817824443,0.36046511627906974,11.391795213178293,-0.027236046458399575
BTC,sat_12,86,0.04354672282226079,-0.0060159164873715655,-0.6398260335517,0.5465116279069767,23.391795213178295,-0.04212093031683633
BTC,sun_00,86,0.030376280344372692,-0.028186945456009856,-2.58873314109864,0.4069767441860465,35.39179521317829,-0.013411630475243852
BTC,mon_00,86,0.014404289592950459,-0.06757854970753631,-5.366612589228083,0.23255813953488372,59.391795213178305,0.06242558146631995
ETH,sat_00,50,0.008741478717435788,-0.03697819600158508,-2.5228784168064533,0.28,11.443239466666666,-0.020567998123168955
ETH,sat_12,50,0.03355802541549492,-0.021295876762445282,-1.4416667454268042,0.48,23.443239466666665,-0.034143999290466305
ETH,sun_00,50,0.032441042513639384,-0.03355806413341211,-2.15058722852006,0.44,35.44323946666666,-0.018162000274658207
ETH,mon_00,50,0.002231755631370696,-0.09225972239980676,-5.280749996569928,0.22,59.44323946666666,0.07080199928283692
