asset,bucket,n,gross_per_vega,net_per_vega,median_net,t,hit_rate,cost_per_vega,half_spread_volpts,median_vega_usd,net_usd_per_contract,mean_iv_change,call_share,term_gamma,term_theta,term_vega,term_volga,term_vanna
BTC,deep ITM,290,-0.018433640123622218,-0.11048793089705698,-0.06870417862221424,-1.7786628119668417,0.36551724137931035,0.09205429077343472,0.6546218012904255,864.1908032513438,-116.91276439349902,0.05867654872762745,0.603448275862069,-0.08873662306250152,0.07783055408163209,-0.05867654872762745,-0.0877323326652222,0.03596039112526138
BTC,ITM,1055,-0.003144630129235114,-0.04041855819439544,-0.01546900291155235,-3.9622580060150443,0.4161137440758294,0.03727392806516031,0.45593734582265183,2105.6040972344294,-97.07318630776643,0.021365401878176142,0.6,-0.07102703777765587,0.0634480740790495,-0.021365401878176142,-0.006381430121250784,0.007792094720355137
BTC,ATM,5350,0.0157260256659692,-0.012085637185119732,-0.006876886656703718,-6.29183084561774,0.4530841121495327,0.027811662851088933,0.32549328966454955,2723.0601343707467,-50.56891430738771,0.0004432525795196819,0.5379439252336449,-0.04277611883816763,0.0601410392302911,-0.0004432525795196819,-0.000261277908109413,0.0003080558507193038
BTC,OTM,5586,0.008904405998396094,-0.019783825204398423,-0.01195041992819737,-13.388086441285388,0.4020766201217329,0.028688231202794512,0.336640782432196,2120.2161352477506,-52.201338251655336,0.008842535138428958,0.5071607590404583,-0.04038497111169128,0.060540163234813794,-0.008842535138428958,-0.0028645346185808907,0.005576113865761259
BTC,deep OTM,6513,-0.00419381614144832,-0.04516021812064566,-0.024198661517676513,-16.28248315067767,0.308152924919392,0.04096640197919735,0.44610538959503204,884.3013496899629,-40.27735362490568,0.03284615390003871,0.49623829264547825,-0.0420570508769855,0.06739363059798475,-0.03284615390003871,-0.014626909774594606,0.014441705113467821
ETH,deep ITM,245,-0.5379577146234155,-0.7399403428907144,-0.1458108562801003,-3.598218010765926,0.3510204081632653,0.201982628267299,1.1500976911557212,39.66747734985966,-9.383802648437381,0.1681199973748655,0.5714285714285714,-0.13631913531456688,0.08978599384571845,-0.1681199973748655,-0.2531460218496085,0.2075864325514872
ETH,ITM,693,-0.021881877236613514,-0.06697319737543059,-0.03326880474312832,-6.538492438550446,0.39105339105339104,0.04509132013881708,0.7824684127857416,103.7851808700294,-7.841203395316554,0.03131688210183235,0.56998556998557,-0.10893521932762229,0.0774036171927983,-0.03131688210183235,-0.00616852075267569,0.015628981121561605
ETH,ATM,4326,0.010824660300063278,-0.022391497590074604,-0.013380389948933221,-10.272813737824913,0.4308830328247804,0.03321615789013788,0.5058301044542662,130.31400293693503,-3.486688287223821,0.006540962389867944,0.5346740638002774,-0.0707534429525666,0.07953577473418508,-0.006540962389867944,-0.0002846490128712957,0.0013631564170558884
ETH,OTM,4519,0.005098998438432365,-0.02841809010992359,-0.015714711718830442,-15.089258178968311,0.404292985173711,0.03351708854835595,0.5011216905381978,100.45814364321755,-3.3123066791376505,0.015559393107614096,0.5204691303385705,-0.06422715170158978,0.07856568037046462,-0.015559393107614096,-0.003470831169216942,0.00777544992408041
ETH,deep OTM,4793,-0.01440970498210806,-0.06247071309503552,-0.029928327207374643,-17.713886795685877,0.29772585019820574,0.04806100811292746,0.6191461404493699,44.181493783565266,-2.8937959497194488,0.041228729513078,0.5078239098685583,-0.06611515638576422,0.08467794440766856,-0.041228729513078,-0.016640889958745502,0.013580754392506026
