asset,implied_ratio,implied_se,realized_ratio,cont_ratio,jump_ratio,jump_share_wd,jump_share_we,n_wd,n_we,bound_lo,bound_hi,implied_inside_bound,kappa_star,jump_ratio_lo,jump_ratio_hi,p_reachable,kappa_lo,kappa_hi,n_boot,ratio_k1,gap_k1,ratio_k2,gap_k2,ratio_k3,gap_k3,ratio_k5,gap_k5,ratio_k10,gap_k10,gap_bound
BTC,0.635027,0.033847,0.583748,0.560848,0.625756,0.352815,0.378204,2088,834,0.583748,0.625756,False,,0.472212,0.82696,0.2715,1.062441,74.623014,2000,0.583748,0.051278,0.594704,0.040323,0.601127,0.033899,0.608335,0.026692,0.615695,0.019331,0.00927
ETH,0.645406,0.039848,0.606687,0.617621,0.583473,0.320186,0.307935,1931,772,0.583473,0.606687,False,,0.453489,0.772449,0.1305,1.05351,94.568133,2000,0.606687,0.038719,0.601057,0.044349,0.597625,0.047781,0.593652,0.051754,0.589454,0.055952,0.038719
SOL,0.558387,0.030122,0.655853,0.61575,0.782894,0.23993,0.286405,654,260,0.655853,0.782894,False,,0.437719,1.373037,0.095,1.033408,100.264326,2000,0.655853,-0.097466,0.680436,-0.122048,0.697047,-0.13866,0.718068,-0.159681,0.742683,-0.184296,-0.097466
XRP,0.487548,0.064263,0.623306,0.612853,0.642012,0.358471,0.369229,634,252,0.623306,0.642012,False,,0.356155,1.122954,0.112,1.047201,121.029639,2000,0.623306,-0.135758,0.628242,-0.140694,0.631117,-0.143569,0.634326,-0.146778,0.637586,-0.150038,-0.135758
