date,outright_net,spread_net,outright_gross
2020-02-06 00:00:00+00:00,0.4323513889659333,0.3812525162499725,0.45797761959411987
2020-02-08 00:00:00+00:00,-0.05701371393970018,0.13208840800214688,-0.021845204602581412
2020-02-09 00:00:00+00:00,0.18643793117558718,0.42154542279285506,0.22139691717138682
2020-02-15 00:00:00+00:00,-0.6120924793436021,-0.5510757340651173,-0.5631231560997497
2020-02-16 00:00:00+00:00,0.15857741453029495,0.4098502271841646,0.20089656720996787
2020-02-20 00:00:00+00:00,0.5226233071078509,-0.023416699442959876,0.5494107697292557
2020-02-22 00:00:00+00:00,-0.11248768870788847,0.1263277356636879,-0.07048808489102003
2020-02-23 00:00:00+00:00,-0.3348273363214699,-0.2649618769680797,-0.28728739647065926
2020-02-29 00:00:00+00:00,0.18093689185381034,0.09989486924968313,0.21502298653190147
2020-03-01 00:00:00+00:00,0.36902797779492336,0.47421190775869004,0.40240996593206085
2020-03-05 00:00:00+00:00,-0.003180154143052613,0.2469219992088338,0.03894823575569852
2020-03-06 00:00:00+00:00,-0.3283528688523515,-0.4807080623468721,-0.3056191271859018
2020-03-07 00:00:00+00:00,-0.3058393858021736,0.1615619763279485,-0.2675902744380058
2020-03-14 00:00:00+00:00,0.7079988841173877,2.1781473794253343,0.7425387939913943
2020-03-15 00:00:00+00:00,-0.44522552457332243,-0.19833247837087828,-0.4166122611054696
2020-03-19 00:00:00+00:00,-2.1418800236413116,0.059149882448169766,-2.1104298931607572
2020-03-21 00:00:00+00:00,1.6249887299343206,1.314664738190764,1.6548837557247942
2020-03-22 00:00:00+00:00,0.3094866833805232,-0.1656996638631188,0.3459591969303311
2020-03-26 00:00:00+00:00,-0.12510986489281928,-0.97561911013778,-0.1009686761087088
2020-03-28 00:00:00+00:00,0.6703063698399546,0.36813770339987195,0.7102362144528451
2020-03-29 00:00:00+00:00,-0.18011018484976893,0.19844108714399905,-0.1315010414271568
2020-04-02 00:00:00+00:00,-0.039138318550737725,-0.278623554654986,0.0028860572027050555
2020-04-04 00:00:00+00:00,0.3340914364383398,0.2225478114459997,0.36656358173305736
2020-04-05 00:00:00+00:00,0.035351365154460836,0.03579320968943353,0.07903429963868627
2020-04-09 00:00:00+00:00,-0.37539588076679453,-0.11511299598731273,-0.34575111737342146
2020-04-11 00:00:00+00:00,0.7300582128427329,0.576888090836021,0.7699132773841952
2020-04-12 00:00:00+00:00,0.20047876692663713,0.10447427407270746,0.23489321464760354
2020-04-16 00:00:00+00:00,0.705110833062605,1.8829636976897974,0.7443288196718052
2020-04-17 00:00:00+00:00,0.6243114122870176,0.35195362400974506,0.6551995478788855
2020-04-18 00:00:00+00:00,0.07205144375722462,0.4759538809175124,0.12246796802687826
