asset,rehedge_minutes,median_sat_tilt,median_sun_tilt,n,mean,t,sharpe,recent_n,recent_mean,recent_t,recent_sharpe
BTC,60,1.0,0.0,1076,0.056004740661085316,1.9439953337091636,0.9407827655604524,155,-0.027976307806069474,-2.697956280476251,-3.440086232061571
BTC,1440,1.0,0.0,1076,0.07774130985146144,2.592467468086219,1.2546062595727105,155,-0.03865327714424856,-1.5924012979438347,-2.0304249630044295
ETH,60,1.0,0.0,1007,0.01865637786740238,2.3954919105074994,1.198340517690593,153,0.0031515242642565313,0.18972408504914512,0.24348769706044543
ETH,1440,1.0,0.0,1007,0.013377055133625809,0.8708592542411326,0.4356457748763062,153,0.00910205724563903,0.2685527416719834,0.3446546525289178
