asset,hold_hours,window,n,net_per_vega,t,hit_rate,mean_d_iv,mean_wknd_life
BTC,12,no weekend,4790,-0.047604347612646064,-14.536071675931113,0.39707724425887264,0.005473652961109775,0.13865566097684218
BTC,12,spans a weekend,2306,-0.05661562548973836,-19.2428179495283,0.24631396357328708,0.04195667827635978,0.4575401886852585
BTC,24,no weekend,2571,-0.029747343940006846,-6.876795381121581,0.4488525865422015,0.01711781337074805,0.06344530515865125
BTC,24,spans a weekend,2498,-0.021171414968270564,-7.157614271551335,0.41393114491593275,0.011980664151682674,0.39416180539917206
BTC,36,no weekend,2257,-0.029242553980155343,-5.000299276121347,0.4474966770048737,0.03553252067194082,0.06176202235067692
BTC,36,spans a weekend,2378,-0.03729451230379972,-10.55299354255767,0.3864592094196804,0.05880794729476621,0.39693826979662133
BTC,48,no weekend,1109,-0.037266652951326106,-4.433421504687368,0.46348061316501354,0.05223237041958395,0.02518339832894776
BTC,48,spans a weekend,1092,-0.01938338471891294,-4.753592562691999,0.391025641025641,0.045729669336870914,0.37236184464812927
BTC,72,no weekend,413,-0.0002950470442939227,-0.02359248888381277,0.5108958837772397,0.09777844731513292,0.0065270028424044635
BTC,72,spans a weekend,894,-0.03139589183129581,-5.20799922431876,0.4172259507829978,0.05977695704039844,0.3001896194292302
ETH,12,no weekend,4066,-0.06300483948391196,-14.468500827780206,0.3880964092474176,0.006213920180925408,0.14365504937300735
ETH,12,spans a weekend,1907,-0.08215949444545578,-17.32874423906815,0.24069218668065023,0.06159879367640335,0.46906579343107924
ETH,24,no weekend,2202,-0.037863603541670274,-8.386087042786464,0.4604904632152589,0.015365440488186452,0.06730538765354824
ETH,24,spans a weekend,2136,-0.03279159066499029,-8.649491542170491,0.4035580524344569,0.013357209998570131,0.40809037586644487
ETH,36,no weekend,1809,-0.05363343943853561,-8.630777756572016,0.4461028192371476,0.04024952973892441,0.059029557063683104
ETH,36,spans a weekend,1962,-0.05649852266073632,-10.897751007025962,0.37869520897043835,0.07371809390949789,0.41248050591278956
ETH,48,no weekend,935,-0.04654977308874943,-5.8161026687173605,0.4374331550802139,0.05000887700453162,0.028458498023715414
ETH,48,spans a weekend,919,-0.04398503920962581,-8.59808561470237,0.3786724700761698,0.05106713734980635,0.3786725573468465
ETH,72,no weekend,330,-0.03303799675647259,-2.6132620705803937,0.44545454545454544,0.10395272838708126,0.008168642951251647
ETH,72,spans a weekend,726,-0.034836887154111436,-6.266281719989762,0.4118457300275482,0.05763884297415573,0.3051412195247151
