currency,_all,n,wknd_frac_mean,eff_time_frac,vol_cut_pct,vol_cut_points,elasticity,price_cut_pct,price_cut_pct_mean,price_gap_pct,tv_usd_m,tv_flat_usd_m,tv_fair_usd_m,discount_usd_m,gap_usd_m,prem_paid_usd_m
BTC,all,13590751,0.21592648674627848,0.9211925670760505,-4.100726085730343,-2.8782661451356346,1.7679276649436777,-7.029301944631583,-7.0293019446315785,1.0890992049630954,8178.268792486597,8796.608999984117,8090.158935836154,618.3402074975204,88.10985665044308,10443.282295481433
ETH,all,9217106,0.21631161257883016,0.9232972065573749,-3.983876315581078,-3.4548839380596936,1.7738558604671872,-6.862850621053218,-6.862850621053234,0.819611450404234,3836.428342372021,4119.117202914123,3805.240158319058,282.68886054210185,31.18818405296278,4901.765338007223
SOL,all,422919,0.2175990964887265,0.903905496755792,-5.043181395919253,-4.737245863953408,1.6955182378299485,-8.273423811765657,-8.27342381176566,-2.013489715197736,66.79894938495902,72.82398641793765,68.17157707811495,6.025037032978639,-1.3726276931559442,82.31714496395901
XRP,all,135445,0.2142576299301342,0.8902031986968707,-5.84378229444927,-6.675511423438085,1.6413031212075415,-9.332691022714512,-9.332691022714526,-2.6762360095722637,25.16580737484963,27.756208559310302,25.857823765760653,2.59040118446067,-0.6920163909110203,32.21792777484963
