spec,n,beta,t,p,r2
"levels, no controls",2191,4.562407985605896e-05,7.822557879621292,5.176064232800452e-15,0.1971718465407286
"levels, with controls",979,3.0337586608619245e-05,3.528445100008273,0.0004180086440098001,0.17937545570064928
