spec,n,beta,t,p,vol_pts_per_sd,r2_within
"vega, two-way cluster",35045,7.970960286486185e-05,2.2938201979035946,0.021807112569033782,0.5571174967113128,0.013950087067119976
"vega, Driscoll-Kraay",35045,7.970960286486185e-05,3.2644280328549367,0.0010979752122006747,0.5571174967113128,0.013950087067119976
"gamma, two-way cluster",35045,1.4847720169572611e-05,1.1960996478165455,0.23166631135771376,0.13353311210722943,-0.0005051665443600584
"vega, no time FE",35045,0.00023712434140588435,3.262139828329298,0.0011068034546086736,1.657342587910458,0.02494184182506165
"vega, no bucket FE",35045,4.548542576971351e-06,0.10936152579921178,0.9129164165655996,0.03179130949207364,0.0009476963315470099
