currency,measure,n,mean,sd,median,share_positive
BTC,dh_ret_vw,2662,-0.003258678687342527,0.033589493577845214,-0.008290178085174307,0.3031555221637866
BTC,dh_ret_ew,2662,-0.021405538943252287,0.05285526022104712,-0.028605071061796532,0.20360631104432758
BTC,mfiv_30,3449,0.7295372008441503,0.25162833091212505,0.6774509022631644,1.0
BTC,vrp_ante_30,2191,0.031083627555443052,0.08996919417504161,0.01671090560995392,0.583295298950251
BTC,vrp_post_30,2892,0.06515622022573528,0.24478109799886216,0.10072684235339169,0.7320193637621023
BTC,exp_atm_7,2191,-0.01629159936786737,0.08857275535135073,-0.019345698300312353,0.3861250570515746
BTC,exp_atm_30,2191,-0.03209322119657809,0.08493076173155087,-0.04291459035834294,0.29849383842994065
BTC,exp_atm_60,2191,-0.028292730494370776,0.09871425101341752,-0.042275200412192016,0.32450935645823825
BTC,exp_atm_90,2191,-0.023561397656141816,0.11043081394127974,-0.04081361031625719,0.37015061615700595
ETH,dh_ret_vw,2662,-0.003841463828711148,0.04064491969146293,-0.010681488986119063,0.32268970698722765
ETH,dh_ret_ew,2662,-0.026686732807185348,0.06420994481199803,-0.036160747947200304,0.21149511645379415
ETH,mfiv_30,2703,0.8107693784341362,0.23941529990566335,0.7549739143177998,1.0
ETH,vrp_ante_30,803,-0.04714525086743713,0.07791734521811797,-0.046314320132611164,0.26650062266500624
ETH,vrp_post_30,1504,0.009983375443613563,0.26755549419700836,0.06794959917978804,0.5904255319148937
ETH,exp_atm_7,803,-0.054371965046475915,0.07880703173617346,-0.05929522237110113,0.21046077210460773
ETH,exp_atm_30,803,-0.10918298686016682,0.07866393002004754,-0.10561155699720048,0.053549190535491904
ETH,exp_atm_60,803,-0.15066615450808543,0.11912462635929447,-0.11455984883806847,0.023661270236612703
ETH,exp_atm_90,803,-0.17119626028412854,0.15039888796372938,-0.1160243969947139,0.0224159402241594
