spec,n,beta,t,p,r2
h=1,638,-3.284228839548279e-05,-0.6347888019390903,0.5255661676318022,0.007510072993961225
h=5,634,-1.642060216927113e-05,-0.34430094316615295,0.730619975059807,0.029327804541756652
h=22,621,-4.253279041313141e-05,-1.7846251104881024,0.0743221456033285,0.2743362863164881
