currency,_all,n,tv_obs_usd_m,prem_obs_usd_m,tv_noclock_usd_m,discount_usd_m,gap_usd_m,price_cut_pct,price_gap_pct,bucket,year
BTC,all,13580090,8193.756417978773,10426.526894290419,8813.488785224743,619.7323672459697,88.29864548317528,-7.031635057900254,1.0893727160333988,,
BTC,,3088067,348.80011261228276,916.5678649867161,421.42409689572395,72.62398428344119,9.439788208966732,-17.23299280188315,2.781641674100932,far wing,
BTC,,2813338,924.3278894874808,1402.2061216086072,1042.0546648692355,117.72677538175463,16.434907217209457,-11.297562340122324,1.8102251628944632,wing,
BTC,,3498542,2460.0140643144987,3126.951692096502,2661.505053627742,201.49098931324338,29.025670383628846,-7.570565723277611,1.1939863824974806,near,
BTC,,4180143,4460.614351564512,4980.801215598593,4688.504969832043,227.8906182675314,33.39827967337131,-4.860624436443651,0.7543855807133681,at the money,
BTC,,21637,3.45156527729295,6.18393457749295,3.6503169267280673,0.19875164943511736,0.028251426800639367,-5.444777903524855,0.825265460149871,,2017.0
BTC,,66937,8.0664660332382,15.854063611711364,8.531951859872324,0.4654858266341239,0.06574034519525244,-5.455795277319931,0.821679779541773,,2018.0
BTC,,250817,77.13721332600167,112.06564615936315,82.17069067014346,5.033477344141781,0.7109351907121986,-6.1256359208998195,0.9302234886457539,,2019.0
BTC,,801240,318.38692720970454,435.7249465132684,341.59546293431515,23.208535724610627,3.298952547866702,-6.794158073777856,1.046994113757349,,2020.0
BTC,,1580319,1788.2824925020022,2258.3448302311954,1928.7085780605225,140.42608555852033,20.04964243426466,-7.280834811225367,1.1338802145597793,,2021.0
BTC,,1662798,834.5964056535535,1067.3523055321964,894.8855212075784,60.28911555402493,8.58858070348811,-6.737075762793598,1.0397698961274848,,2022.0
BTC,,2188650,663.2996532299574,855.5426029864708,712.513284346093,49.213631116135595,7.02840256498909,-6.907047517198405,1.07095999677993,,2023.0
BTC,,2958327,1845.0812941621173,2352.014687378457,1975.238276485665,130.15698232354785,18.56097584186268,-6.5894319623616475,1.0161932312328315,,2024.0
BTC,,2796387,1895.5391777520467,2409.991546272669,2041.9348825341324,146.39570478208566,20.825104845730543,-7.1694600074808434,1.1108416556262268,,2025.0
BTC,,1252978,759.9152228328594,913.4523310275943,824.2598201996934,64.34459736683405,9.142059582266926,-7.806348895090542,1.2176859842305765,,2026.0
ETH,all,9210445,3838.5710414192226,4890.9818512687125,4121.5354886158375,282.96444719661474,31.215651198327066,-6.865510389955287,0.8198775264978808,,
ETH,,2027164,161.49435526647622,507.2777214292929,193.22821127235161,31.73385600587541,3.2309662376821935,-16.42299320421029,2.0415121004987213,far wing,
ETH,,1916746,467.5615575796293,687.9303243130429,525.5775686600905,58.016011080461205,6.278178522162855,-11.038524956148233,1.3610242222451108,wing,
ETH,,2415026,1121.6254900821332,1378.3011801537277,1211.1751895884468,89.54969950631356,9.97790561134696,-7.393620697988556,0.89757813094129,near,
ETH,,2851509,2087.8896384909845,2317.4726253726485,2191.554519094949,103.6648806039641,11.728600827136278,-4.730198573694389,0.5649176828948388,at the money,
ETH,,37357,3.500694587910229,6.174024621971221,3.726477549593712,0.22578296168348239,0.024722877637640573,-6.058884259428821,0.7112508299355946,,2019.0
ETH,,233629,46.852725010952355,62.02141218186819,50.30537498162846,3.4526499706761093,0.38061649520483615,-6.863381839290572,0.8190213600397733,,2020.0
ETH,,1140418,770.06056896138,906.1400915075147,828.076473119199,58.01590415781903,6.415084339901209,-7.006104634187304,0.8400605345137313,,2021.0
ETH,,1844994,692.5539783487026,890.0083180353059,744.8884543534756,52.33447600477302,5.7516058208588365,-7.025813824728511,0.8374469936219819,,2022.0
ETH,,1741763,336.770780517248,447.13559302019667,362.4029918038872,25.632211286639215,2.8248053659362196,-7.072847594070075,0.8458869326561924,,2023.0
ETH,,1742618,872.1882594361849,1182.3333814019747,932.5186610055082,60.3304015693233,6.652323400258184,-6.469618688838974,0.7685785330560746,,2024.0
ETH,,1821691,849.9914199027043,1062.080194701393,911.968262855847,61.976842953142764,6.852836092640638,-6.795942959578549,0.8127769531876217,,2025.0
ETH,,647975,266.6526146541409,335.08883579848776,287.64879294669834,20.996178292557417,2.3136568058900533,-7.29924088242152,0.8752613783164831,,2026.0
SOL,all,422916,66.799598167,82.3170905,72.82508163041582,6.025483463415831,-1.3727273994775115,-8.273912405611716,-2.013613864674324,,
SOL,,66568,1.91170787,4.539003,2.3698250255812723,0.4581171555812722,-0.09806524602693738,-19.33126499366361,-4.8794187386086545,far wing,
SOL,,85805,6.755042722000001,9.8271195,7.841937523422617,1.0868948014226156,-0.2428891819273513,-13.860028828031778,-3.4708708981726177,wing,
SOL,,119973,19.697886726999997,23.45742,21.72283937953701,2.0249526525370105,-0.4630156258937791,-9.321767827664939,-2.296601698620504,near,
SOL,,150570,38.434960847999996,44.493548,40.890479701874916,2.455518853874922,-0.5687573456294388,-6.005111389686957,-1.458213144720999,at the money,
SOL,,145928,20.141777960000002,24.8890325,22.044885982547452,1.90310802254745,-0.4341126958795413,-8.632877593715415,-2.109812416579371,,2024.0
SOL,,204485,37.994559016000004,47.109173,41.382252642552295,3.387693626552291,-0.7711419688502028,-8.18634416984061,-1.9892377778788717,,2025.0
SOL,,72503,8.663261191,10.318885,9.397943005316074,0.7346818143160753,-0.16747273474776,-7.817474673984426,-1.8964758326537323,,2026.0
XRP,all,135434,25.166323799999997,32.2174245,27.756905210642064,2.590581410642065,-0.692064442809768,-9.333106090115662,-2.676363415659544,,
XRP,,18282,0.7865263,1.928501,1.022091988019816,0.23556568801981606,-0.05877151478654612,-23.04740578939446,-6.952758395736192,far wing,
XRP,,24670,2.4312728999999997,3.513807,2.9223055220421963,0.49103262204219633,-0.12825596288843547,-16.802918734487683,-5.010920749832771,wing,
XRP,,33834,5.603251199999999,7.0640605,6.323142455001823,0.7198912550018234,-0.194129720791284,-11.385023508878323,-3.3485762526845875,near,
XRP,,58648,16.3452734,19.711056,17.48936524557823,1.144091845578231,-0.3109072443435043,-6.541643047151114,-1.8666178698601543,at the money,
XRP,,45826,6.644841800000001,8.0431065,7.356283989641458,0.711442189641457,-0.18987853888573125,-9.671217025379308,-2.778146426934669,,2024.0
XRP,,65802,14.9191332,19.432454,16.464536734045407,1.5454035340454058,-0.4128359685977772,-9.386255799410481,-2.692648048388513,,2025.0
XRP,,23806,3.6023487999999997,4.741864,3.936084486955201,0.33373568695520145,-0.08934993532626051,-8.478875086682047,-2.420293250672423,,2026.0
