asset,rehedge_minutes,delta_cell,mat_cell,n,mean,t,sharpe,recent_n,recent_mean,recent_t,recent_sharpe
BTC,60,baseline,2-4d,354,0.003895954476792421,0.4877596323968927,0.41153283695887916,135,-0.0030222991596829786,-0.2436038211079298,-0.33282618150567816
BTC,60,baseline,<=2d,1081,0.050647774523376383,5.230353472798803,2.525331891708454,148,-0.02896124284042024,-2.0287809524968403,-2.6473086060133726
BTC,60,baseline,baseline,1231,0.015982638062058397,2.5062639563743385,1.133960827829718,207,-0.01940414322897136,-1.9720716225749346,-2.1758942346401877
BTC,60,money,2-4d,339,0.007202245142967136,0.9210330389294105,0.7941007946274707,130,-0.012025669688327948,-1.0580373033829755,-1.473090993346407
BTC,60,money,<=2d,1056,0.03835721039194036,4.717253951910542,2.3043984173135876,144,-0.027450356119774342,-1.7992470315054678,-2.380180096267332
BTC,60,money,baseline,1197,0.010676219476369115,1.2640615435861629,0.5799912133587494,207,-0.021159177161889788,-2.1207552904868403,-2.339945038927028
BTC,60,near,2-4d,326,-0.005937098519112677,-0.6941908256752148,-0.6103379015286281,118,-0.0295507998574161,-2.3367508423999444,-3.414850337767166
BTC,60,near,<=2d,1088,0.03268894194466471,3.923026659372139,1.8880221372852235,144,-0.019074462960275443,-1.2448875897599936,-1.6468314863677704
BTC,60,near,baseline,1219,0.009330275490038805,1.4647448726633339,0.6659787991649103,204,-0.02342043011947258,-2.001310048801085,-2.2243317587414118
BTC,60,wing,2-4d,342,0.015247351470083385,1.5519374676070266,1.33217547933476,122,0.006830405626265632,0.44640154511254887,0.6415729488995271
BTC,60,wing,<=2d,1089,0.013504870376959337,1.2034233730582415,0.5789016303699298,147,-0.021155938513294368,-1.457980902586763,-1.9089450994011081
BTC,60,wing,baseline,1208,-0.008058565748360906,-0.9352608854492657,-0.4271688493283876,208,-0.032861845772030926,-2.6601078607971496,-2.927978271244353
BTC,1440,baseline,2-4d,354,0.01228869967796295,0.9324316926206191,0.7867118027969416,135,0.01841593740316834,0.9464975834567907,1.2931618850375293
BTC,1440,baseline,<=2d,1081,0.07331478076238156,4.801909068240924,2.318469329879515,148,0.021294290614210773,0.5877689211677402,0.7669658577184307
BTC,1440,baseline,baseline,1231,0.03914851999912315,3.325730332410708,1.504728945762954,207,0.004172334134175906,0.19224049145255895,0.21210942453999282
BTC,1440,money,2-4d,339,0.02666989219772897,1.9279626749605827,1.662260339735371,130,0.0220956194175391,1.1569931955760335,1.6108659404697858
BTC,1440,money,<=2d,1056,0.0751560040122109,4.613429606248886,2.253679787309697,144,0.010557672011511957,0.29902719595500515,0.39557579787096153
BTC,1440,money,baseline,1197,0.04424857568368633,3.326517771360842,1.5263110315004265,207,-0.0004832626924824432,-0.022115278310950875,-0.024400993363227975
BTC,1440,near,2-4d,326,-0.012024415844037599,-0.6805193180019246,-0.5983178070597442,118,-0.0240322587180881,-1.023454278697563,-1.495642207925842
BTC,1440,near,<=2d,1088,0.049091148874706045,3.2227487549574625,1.551001693483749,144,0.03152352832208914,0.9674108043397999,1.279764201960038
BTC,1440,near,baseline,1219,0.037906803211455696,3.161424415356234,1.4374118490418513,204,-0.007462347449538198,-0.34572107226884957,-0.3842474888758075
BTC,1440,wing,2-4d,342,0.023258238606300632,1.153478774620605,0.9901404995731278,122,0.01939685134749351,0.6986262097241741,1.0040728632295182
BTC,1440,wing,<=2d,1089,0.05276625106104227,2.8872067825549554,1.3888783873198822,147,0.02049495968628661,0.4035127721126618,0.5283222348822111
BTC,1440,wing,baseline,1208,0.020726779483842255,1.5225096178301107,0.6953874492756937,208,0.019523615410413912,0.629506416445456,0.6928971325278711
ETH,60,baseline,2-4d,358,-0.00022995965305731952,-0.021485154117725915,-0.018025911328400777,118,-0.005194698170634918,-0.34827349190785456,-0.5089553536890663
ETH,60,baseline,<=2d,1095,0.03687580208176749,4.034116289249273,1.9352702658983514,166,-0.017972012882166467,-0.8909163162609018,-1.0976986726623388
ETH,60,baseline,baseline,1213,0.011693713347048933,1.4445166905510618,0.6584039598354858,209,-0.04183971105111603,-2.9032751726734904,-3.1879780872513406
ETH,60,money,2-4d,349,0.005921287711410879,0.5402675585829275,0.45908853508742825,118,0.00876580801363239,0.6074713666127132,0.887738548681032
ETH,60,money,<=2d,1064,0.0345604122349205,3.531629933045091,1.7187180799395434,165,-0.02737518131873679,-1.2993807126078807,-1.6058120565279486
ETH,60,money,baseline,1193,0.02277905278379417,2.6557408386437205,1.2205785696501055,210,-0.0456545816711337,-3.1396797461202137,-3.4393468405842684
ETH,60,near,2-4d,343,0.006946069652636096,0.5642209390848053,0.4836179477869759,110,-0.018830501414327457,-0.9606054415760418,-1.4539483210309112
ETH,60,near,<=2d,1072,0.02248633546623429,2.0775066941067277,1.007268632067943,163,-0.00898562590485593,-0.40808766018194814,-0.5074110618976223
ETH,60,near,baseline,1209,0.007434906168843061,0.7730221019753732,0.35292224342709966,205,-0.05097039807336007,-3.1340712850975536,-3.4748191815798335
ETH,60,wing,2-4d,364,0.0075176833404082335,0.49340371757475565,0.4105367084354618,132,0.003415241668082845,0.14384916983982832,0.19875619074080855
ETH,60,wing,<=2d,1109,0.033695086010126406,2.593099456746883,1.2361001852303182,149,0.006044414232377046,0.20085519649008876,0.261210246121922
ETH,60,wing,baseline,1209,0.012305696718074006,1.155585032990328,0.5275808560603332,205,-0.025538195709775526,-1.2392239393123732,-1.3739569789209574
ETH,1440,baseline,2-4d,358,0.0039320673637087,0.2012878011072839,0.16887921931428607,118,-0.010880787176470747,-0.35310661017542455,-0.5160183127555663
ETH,1440,baseline,<=2d,1095,0.061892534343604574,3.261882501568454,1.5648096791266044,166,0.0681363428555692,1.7084946069324705,2.105037508069757
ETH,1440,baseline,baseline,1213,0.03842687803603906,2.4110571343669434,1.0989485791619382,209,-0.001162304178465684,-0.04014319187810689,-0.04407974044771099
ETH,1440,money,2-4d,349,-0.00011144181118730733,-0.005369851414256607,-0.004562993243337268,118,-0.008595465433510448,-0.3018848594425911,-0.44116454160579444
ETH,1440,money,<=2d,1064,0.06715272674695999,3.3941982362295087,1.651834984442036,165,0.03628217494526796,0.8948974910905306,1.1059400579108387
ETH,1440,money,baseline,1193,0.04811983821429947,2.9238726942566826,1.3438119785880185,210,-0.011082943221100173,-0.38796458820399704,-0.4249939129450637
ETH,1440,near,2-4d,343,0.013058726461264812,0.593942061893978,0.5090931959091239,110,0.0001554390370983764,0.0034140292411637585,0.005167389094732236
ETH,1440,near,<=2d,1072,0.05861367424450425,2.4078253540484327,1.1674219666828562,163,0.00733543056101811,0.1579947337072971,0.1964486639191889
ETH,1440,near,baseline,1209,0.03359238946233161,1.5839805247540109,0.7231642651775425,205,-0.049274037689651835,-1.4293342029797695,-1.5847367381267554
ETH,1440,wing,2-4d,364,0.002789774409389006,0.09495959839277181,0.07901116179290923,132,0.009753785073997512,0.17492419544830942,0.24169250885784713
ETH,1440,wing,<=2d,1109,0.03305331530803006,1.5635690940241747,0.745335101480583,149,0.0512679222712695,0.874417897823783,1.1371720438173218
ETH,1440,wing,baseline,1209,0.03392172521988174,1.8101629895489662,0.8264275776951576,205,0.013077789260511698,0.3185340111215729,0.35316621453182834
