spec,n,beta,t,p,vol_pts_per_sd,r2_within
"vega, two-way cluster",12842,-4.2067115863065135e-06,-2.225076491540844,0.02609458576410395,-0.6556974542572261,0.011105720229327987
"vega, Driscoll-Kraay",12842,-4.2067115863065135e-06,-3.401421202124057,0.0006725470800039712,-0.6556974542572261,0.011105720229327987
"gamma, two-way cluster",12842,-1.021775378069504e-06,-0.5381464483726173,0.590485909222572,-0.12143021917012449,0.0009586310381347607
"vega, no time FE",12842,-9.011890394376123e-06,-2.566876272437754,0.010273161672336162,-1.4046776130012115,0.01551743233941838
"vega, no bucket FE",12842,-7.175098772938328e-06,-2.234981345133923,0.02543684441496774,-1.118378073451554,0.014872806310416542
