currency,_all,n,share_tv_nonpositive,share_at_tick,err_tv_p10,err_tv_med,err_tv_p90,share_within_1pct,share_within_5pct,tv_recon_over_obs
BTC,all,13590752,0.0007844304715441795,0.17700587870340068,-0.0296470265744877,-0.0001791391631333905,0.03007966664030226,0.42959505941455034,0.9092472944400741,0.998313581108806
ETH,all,9217106,0.0007226780293076808,0.1361495679880431,-0.025844459512432926,-0.0002549799756700333,0.02638117684787389,0.4785121674359925,0.9235035875031011,0.9995540371579392
SOL,all,422919,7.093556922247523e-06,0.0,-0.0007960149316682541,-1.269734991066196e-05,0.0006310256097988853,0.9601528435906894,0.9950439330741803,0.999985126549442
XRP,all,135445,8.121377680977518e-05,0.0,-0.0004461613800901265,-1.3054404336798608e-05,0.000317208762614518,0.967393712066394,0.9951858469808172,0.999980812274802
