trade_no,asset,rehedge_min,entry_ts,exit_ts,instrument,strike,cp,expiry,hold_hours,wknd_frac,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,option_fees,spread_cost,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega,cum_net_per_vega
1,BTC,60,2018-04-20 12:38:46.951000+00:00,2018-04-22 00:00:00+00:00,BTC-27APR18-8500-C,8500,C,2018-04-27 08:00:00+00:00,35.3536,0.293841,8540.05,8914.92,4.38955,0.8092,0.8307,0.0215,396.508,594.643,-198.134,-6.66134e-16,0.00620254,5.23649,4.04514,463.941,-198.134,-207.422,-0.427068,-0.447087,-0.447087
2,BTC,60,2018-04-27 12:36:11.793000+00:00,2018-04-29 00:00:00+00:00,BTC-4MAY18-9500-C,9500,C,2018-05-04 08:00:00+00:00,35.3967,0.293764,9326.71,9411.7,0.911254,0.8424,0.9212,0.0788,351.471,377.173,-25.7022,1.38778e-17,0.000291402,5.62152,4.41587,506.46,-25.7022,-35.7399,-0.0507487,-0.070568,-0.517655
3,BTC,60,2018-05-25 12:06:08.351000+00:00,2018-05-27 00:00:00+00:00,BTC-1JUN18-7500-C,7500,C,2018-06-01 08:00:00+00:00,35.8977,0.292866,7518.57,7332.99,-2.46829,0.6488,0.6142,-0.0346,275.244,146.136,129.108,1.06581e-14,0.0393639,4.45547,3.56905,409.338,129.108,121.045,0.315408,0.295708,-0.221947
4,BTC,60,2018-06-08 12:00:36.083000+00:00,2018-06-10 00:00:00+00:00,BTC-15JUN18-7500-C,7500,C,2018-06-15 08:00:00+00:00,35.99,0.292701,7560.8,7433.02,-1.69003,0.4743,0.4488,-0.0255,226.834,130.291,96.5437,0,0.00249645,4.49815,3.55448,407.666,96.5437,88.4886,0.236821,0.217061,-0.00488585
5,BTC,60,2018-08-10 12:40:44.213000+00:00,2018-08-12 00:00:00+00:00,BTC-17AUG18-6750-C,6750,C,2018-08-17 08:00:00+00:00,35.3211,0.2939,6484.17,6254.81,-3.53723,0.6944,0.763,0.0686,139.877,68.7408,71.1359,-2.27374e-13,0.479246,3.82169,2.87613,329.866,71.1359,63.9589,0.215651,0.193894,0.189008
6,BTC,60,2018-08-17 12:37:33.178000+00:00,2018-08-19 00:00:00+00:00,BTC-24AUG18-6500-C,6500,C,2018-08-24 08:00:00+00:00,35.3741,0.293804,6461.62,6366.06,-1.47885,0.6627,0.6524,-0.0103,215.665,142.377,73.2879,-72.1572,3.73323,3.8483,3.07472,352.642,1.13075,-9.5255,0.00320651,-0.0270118,0.161996
7,BTC,60,2018-09-07 12:24:47.842000+00:00,2018-09-09 00:00:00+00:00,BTC-14SEP18-6500-C,6500,C,2018-09-14 08:00:00+00:00,35.5867,0.293422,6408.71,6171.46,-3.702,0.5533,0.7188,0.1655,152.637,93.2402,59.3966,-105.595,3.2614,3.77405,3.0165,345.965,-46.1986,-56.2505,-0.133535,-0.16259,-0.000594322
8,BTC,60,2018-09-14 12:13:28.288000+00:00,2018-09-16 00:00:00+00:00,BTC-21SEP18-6500-P,6500,P,2018-09-21 08:00:00+00:00,35.7755,0.293084,6458.64,6490.45,0.492651,0.5907,0.5933,0.00260002,230.194,190.609,39.5855,-26.1988,3.04326,3.88473,3.07163,352.288,13.3867,3.38705,0.0379992,0.00961444,0.00902012
9,BTC,60,2018-09-21 12:39:55.389000+00:00,2018-09-23 00:00:00+00:00,BTC-28SEP18-6750-P,6750,P,2018-09-28 08:00:00+00:00,35.3346,0.293875,6723.08,6696.52,-0.395032,0.6336,0.5288,-0.1048,246.624,199.486,47.1375,-1.69983,3.29044,4.02588,3.19976,366.983,45.4377,34.9216,0.123814,0.0951586,0.104179
10,BTC,60,2018-09-28 12:36:13.719000+00:00,2018-09-30 00:00:00+00:00,BTC-5OCT18-6500-C,6500,C,2018-10-05 08:00:00+00:00,35.3962,0.293765,6597.33,6563.43,-0.513744,0.4558,0.5687,0.1129,216.172,212.598,3.57461,-33.9904,4.41481,3.94823,3.02795,347.278,-30.4158,-41.8068,-0.0875836,-0.120384,-0.0162056
11,BTC,60,2018-10-05 12:35:23.151000+00:00,2018-10-07 00:00:00+00:00,BTC-12OCT18-6500-P,6500,P,2018-10-12 08:00:00+00:00,35.4102,0.293739,6536.43,6551.09,0.224389,0.4192,0.4729,0.0537,131.625,124.641,6.98355,-10.4254,2.36853,3.92626,3.0863,353.97,-3.44182,-12.8229,-0.00972348,-0.0362259,-0.0524316
12,BTC,60,2018-11-16 12:25:41.947000+00:00,2018-11-18 00:00:00+00:00,BTC-23NOV18-5500-P,5500,P,2018-11-23 08:00:00+00:00,35.5717,0.293449,5514.72,5501.27,-0.243915,0.5787,0.8553,0.2766,166.665,226.145,-59.4795,6.37693,2.36638,3.3048,2.61762,300.217,-53.1026,-61.3914,-0.176881,-0.20449,-0.256922
13,BTC,60,2018-11-23 12:20:52.611000+00:00,2018-11-25 00:00:00+00:00,BTC-30NOV18-4250-C,4250,C,2018-11-30 08:00:00+00:00,35.6521,0.293305,4258.06,3776.19,-11.3166,0.7802,1.29,0.5098,185.14,80.6651,104.475,-199.97,3.03883,2.41027,2.02145,231.843,-95.4948,-102.965,-0.411895,-0.444118,-0.701039
14,BTC,60,2018-11-30 12:33:23.591000+00:00,2018-12-02 00:00:00+00:00,BTC-7DEC18-3750-P,3750,P,2018-12-07 08:00:00+00:00,35.4434,0.29368,3909.81,4139.38,5.87163,1.1364,1.2011,0.0647,165.908,84.3489,81.5589,-92.1765,1.9198,2.41476,1.75262,201.01,-10.6176,-16.7048,-0.0528212,-0.0831041,-0.784143
