weekend_sat,px_open,px_close,px_high,px_low,ret_pct,range_pct,rv_vol_ann,wd_vol_ann,vol_ratio,iv_weekend,iv_weekday,iv_minus_rv,iv_wknd_ratio
2024-02-17 00:00:00+00:00,110.22,112.31,113.98,106.17,1.89621,7.35613,0.600925,0.764682,0.785849,,,,
2024-02-24 00:00:00+00:00,100.09,103.62,104.82,98.65,3.52683,6.25443,0.508378,0.767198,0.662642,,,,
2024-03-02 00:00:00+00:00,131.02,130.31,131.79,125.85,-0.541902,4.7199,0.890451,1.28568,0.692594,,,,
2024-03-09 00:00:00+00:00,145.42,144.49,149.5,140.78,-0.639527,6.19406,0.715409,1.69609,0.4218,,,,
2024-03-16 00:00:00+00:00,183.48,202.03,204.19,177.68,10.1101,14.9201,1.66334,1.451,1.14634,1.54042,1.12266,-0.122918,1.37212
2024-03-23 00:00:00+00:00,174.95,183.37,186.66,170.73,4.8128,9.33052,0.859973,1.6915,0.508407,1.28931,1.59188,0.429335,0.809927
2024-03-30 00:00:00+00:00,191.67,202.66,203.28,191.02,5.73381,6.41818,0.67771,0.840782,0.806047,0.850656,1.14819,0.172947,0.740865
2024-04-06 00:00:00+00:00,174.48,179.62,182.65,174.05,2.9459,4.94111,0.650609,1.03046,0.63138,0.894829,1.02489,0.24422,0.8731
2024-04-13 00:00:00+00:00,152.82,151.53,154.9,116,-0.84413,33.5345,3.21396,1.01266,3.17378,0.871104,0.881092,-2.34286,0.988664
2024-04-20 00:00:00+00:00,142.43,149,153.24,139.9,4.61279,9.53538,0.947833,1.67478,0.565945,1.24386,1.4714,0.296024,0.845353
2024-04-27 00:00:00+00:00,139.81,137.97,144.35,134.82,-1.31607,7.06868,0.712834,0.897227,0.794486,0.840164,1.15035,0.12733,0.730358
2024-05-04 00:00:00+00:00,143.75,145.75,148.86,142.51,1.3913,4.45583,0.687595,1.08836,0.631772,0.856222,1.02896,0.168627,0.832122
2024-05-11 00:00:00+00:00,146.59,143.42,147.52,142.6,-2.16249,3.45021,0.608318,0.932374,0.65244,0.841912,0.881089,0.233594,0.955536
2024-05-18 00:00:00+00:00,169.28,170.01,175.89,166.66,0.431238,5.53822,0.631974,0.921171,0.686055,0.791727,0.918868,0.159753,0.861633
2024-05-25 00:00:00+00:00,167.54,163.45,170.34,161,-2.44121,5.80124,0.571391,0.930001,0.614399,0.57648,0.928463,0.00508893,0.620897
2024-06-01 00:00:00+00:00,165.9,163.39,167.74,161.42,-1.51296,3.91525,0.354196,0.732113,0.483799,0.540032,0.659331,0.185837,0.819061
2024-06-08 00:00:00+00:00,162.16,162.16,163.75,156.59,0,4.57245,0.455188,0.846409,0.537787,0.494719,0.566638,0.039532,0.873079
2024-06-15 00:00:00+00:00,142.95,151.23,151.23,142.95,5.79224,5.79224,0.461848,0.904934,0.510366,0.729346,0.703713,0.267499,1.03643
2024-06-22 00:00:00+00:00,134.41,128.64,136.55,128.3,-4.29284,6.43024,0.497283,1.05877,0.469678,0.754449,0.818951,0.257166,0.921238
2024-06-29 00:00:00+00:00,140.08,146.71,147.32,137.52,4.73301,7.12624,0.516365,0.94929,0.543949,0.683746,0.795528,0.167381,0.859488
2024-07-06 00:00:00+00:00,133.85,131.57,143.97,131.57,-1.7034,9.42464,0.829131,1.02257,0.810834,0.8639,0.777696,0.0347688,1.11084
2024-07-13 00:00:00+00:00,139.53,147.86,148.59,138.21,5.97004,7.51031,0.595701,0.959546,0.620815,0.685235,0.893188,0.0895341,0.767179
2024-07-20 00:00:00+00:00,169.33,184.67,184.97,167.6,9.05923,10.364,0.747666,0.82978,0.901041,0.57686,0.782985,-0.170806,0.736744
2024-07-27 00:00:00+00:00,182.71,185,188.02,178.61,1.25335,5.26846,0.695913,0.830828,0.837614,0.85477,0.831562,0.158857,1.02791
2024-08-03 00:00:00+00:00,152.93,138.07,153.77,131.66,-9.71686,16.7933,1.12825,0.907098,1.2438,0.772555,0.712462,-0.355691,1.08435
2024-08-10 00:00:00+00:00,155.19,141.48,158.12,141.35,-8.83433,11.8642,0.749377,2.19023,0.342145,0.974166,1.26338,0.22479,0.771081
2024-08-17 00:00:00+00:00,138.86,142.55,147.14,137.71,2.65735,6.84772,0.566577,0.966091,0.586463,0.788904,0.991473,0.222327,0.795689
2024-08-24 00:00:00+00:00,153.45,159.28,162.11,152.13,3.79928,6.56018,0.622496,0.644329,0.966115,0.603752,0.735443,-0.0187439,0.820936
2024-08-31 00:00:00+00:00,138.06,128.61,139.05,128.36,-6.84485,8.32814,0.661519,0.83303,0.794112,0.740575,0.798199,0.0790553,0.927806
2024-09-07 00:00:00+00:00,125.18,130.19,131.55,124.24,4.00224,5.88377,0.562609,0.904404,0.622077,0.764018,0.776208,0.201409,0.984295
2024-09-14 00:00:00+00:00,139.33,131.39,139.74,131.1,-5.6987,6.59039,0.42914,0.681156,0.630017,0.559458,0.773024,0.130318,0.723726
2024-09-21 00:00:00+00:00,146.52,144.93,149.91,141.3,-1.08518,6.09342,0.569258,0.706754,0.805455,0.65,0.779474,0.0807417,0.833896
2024-09-28 00:00:00+00:00,158.01,158.69,161.32,155.25,0.430353,3.90982,0.467015,0.672225,0.69473,0.609378,0.670185,0.142364,0.909268
2024-10-05 00:00:00+00:00,143.44,146.57,146.67,141.05,2.1821,3.9844,0.44084,0.843308,0.522752,0.569977,0.732071,0.129137,0.778582
2024-10-12 00:00:00+00:00,145.79,147.66,148.8,144.59,1.28267,2.91168,0.415363,0.642694,0.646284,0.498724,0.6471,0.0833606,0.770706
2024-10-19 00:00:00+00:00,155.14,167.4,167.77,153.92,7.90254,8.99818,0.467617,0.637508,0.733508,0.53591,0.638113,0.0682928,0.839836
2024-10-26 00:00:00+00:00,164.02,176.5,177.91,162.68,7.60883,9.36194,0.568366,0.824383,0.689444,0.537575,0.629423,-0.0307904,0.854076
2024-11-02 00:00:00+00:00,166.43,162.35,168.55,158.06,-2.45148,6.63672,0.607941,0.676736,0.898343,0.539077,0.675482,-0.0688636,0.798064
2024-11-09 00:00:00+00:00,199.85,210.38,215.54,195.78,5.26895,10.093,0.929986,0.83717,1.11087,0.785251,1.1069,-0.144735,0.709414
2024-11-16 00:00:00+00:00,218.14,237.36,241.05,212.8,8.81086,13.2754,1.02477,1.27223,0.80549,0.81046,1.1989,-0.214311,0.676003
2024-11-23 00:00:00+00:00,256.87,252.95,264.01,243.01,-1.52606,8.64162,0.72638,0.966291,0.75172,0.909051,0.977363,0.182671,0.930106
2024-11-30 00:00:00+00:00,243.01,237.23,245.51,234.78,-2.3785,4.57024,0.511017,0.82203,0.621652,0.61084,0.98468,0.0998237,0.620344
2024-12-07 00:00:00+00:00,237.6,237.57,243.51,234.02,-0.0126263,4.05521,0.547293,1.01409,0.53969,0.804081,0.943369,0.256788,0.85235
2024-12-14 00:00:00+00:00,224.62,224.34,227.62,215.32,-0.124655,5.71243,0.543742,1.19581,0.454707,0.630011,1.05053,0.0862692,0.599709
2024-12-21 00:00:00+00:00,194.44,180.39,201.52,177.08,-7.22588,13.8017,1.11632,1.21783,0.916643,1.09477,0.879889,-0.0215451,1.24422
2024-12-28 00:00:00+00:00,184.24,189.68,196.88,183.89,2.95267,7.06401,0.563864,0.864769,0.65204,0.671443,0.916388,0.107579,0.732706
2025-01-04 00:00:00+00:00,217.29,213.45,218.59,211.68,-1.76722,3.26436,0.430172,0.707645,0.607893,0.655247,0.818104,0.225075,0.800934
2025-01-11 00:00:00+00:00,187.94,188.57,191.56,184.34,0.335213,3.91668,0.514849,0.810396,0.635306,0.673765,0.702278,0.158916,0.9594
