date,short_weekend_leg_net,short_weekday_leg_net,spread_net,spread_gross
2024-03-29 00:00:00+00:00,0.19433621424823702,-0.3770207961185414,0.5713570103667784,0.5710572609285925
2024-03-30 00:00:00+00:00,-0.0990370489912859,-0.32830316260838327,0.22926611361709737,0.27308446656467833
2024-04-04 00:00:00+00:00,-0.5020496421651961,-0.49683383905189094,-0.005215803113305162,0.06587761580971857
2024-04-11 00:00:00+00:00,0.03129113445668,-0.060743867915876285,0.09203500237255628,0.029881370640341853
2024-04-13 00:00:00+00:00,-0.30902042168365856,-0.48726273005007736,0.1782423083664188,0.1967421977083074
2024-04-18 00:00:00+00:00,0.14442716569852007,-0.2802040683741875,0.42463123407270753,0.40749578050336766
2024-04-19 00:00:00+00:00,0.09084019884400749,-0.022244591447513184,0.11308479029152067,0.10723655399370047
2024-04-20 00:00:00+00:00,-0.03332371512631098,0.011176314041514484,-0.044500029167825465,-0.05490071720301583
2024-04-21 00:00:00+00:00,0.12310691258123851,0.15513165835357465,-0.03202474577233613,-0.05594653321912679
2024-04-25 00:00:00+00:00,0.08176145317918654,-0.26644162950474276,0.3482030826839293,0.34960018047408803
2024-04-26 00:00:00+00:00,-0.0067855795255969565,-0.014418258718748092,0.0076326791931511356,0.06656725354114403
2024-04-27 00:00:00+00:00,0.11434720393230478,-0.054374042204667496,0.16872124613697229,0.13995245043952587
2024-04-28 00:00:00+00:00,-0.006699064212516466,-0.05399493014404595,0.047295865931529485,0.02825799212383981
2024-05-02 00:00:00+00:00,0.04127443242545155,-0.10877810872761894,0.15005254115307048,0.12118163327044124
2024-05-03 00:00:00+00:00,0.08224984234013913,-0.18173808559728485,0.263987927937424,0.299379602820961
2024-05-04 00:00:00+00:00,-0.0313024156981602,-0.08311320985930114,0.051810794161140934,0.09093613044100632
2024-05-05 00:00:00+00:00,-0.07356409342161396,-0.4557228713790329,0.3821587779574189,0.3791057346962742
2024-05-17 00:00:00+00:00,0.06217761953760045,0.019844305662387648,0.0423333138752128,-0.0009431598313046075
2024-05-18 00:00:00+00:00,-0.05995561632412813,-0.6008737344677902,0.5409181181436621,0.43227350720717017
