asset,spec,term,beta,se,t,n,n_clusters
BTC,"A. buckets, pooled",const,-0.012085637185119714,0.004168987027024015,-2.8989385447301124,18794,479
BTC,"A. buckets, pooled",b_deep_itm,-0.09840229371193725,0.07302783628616641,-1.3474628130339046,18794,479
BTC,"A. buckets, pooled",b_itm,-0.028332921009275758,0.01009923676758747,-2.805451705044439,18794,479
BTC,"A. buckets, pooled",b_otm,-0.007698188019278713,0.0023296933183067233,-3.30437828824351,18794,479
BTC,"A. buckets, pooled",b_deep_otm,-0.03307458093552598,0.007233088725099305,-4.572677343325675,18794,479
BTC,B. + Friday fixed effect,b_deep_itm,-0.04787648049137613,0.06946938974023957,-0.6891737594125442,18794,479
BTC,B. + Friday fixed effect,b_itm,-0.008691494594840218,0.008368564089729977,-1.0385885202822962,18794,479
BTC,B. + Friday fixed effect,b_otm,-0.00883576318616962,0.0020372269336854988,-4.3371521552510846,18794,479
BTC,B. + Friday fixed effect,b_deep_otm,-0.027153525231675503,0.0066166688851857745,-4.1038059638242155,18794,479
BTC,C. + maturity and weekend share,b_deep_itm,-0.04600453505716055,0.06971891275529467,-0.6598573219096396,18794,479
BTC,C. + maturity and weekend share,b_itm,-0.007166491217519042,0.008388744095694269,-0.8542984665842199,18794,479
BTC,C. + maturity and weekend share,b_otm,-0.008926739535528899,0.002129517830443186,-4.191906453148178,18794,479
BTC,C. + maturity and weekend share,b_deep_otm,-0.02668457336085294,0.006815962581260916,-3.915011715911803,18794,479
BTC,C. + maturity and weekend share,T_days,0.0012513846544352381,0.0004859019836233501,2.575384947193911,18794,479
BTC,C. + maturity and weekend share,wknd_frac,0.03101055085341056,0.025444544129118733,1.2187504989693287,18794,479
BTC,D. distance from the money,d_from_atm,-0.08608900035746257,0.023493369603850022,-3.6643956064673913,18794,479
BTC,D. distance from the money,T_days,0.001230136706791188,0.00046517395342590776,2.6444660061714362,18794,479
BTC,D. distance from the money,wknd_frac,0.030141432117216538,0.02568831960481889,1.173351647009339,18794,479
BTC,E. + volga and gamma,d_from_atm,-0.023776332464128604,0.03868011523197509,-0.6146913555333411,18794,479
BTC,E. + volga and gamma,T_days,-0.0003784985984904445,0.0011905929575329382,-0.31790764097474783,18794,479
BTC,E. + volga and gamma,wknd_frac,0.13215483482032006,0.07843161766355479,1.684968878076948,18794,479
BTC,E. + volga and gamma,volga_per_vega,-0.006681888400892474,0.004647205769673021,-1.437829253117538,18794,479
BTC,E. + volga and gamma,gamma_per_vega,-0.0002175005659799323,0.0001249969496878,-1.7400469893319397,18794,479
ETH,"A. buckets, pooled",const,-0.022391497590074288,0.005233382153919712,-4.278590198750047,14576,386
ETH,"A. buckets, pooled",b_deep_itm,-0.7175488453006407,0.361844049282398,-1.9830334275875738,14576,386
ETH,"A. buckets, pooled",b_itm,-0.044581699785356275,0.01141930842134498,-3.9040630255702817,14576,386
ETH,"A. buckets, pooled",b_otm,-0.006026592519849297,0.002823269617622571,-2.134614590909738,14576,386
ETH,"A. buckets, pooled",b_deep_otm,-0.04007921550496104,0.009125003313815999,-4.392241199987056,14576,386
ETH,B. + Friday fixed effect,b_deep_itm,-0.5860073078730961,0.3113945257492143,-1.8818805708390804,14576,386
ETH,B. + Friday fixed effect,b_itm,-0.014057656080634898,0.010351977451678637,-1.3579681897737674,14576,386
ETH,B. + Friday fixed effect,b_otm,-0.009937175803130981,0.002887245949130975,-3.441748980935257,14576,386
ETH,B. + Friday fixed effect,b_deep_otm,-0.032590949006623425,0.008849564735374904,-3.6827742359288744,14576,386
ETH,C. + maturity and weekend share,b_deep_itm,-0.5814597476792523,0.3084827619815754,-1.884901911355361,14576,386
ETH,C. + maturity and weekend share,b_itm,-0.010728287652465635,0.011385727000739511,-0.9422575872202825,14576,386
ETH,C. + maturity and weekend share,b_otm,-0.010360425769109772,0.003084922786408114,-3.358406834283456,14576,386
ETH,C. + maturity and weekend share,b_deep_otm,-0.032040250494860145,0.009612199873610719,-3.3332900809546495,14576,386
ETH,C. + maturity and weekend share,T_days,0.0023647666349684154,0.0011301721668457439,2.092395038862411,14576,386
ETH,C. + maturity and weekend share,wknd_frac,0.044630278691461,0.046866894578068564,0.9522772757456349,14576,386
ETH,D. distance from the money,d_from_atm,-0.18267070721040587,0.0565344222356685,-3.231141311552237,14576,386
ETH,D. distance from the money,T_days,0.0037983815207487475,0.001973048260695081,1.9251336099658425,14576,386
ETH,D. distance from the money,wknd_frac,0.08566879111999039,0.06859209471915531,1.248960123914486,14576,386
ETH,E. + volga and gamma,d_from_atm,0.6106274633321308,0.5447136249241191,1.1210064066548615,14576,386
ETH,E. + volga and gamma,T_days,0.0005616912878151033,0.0014926798873744983,0.37629721721719733,14576,386
ETH,E. + volga and gamma,wknd_frac,0.24188873286793647,0.1196085384967504,2.0223366651579666,14576,386
ETH,E. + volga and gamma,volga_per_vega,-0.09485173402602726,0.06887552767366271,-1.3771471120401677,14576,386
ETH,E. + volga and gamma,gamma_per_vega,-0.000399513383449133,0.00017720451034285414,-2.2545328145212395,14576,386
