asset,entry_day,n,net_per_vega,t,hit_rate,mean_wknd_life,mean_wknd_hold,mean_iv_change
BTC,Mon,3510,-0.028893733854540946,-8.04351124174911,0.43874643874643876,0.0,0.0,0.026112534463235793
BTC,Tue,2812,-0.04637179305163204,-10.082596954900689,0.4057610241820768,0.004947739501515245,0.0,0.03432368336836271
BTC,Wed,2114,-0.03776498288169549,-5.561963440804531,0.43755912961210974,0.051346884852414905,0.0018921475875118257,0.03580619672163545
BTC,Thu,1830,-0.0406619967019034,-7.357830583159844,0.43224043715846994,0.24884821549950892,0.028278688524590163,-0.000410382896173197
BTC,Fri,3530,-0.004658787233111884,-1.8479538946844902,0.501699716713881,0.46174321246918376,0.43873937677053826,-0.010678272575562132
BTC,Sat,3834,-0.03933020734155749,-16.99529208800477,0.3082942097026604,0.4941442570706646,0.9066901408450704,0.058722534779154144
BTC,Sun,3808,-0.05790952732635179,-17.213679016515023,0.3224789915966387,0.1946098064974613,0.5528492647058824,0.05209784663524948
ETH,Mon,2956,-0.0598848764935415,-13.51938504617001,0.40967523680649526,0.0,0.0,0.032966271714686704
ETH,Tue,2368,-0.05272722555901381,-11.160903986126211,0.4125844594594595,0.004920681551116334,0.0,0.03668940124479499
ETH,Wed,1732,-0.05819182316254965,-7.671950150454994,0.4336027713625866,0.055255961205649046,0.0023094688221709002,0.028327250546726284
ETH,Thu,1578,-0.03427089943121814,-5.35486554430314,0.4816223067173637,0.25687515120868226,0.03279467680608365,-0.010626488825818585
ETH,Fri,2992,-0.015225252546664037,-4.543730173265891,0.4802807486631016,0.47971534369465924,0.4395053475935829,-0.009534892865362013
ETH,Sat,3167,-0.06091680408011754,-18.239665421374777,0.2952320808335965,0.5043867211471591,0.9088253868013894,0.07383495377033789
ETH,Sun,3145,-0.07453189296233284,-19.23548093513765,0.31891891891891894,0.20145358265495428,0.557286698463169,0.05973341809623003
