asset,year,n_weekends,mean_abs_move_pct,median_range_pct,share_down,share_move_over_3pct,median_rv_vol,median_vol_ratio,median_iv_weekend,mean_iv_minus_rv,median_iv_minus_rv
BTC,2018,20,1.6749379618733446,2.760022603007395,0.5,0.2,0.3653511765716645,0.6393257002250121,,,
BTC,2019,52,3.16102526068798,4.667281779049459,0.46153846153846156,0.38461538461538464,0.4742108306219175,0.724354624492658,,,
BTC,2020,52,2.478603319798097,4.141844639993297,0.38461538461538464,0.2692307692307692,0.4216231610003744,0.7568115957450812,0.5046070779453485,0.037393059954974626,0.08090197879835587
BTC,2021,52,3.1053965711668474,6.677519001325061,0.4423076923076923,0.40384615384615385,0.6146284525145076,0.7697474752253357,0.7439635632753083,0.07881699512587446,0.1689493645932324
BTC,2022,53,1.807551344105022,3.438222145433345,0.5849056603773585,0.22641509433962265,0.4428827126286007,0.6384569002876547,0.5921117323876418,0.1290039285705073,0.1535931950882895
BTC,2023,52,1.3910156013283284,2.170852210720875,0.46153846153846156,0.11538461538461539,0.2594603924232738,0.5590599503898238,0.3706124860014577,0.08602518277550769,0.09437298373405706
BTC,2024,52,1.6762887236223227,2.9622485687639477,0.46153846153846156,0.15384615384615385,0.3098694369761654,0.5408195504898557,0.41208611911955917,0.10423747949317676,0.12478370537134949
BTC,2025,52,1.8326200241888289,2.5527949254287474,0.40384615384615385,0.09615384615384616,0.23781173422542506,0.5500260149385582,0.30914654929660834,0.051967542439274546,0.06467932545907096
BTC,2026,32,1.9010223423648356,2.9947460292484407,0.5,0.25,0.2591409192300468,0.6082674684956924,0.2892630467803654,0.005806910482640044,0.035069551797379236
ETH,2019,41,3.685519857588739,6.398687448728468,0.3902439024390244,0.5121951219512195,0.6043993996348518,0.7977723210400118,,,
ETH,2020,52,4.569131740599466,7.051567003708781,0.40384615384615385,0.5576923076923077,0.6236119224972161,0.7795675782927113,0.7370764101136104,0.04647162551706845,0.14906873780447438
ETH,2021,52,4.757503510428725,8.247284667329547,0.4423076923076923,0.5384615384615384,0.7742349022240383,0.7588766533438838,0.9160237306125861,0.08066635207476623,0.16144698226911747
ETH,2022,53,3.0781113788624057,5.32683846637334,0.5660377358490566,0.37735849056603776,0.5652982691030833,0.704568588844314,0.7400939429151001,0.09017884679311916,0.13824982546831627
ETH,2023,52,1.7368490854428593,3.004742633061841,0.5576923076923077,0.17307692307692307,0.3370224697000013,0.6693541748472849,0.4048431918800004,0.05312035539366278,0.07126517036231818
ETH,2024,52,2.3558256180117993,4.219241232609483,0.4230769230769231,0.3269230769230769,0.3853774135189394,0.6125545861419437,0.5010215146633885,0.06949183111047555,0.08629226674900908
ETH,2025,52,3.0224531764930305,4.464542374652591,0.40384615384615385,0.3269230769230769,0.4649011921302926,0.6183862560339468,0.5593180413729227,0.041378814818865566,0.09416524949629812
ETH,2026,32,2.6514053318442605,4.182852508081314,0.46875,0.3125,0.3851703901399686,0.6496731806868845,0.4198680385117487,0.015075443660196702,0.06664115090891093
SOL,2024,46,3.7069639485636166,6.575283905235219,0.43478260869565216,0.45652173913043476,0.6081297004620954,0.6575409960918908,0.7592331634255038,0.03907508756141299,0.11745434952218342
SOL,2025,52,3.7000830606545523,5.4979247016512245,0.46153846153846156,0.38461538461538464,0.6103083922992019,0.6469815651569841,0.6477179026602347,0.0018690203910574643,0.07471895824915409
SOL,2026,32,3.167330346070657,5.49859184872199,0.40625,0.46875,0.4628364176033419,0.7020396820087078,0.4953409256455954,0.011215638110804636,0.06204048340023416
XRP,2024,42,3.6241394708046437,5.06479532764118,0.5238095238095238,0.42857142857142855,0.5282917367569199,0.6234232969010323,0.6365009783723083,0.022606218607722203,0.17308333285235974
XRP,2025,52,3.754106525037172,5.813399531838681,0.40384615384615385,0.36538461538461536,0.5764024931203753,0.6563538084873863,0.6478005489517279,0.05439749088236074,0.12903069860056496
XRP,2026,32,2.3907999447080917,4.504941772747417,0.53125,0.34375,0.412989349498616,0.6729818434936121,0.46517741644688976,0.02731305571453527,0.0686713939498439
