,currency,implied_vs_ref,t,realized_vs_ref
Mon,BTC,0.14124552010649258,5.108535693280523,0.1717546805984213
Tue,BTC,0.125662057653512,5.455961251220271,0.15474723634691462
Wed,BTC,0.18848124463877988,4.689579886319144,0.20971161161997504
Thu,BTC,0.15749627717388723,5.480165518816714,0.21754613059220246
Fri,BTC,0.21405572327690553,8.388700822792174,0.24158674995392654
Sat,BTC,0.004151460036805135,0.14217509880503218,-0.03253495302140086
Sun,BTC,0.0,,0.0
