currency,band,n,wknd_frac_mean,eff_time_frac,vol_cut_pct,vol_cut_points,elasticity,price_cut_pct,price_cut_pct_mean,price_gap_pct,tv_usd_m,tv_flat_usd_m,tv_fair_usd_m,discount_usd_m,gap_usd_m,prem_paid_usd_m
BTC,1-3d,4337152,0.2277282138734469,0.9168852501138017,-4.461140017232963,-3.0316239459860026,1.7480947788865207,-7.299369120445231,-7.299369120445237,1.1566066991035129,1840.3306023334846,1985.240644936508,1819.2885886412344,144.9100426030233,21.04201369225025,2355.536450199332
BTC,3-7d,2450217,0.1714659788455347,0.9374194716441304,-3.220254525249879,-2.176068713716391,1.7800669074783129,-5.624959803456875,-5.624959803456878,0.8510996684571337,1946.1153200083452,2062.108070052647,1929.6917201756848,115.99275004430174,16.423599832660198,2503.7515720354577
BTC,7-14d,3087419,0.23484194749600207,0.9142889262734705,-4.384299043455537,-3.09679882233612,1.7650569990002865,-7.6465217050280865,-7.6465217050281,1.1837266587701123,3665.883790052542,3969.405221906111,3622.997403935607,303.521431853569,42.88638611693477,4512.781924779431
BTC,under 1d,3715963,0.2071684171631926,0.9243890298704617,-4.068031735338481,-3.232319242519257,1.8009279737397532,-6.913590171880745,-6.913590171880758,1.0802088329861625,725.9390800922254,779.8550630888504,718.181223083628,53.91598299662518,7.757857008597374,1071.2123484672122
ETH,1-3d,2945384,0.21876422117845795,0.9224275263373898,-4.146491618026556,-3.598087868273998,1.7318107331490395,-6.776034523197161,-6.776034523197142,0.8228244605592794,856.8953227980969,919.1792243715704,849.9021202617711,62.28390157347345,6.993202536325812,1141.8800979805108
ETH,3-7d,1545353,0.17844092584445195,0.9367259237098521,-3.253756619921109,-2.6811928717791433,1.8111053416730893,-5.785639736920545,-5.78563973692056,0.677672340322677,895.9420670655157,950.9612595826497,889.9113837643619,55.01919251713395,6.030683301153898,1144.6097349421966
ETH,7-14d,2079368,0.23512152472801465,0.9166273251346793,-4.261918495209624,-3.65733478657249,1.770871444264234,-7.451955304794589,-7.451955304794575,0.8892043146951245,1733.4510870941251,1873.0283203745837,1718.1730184798744,139.5772332804587,15.27806861425066,2125.653438985918
ETH,under 1d,2647001,0.21239530630693348,0.9246859051457221,-4.0478799427962,-4.05316812151332,1.7973008067726326,-6.864913713731213,-6.864913713731227,0.8311589292577137,350.1398654142827,375.94839858531924,347.2536358130505,25.808533171036483,2.886229601232231,489.6220660985991
SOL,1-3d,122957,0.22406442238231042,0.901050327363634,-5.432386836638242,-5.074445533734948,1.659427345218419,-8.402211005048754,-8.40221100504876,-2.096594852370426,12.999025849952766,14.191418802335125,13.277399116354939,1.1923929523823598,-0.2783732664021738,16.012423293952764
SOL,3-7d,86003,0.1712446802395069,0.9243761911406594,-3.90246063880782,-3.6766068030823753,1.7262476375844706,-6.610746652200095,-6.610746652200096,-1.5727761666150641,16.34964356199111,17.506986056630975,16.610895771750467,1.1573424946398698,-0.2612522097593602,19.883566521991106
SOL,7-14d,120884,0.23606339996311293,0.8957514276500254,-5.359907954372467,-4.96015449217486,1.7038693576673791,-9.000048875409162,-9.00004887540917,-2.181475172616998,31.771897052792557,34.91419133763344,32.480450005619424,3.1422942848408817,-0.708552952826865,38.545504475792555
SOL,under 1d,93075,0.22969103474918948,0.8985655444345331,-5.588784424478139,-5.7033060864719225,1.6444232678459307,-8.58112728587679,-8.581127285876807,-2.144629729295211,5.678382920222586,6.211390221338114,5.802832184390128,0.5330073011155277,-0.12444926416754164,7.875650672222586
XRP,1-3d,38430,0.22446367021590544,0.8849730905428973,-6.4411474930363175,-7.899049538217108,1.5647753527014103,-9.771837890685642,-9.771837890685639,-2.8895003362340854,5.3806065856237195,5.9633339079930945,5.540705283417817,0.5827273223693743,-0.16009869779409747,7.03768098562372
XRP,3-7d,24961,0.1595962705567552,0.9182145344706999,-4.239161111177813,-4.585511427411232,1.6596116576469668,-6.856841126402358,-6.8568411264023545,-1.9024943464309718,5.845069272706556,6.275360792346284,5.95842802909627,0.4302915196397286,-0.11335875638971478,7.267208372706555
XRP,7-14d,38659,0.23699736873175906,0.8785501687268237,-6.274947943082102,-6.804419868000531,1.686743754614666,-10.415040904494266,-10.41504090449425,-2.9632111967953345,10.858065293358914,12.12041106340544,11.189637896385463,1.2623457700465246,-0.3315726030265484,13.582278293358915
XRP,under 1d,33395,0.21618360744955054,0.8892162272126691,-6.220981306414338,-7.928553978229963,1.579694390659081,-9.273683823059198,-9.273683823059178,-2.7448687625056034,3.0820662231604383,3.397102795565486,3.169052556861104,0.3150365724050482,-0.08698633370066573,4.330760123160439
