asset,n_periods,trend_per_year,trend_se,t,ratio_first,ratio_last,table,moment,implied_trend,implied_se,realized_trend,realized_se,difference,difference_se,p,step_minutes,realized_t,lag,n,n_assets,beta,se,reliability,beta_corrected,se_corrected,regressor_sd,noise_sd
BTC,27.0,-0.186232,0.017858,-10.428582,0.825165,0.307479,implied trend,,,,,,,,,,,,,,,,,,,,
ETH,27.0,-0.148481,0.01419,-10.463855,1.085488,0.414673,implied trend,,,,,,,,,,,,,,,,,,,,
SOL,10.0,-0.185703,0.078172,-2.375572,0.740875,0.930767,implied trend,,,,,,,,,,,,,,,,,,,,
XRP,9.0,-0.08755,0.096384,-0.908339,0.672866,0.701392,implied trend,,,,,,,,,,,,,,,,,,,,
BTC,,,,-2.253107,,,comparison,arithmetic,-0.186232,0.017858,-0.06201,0.052161,-0.124222,0.055133,0.024252,,,,,,,,,,,,
BTC,,,,-1.998679,,,comparison,geometric,-0.186232,0.017858,-0.135572,0.017988,-0.05066,0.025347,0.045643,,,,,,,,,,,,
ETH,,,,-2.773238,,,comparison,arithmetic,-0.148481,0.01419,-0.036748,0.037708,-0.111732,0.04029,0.00555,,,,,,,,,,,,
ETH,,,,-2.369365,,,comparison,geometric,-0.148481,0.01419,-0.0983,0.015723,-0.050181,0.021179,0.017819,,,,,,,,,,,,
SOL,,,,-0.054533,,,comparison,arithmetic,-0.185703,0.078172,-0.172898,0.221416,-0.012805,0.23481,0.956511,,,,,,,,,,,,
SOL,,,,-1.781999,,,comparison,geometric,-0.185703,0.078172,0.006558,0.074361,-0.192261,0.107891,0.074749,,,,,,,,,,,,
XRP,,,,0.785402,,,comparison,arithmetic,-0.08755,0.096384,-0.292194,0.242077,0.204644,0.26056,0.432218,,,,,,,,,,,,
XRP,,,,-0.751952,,,comparison,geometric,-0.08755,0.096384,0.016545,0.099366,-0.104095,0.138433,0.45208,,,,,,,,,,,,
BTC,,,,-2.253107,,,comparison by step,arithmetic,-0.186232,,-0.06201,,-0.124222,0.055133,0.024252,5.0,-1.188822,,,,,,,,,,
BTC,,,,-1.998679,,,comparison by step,geometric,-0.186232,,-0.135572,,-0.05066,0.025347,0.045643,5.0,-7.536891,,,,,,,,,,
BTC,,,,-2.040271,,,comparison by step,arithmetic,-0.186232,,-0.067635,,-0.118597,0.058128,0.041323,15.0,-1.222686,,,,,,,,,,
