currency,bucket,n,wknd_frac_mean,eff_time_frac,vol_cut_pct,vol_cut_points,elasticity,price_cut_pct,price_cut_pct_mean,price_gap_pct,tv_usd_m,tv_flat_usd_m,tv_fair_usd_m,discount_usd_m,gap_usd_m,prem_paid_usd_m
BTC,far wing,3095387,0.2416130442380761,0.9118176557945059,-4.620007883726078,-3.886827085534568,4.302468579539052,-17.225881547296517,-17.225881547296503,2.780499636403122,347.4282667819511,419.73055500490653,338.02936161141,72.30228822295547,9.398905170541049,944.1212317372563
BTC,wing,2814843,0.22285213043163815,0.9186648910673613,-4.232515897971722,-3.209779463114224,2.8565459383110476,-11.294480697682408,-11.294480697682395,1.8097021720548723,921.4926878459084,1038.8222684378477,905.1128411009569,117.3295805919392,16.379846744951486,1401.5402626479731
BTC,near,3500047,0.21596879341154973,0.9211771262668391,-4.097126693695483,-2.8930623806885105,1.9110895670308907,-7.573348881025321,-7.57334888102533,1.1945594080400523,2451.7875376641073,2652.684596900611,2422.8452122390577,200.8970592365036,28.94232542504978,3119.8194072626843
BTC,at the money,4180474,0.21206592374766284,0.9226015700388025,-4.027025084367356,-2.7060371142686983,1.2184582156721047,-4.862181698374268,-4.862181698374263,0.7546899832496345,4457.560300194629,4685.371579640751,4424.171520884729,227.81127944612217,33.388779309900286,4977.801393833519
ETH,far wing,2031350,0.2378209708820777,0.9156701178063434,-4.4018404290401065,-4.571914300089734,4.244034044249536,-16.434994900333955,-16.43499490033396,2.043615261737708,160.636521568121,192.22941634064827,157.41947318908183,31.592894772527277,3.217048379039168,517.6688224572875
ETH,wing,1917559,0.2233642207917939,0.9207963942128983,-4.112846274042873,-3.8002998875524687,2.862138553717008,-11.034643667793853,-11.034643667793851,1.3605016142582471,466.841395561749,524.745153403886,460.5752616915611,57.90375784213704,6.266133870187879,688.0309858441831
ETH,near,2416419,0.21604810494834348,0.9233906447741713,-3.97752464070862,-3.4495019661008848,1.918368859401921,-7.392015709239597,-7.392015709239602,0.8973852318007403,1120.4406595228747,1209.8747943860196,1110.4754171268012,89.43413486314488,9.96524239607358,1377.8792006016497
ETH,at the money,2851778,0.21288286085521735,0.9245130212428969,-3.919861953646799,-3.277227758999199,1.2170102996201664,-4.732910424023085,-4.732910424023087,0.5652893373836898,2088.5097657192755,2192.267838783569,2076.7700063116135,103.75807306429314,11.739759407662154,2318.1863291041036
SOL,far wing,66571,0.23285511291740876,0.8971682476409932,-5.428018066327136,-6.10057791120628,4.16582061377413,-19.330572382353296,-19.330572382353306,-4.879253048052901,1.9108532821486912,2.36874530857671,2.008871190965323,0.4578920264280189,-0.09801790881663211,4.538851658148691
SOL,wing,85805,0.23045753466390903,0.8982270484125814,-5.360428381850845,-5.387260450895636,2.8163455822757864,-13.859587227764504,-13.8595872277645,-3.470743486186467,6.754732133699221,7.841536761101272,6.997600911525311,1.0868046274020504,-0.2428687778260894,9.82680891169922
SOL,near,119973,0.2201808346547895,0.9027653686459896,-5.096862943211705,-4.740200316930379,1.8985796881610773,-9.321380961145964,-9.321380961145987,-2.2965017470131133,19.699186101991543,21.724179647630958,20.16221164464735,2.024993545639418,-0.463025542655807,23.45871937499154
SOL,at the money,150570,0.21287774846328017,0.9059905035433627,-4.931527578206817,-4.53204214005624,1.2295830244937018,-6.00483094750034,-6.004830947500345,-1.4581366029215004,38.434177867119566,40.88952470062871,39.00289333097697,2.455346833509147,-0.5687154638574049,44.49276501911956
XRP,far wing,18290,0.2380107199531197,0.8780308746286938,-6.467750817203109,-8.364857752403699,4.1665784473986145,-23.05310643208357,-23.053106432083563,-6.954870644991951,0.7861670616857451,1.0217008448714597,0.844930913778595,0.23553378318571463,-0.05876385209284979,1.9288999616857452
XRP,wing,24673,0.2436588594936455,0.8751364728980966,-6.696592012884288,-8.381786550960447,2.8289983282772724,-16.801689394953158,-16.80168939495317,-5.010489407928698,2.4311110475090025,2.9220678038161156,2.559346850358365,0.490956756307113,-0.12823580284936262,3.513906647509002
XRP,near,33834,0.23431758471292577,0.8799234300363374,-6.437299237461808,-7.577482414074935,1.8742259850187675,-11.384881019228022,-11.384881019228034,-3.3485382185222012,5.603117632763356,6.322981560267543,5.797240444672853,0.7198639275041875,-0.1941228119094968,7.063926932763355
XRP,at the money,58648,0.20070548566767266,0.8971480253119231,-5.450272470622959,-5.965655012841417,1.2111372074462419,-6.541350192474205,-6.54135019247422,-1.8665238998907263,16.345411632891526,17.489458350355182,16.65630555695084,1.1440467174636555,-0.31089392405931465,19.71119423289153
