f_iv,f_iv_premium,f_wd_vol,f_friday_move_abs,f_funding_abs,f_wknd_frac,f_dvol_chg,f_T_days,entry_ts,exit_ts,instrument,strike,cp,expiry,hold_hours,wknd_frac,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,option_fees,spread_cost,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega
2.2524,1.34985,1.66864,15.0262,0.00030987,0.724034,,1.84153,2024-11-22 11:48:11.434000+00:00,2024-11-24 00:00:00+00:00,XRP_USDC-24NOV24-1d5-C,1.5,C,2024-11-24 08:00:00+00:00,36.1968,0.724034,1.4563,1.4748,1.27034,2.2524,1.9013,-0.3511,0.0737893,0.0229606,0.0508287,-0.0489309,0.00550437,0.00087933,0.000498109,0.0409471,0.00189781,-0.00498401,0.0463478,-0.121718
0.8372,1.17565,0.712115,0.0317561,2.55342e-06,0.293516,,6.81393,2025-04-25 12:27:56.442000+00:00,2025-04-27 00:00:00+00:00,XRP_USDC-2MAY25-2d2-C,2.2,C,2025-05-02 08:00:00+00:00,35.5343,0.293516,2.2022,2.1917,-0.476796,0.8372,0.8417,0.00449997,0.101637,0.0850028,0.0166347,-0.00848158,0.00235457,0.00131817,0.00145912,0.119947,0.00815311,0.00302124,0.0679724,0.0251881
0.6744,0.993127,0.679067,3.67256,3.6972e-05,0.73192,,1.82169,2025-05-23 12:16:45.802000+00:00,2025-05-25 00:00:00+00:00,XRP_USDC-25MAY25-2d35-C,2.35,C,2025-05-25 08:00:00+00:00,35.7206,0.73192,2.3055,2.3348,1.27087,0.6744,0.4726,-0.2018,0.0256338,0.00710043,0.0185334,-0.012357,0.00597098,0.00139209,0.000738818,0.0607345,0.0061764,-0.00192549,0.101695,-0.0317033
0.697,0.926299,0.752456,0.048463,2.84361e-06,0.292326,,6.84167,2026-03-20 11:47:59.564000+00:00,2026-03-22 00:00:00+00:00,XRP_USDC-27MAR26-1d4-P,1.4,P,2026-03-27 08:00:00+00:00,36.2001,0.292326,1.4438,1.4229,-1.44757,0.697,0.6838,-0.0132,0.0349723,0.0359731,-0.00100082,0.0146947,0.000968522,0.00086001,0.00089505,0.0735776,0.0136939,0.0109703,0.186115,0.149099
