bucket,n,mean_abs_delta,mean_tau,beta_shock,t_shock
d0_t0,979,0.058775470174464425,2.2959307736137844,12.007469894696978,1.0450504413005726
d0_t1,979,0.061314306178402306,15.42988212482766,10.649654440939873,1.2910711503760937
d0_t2,979,0.061751821554302935,58.93338729092345,28.876491815938135,3.166949188165882
d0_t3,979,0.0667241045186734,216.04989432092972,24.165122600404587,2.484003535291783
d1_t0,979,0.23521572919694117,2.308206199644001,12.15420736853714,1.003974451671693
d1_t1,979,0.2388236734336547,15.588148524261012,7.090949264521421,0.7108475633791557
d1_t2,979,0.24092510219539023,60.07574119199864,22.300041283281878,2.5276532531409033
d1_t3,979,0.2435557962739962,235.435976215882,24.550768875367424,2.4058675227784447
d2_t3,979,0.4978782782291033,238.42583623156315,23.967758118286916,2.291192102879019
d2_t1,979,0.4985831757649591,15.608754057709078,5.482607752794429,0.5127564976271953
d2_t2,979,0.4991869123273098,60.533263602888965,22.955505864506787,2.5482619816283054
d2_t0,974,0.4992167320447629,2.350247987828406,9.614153491433045,0.8217205645238254
d3_t3,979,0.8146163477412194,210.52052221906683,22.001360095072293,2.2463102448099357
d3_t1,979,0.8216479956242333,15.11028045502937,6.7874724168388765,0.7535651633990486
d3_t2,979,0.8278960221686572,59.00301458459375,21.865750348518734,2.4289711477526073
d3_t0,979,0.836871726957647,2.3775412720427536,9.630700143743722,0.8055159871359511
