currency,year,n,wknd_frac_mean,eff_time_frac,vol_cut_pct,vol_cut_points,elasticity,price_cut_pct,price_cut_pct_mean,price_gap_pct,tv_usd_m,tv_flat_usd_m,tv_fair_usd_m,discount_usd_m,gap_usd_m,prem_paid_usd_m
BTC,2017,21714,0.1863574017712345,0.9319844977738881,-3.4846370615779683,-5.646218605900375,1.584515804422356,-5.347818949152405,-5.34781894915242,0.8102472398112237,3.308450297785496,3.4953767161563674,3.281859124812212,0.18692641837087134,0.026591172973284033,6.244929916985497
BTC,2018,67153,0.16291310550008326,0.9405410432615611,-3.045210747393843,-3.2308619892511654,1.8177623602369068,-5.453435910269699,-5.453435910269699,0.8215360556552032,8.032312940597548,8.495615909399316,7.966862294345104,0.4633029688017676,0.06545064625244401,16.04008172526787
BTC,2019,250970,0.18356186137866934,0.9330047957711047,-3.430884380356032,-3.0646463875434007,1.8273329034121257,-6.130144811809258,-6.130144811809247,0.9309741192639942,77.0743664046263,82.1076864879649,76.3634425182028,5.033320083338588,0.7109238864235133,112.4140979549157
BTC,2020,801712,0.20283437869623308,0.9259708388042405,-3.839722295279069,-3.0316699928110244,1.838129207539467,-6.7837956443283165,-6.783795644328309,1.0453819754268956,317.92968885451864,341.06697548147315,314.6404938444743,23.137286626954495,3.2891950100443363,436.02058629692914
BTC,2021,1581898,0.22148984398962118,0.919162089438067,-4.208378314054532,-4.520188102404315,1.7902138068123932,-7.278283435921107,-7.278283435921114,1.133592001135808,1779.4506891789417,1919.1304422725868,1759.5050803287568,139.6797530936451,19.945608850184918,2256.3555180128774
BTC,2022,1663600,0.20508167337288988,0.9251506359326069,-3.8884312559355036,-3.126446461860906,1.7728137791510592,-6.7406656628314465,-6.740665662831453,1.040372562630143,834.5773163100366,894.8994995961659,825.9840053466961,60.32218328612924,8.593310963340521,1072.2118874728096
BTC,2023,2189407,0.2144313495550488,0.9217382524418687,-4.080949496898303,-2.2196549720008285,1.7540488763828677,-6.909324393410676,-6.909324393410699,1.0714464963307968,661.6763984293744,710.7869763731078,654.6620448866291,49.11057794373333,7.014353542745352,855.659492631603
BTC,2024,2959107,0.20542477059577002,0.9250254145584904,-3.8969275937986496,-2.409716475802508,1.730086039170979,-6.589535545969394,-6.589535545969393,1.0162598541716195,1841.7469895763734,1971.6709475122443,1823.2183533969119,129.92395793587087,18.52863617946148,2352.734210980386
BTC,2025,2797717,0.22093297893707728,0.9193653303926037,-4.197053722615483,-2.0616004274005753,1.770695237729442,-7.172072135239615,-7.172072135239625,1.1113270745123804,1892.6453860522672,2038.8749696208172,1871.8430870336738,146.22958356854988,20.80229901859355,2413.424048986982
BTC,2026,1257473,0.23803771837591414,0.913122554777995,-4.534102743411335,-2.3983899883976276,1.7716651088559296,-7.778093635331129,-7.778093635331122,1.21344011444946,761.8271944420751,826.0805100142005,752.6937070616523,64.25331557212543,9.13348738042283,922.1774415026763
ETH,2019,37398,0.188563746972423,0.9331364323793649,-3.4208823746417605,-3.5913643160875357,1.8139787669751117,-6.062345906532229,-6.062345906532236,0.7117743374193131,3.4908614518841135,3.716147146287806,3.4661900009710074,0.2252856944036931,0.024671450913106092,6.18180487668248
ETH,2020,233730,0.212747970952602,0.9245608523889665,-3.9165356432361764,-3.58974961499722,1.7982126287670723,-6.860231156870189,-6.860231156870199,0.8186458441233224,46.82233816457286,50.271048281677785,46.44214150323476,3.448710117104918,0.3801966613381058,62.020436158853634
ETH,2021,1141184,0.2212467699181586,0.9215472295242766,-4.080973356904165,-5.058784792130874,1.7712757583392449,-7.008271691684587,-7.00827169168457,0.8403419742968321,769.5433960921168,827.539621094776,763.1304902637731,57.99622500265908,6.4129058283437494,907.9644254495471
ETH,2022,1846036,0.21049866383593702,0.9253584431290183,-3.8712273819178233,-3.841120124371751,1.8529240441816652,-7.024460998398984,-7.0244609983989985,0.8372799201793013,692.5137101656268,744.8343054550099,686.7635766393205,52.32059528938317,5.750133526306271,893.3259877193697
ETH,2023,1742433,0.21719377418977726,0.9229843973696442,-4.000554304696608,-2.301662413431795,1.83140254259258,-7.069676738845654,-7.069676738845648,0.8455387902342126,336.3033787816107,361.88766699597653,333.4836452023379,25.58428821436578,2.8197335792728064,447.3244545326021
ETH,2024,1743259,0.204621730609573,0.9274423682126688,-3.757444102998607,-2.7122263839327676,1.7736958947900854,-6.469626777243964,-6.469626777243957,0.7686315367063656,870.5026286608372,930.7165134342082,863.8627074574736,60.21388477337098,6.639921203363657,1183.6906038024927
ETH,2025,1822211,0.22312317990860864,0.9208818658565785,-4.114526438285287,-3.034266662993444,1.7006078372420652,-6.796653893438109,-6.796653893438098,0.8128920324006028,849.8403572936818,911.8131406162569,842.9877768217865,61.97278332257509,6.852580471895218,1062.9033036655242
ETH,2026,650855,0.23322836265686306,0.917298628989178,-4.311999867826346,-3.003346199277867,1.732171753872771,-7.257813044707762,-7.257813044707777,0.8706185304910852,267.4116717616902,288.33875988993015,265.1036304301606,20.92708812823993,2.3080413315295876,338.3543218021523
SOL,2024,145930,0.22369896545502835,0.9012117177482957,-5.218676389030228,-5.075141092734075,1.7036558329655258,-8.63130103581633,-8.631301035816321,-2.1094092106174966,20.14059727208113,22.043213376581186,20.574599774777983,1.9026161045000554,-0.43400250269685314,24.88839205808113
SOL,2025,204485,0.21374486455193217,0.9056075741510141,-4.943466786884271,-4.796444276515512,1.7158537699480247,-8.186328974639878,-8.186328974639896,-1.989233876550489,37.99430839396705,41.3819728256727,38.765443733101016,3.3876644317056464,-0.771135339133963,47.108922377967055
