asset,v_wd,c_wd,j_wd,n_wd,jump_share_wd,v_we,c_we,j_we,n_we,jump_share_we,realized_ratio,cont_ratio,jump_ratio
BTC,0.00141904,0.00091838,0.00050066,2088,0.35281453,0.00082836,0.00051507,0.00031329,834,0.37820389,0.58374823,0.56084754,0.62575611
ETH,0.00225307,0.00153167,0.0007214,1931,0.32018631,0.00136691,0.00094599,0.00042092,772,0.30793483,0.60668734,0.61762095,0.58347331
SOL,0.00240947,0.00183137,0.0005781,654,0.23992975,0.00158026,0.00112766,0.00045259,260,0.28640499,0.65585303,0.61575025,0.78289409
XRP,0.00255116,0.00163665,0.00091452,634,0.35847106,0.00159016,0.00100302,0.00058713,252,0.36922947,0.62330556,0.61285277,0.64201215
