asset,cell,n,net_per_vega,t,hit_rate,mean_hold_hours,mean_wknd_life
BTC,"high content, no weekend held",2453,-0.02913222976547587,-8.434191520901335,0.430900937627395,18.741133306155728,0.3773427116378094
BTC,"high content, weekend held",7977,-0.032747328112824034,-19.271950652684833,0.3708160962767958,32.816848439262884,0.4431998029516696
BTC,"low content, no weekend held",8687,-0.03919591384887126,-14.05701786741571,0.42983768850005755,27.331875215839762,0.008251151071787016
BTC,"low content, weekend held",1191,-0.050493135417923024,-9.77537525979076,0.3047858942065491,23.707808564231737,0.10344827586206896
ETH,"high content, no weekend held",2100,-0.032171462982004954,-7.110322208806492,0.43761904761904763,18.53142857142857,0.38343577392395306
ETH,"high content, weekend held",6670,-0.051629420025068255,-21.02057684993525,0.36191904047976015,32.71304347826087,0.45604924277530395
ETH,"low content, no weekend held",7242,-0.058470412702300634,-18.54058816492863,0.41922120961060483,27.13173156586578,0.008724328317833383
ETH,"low content, weekend held",980,-0.06011907609040183,-12.163643686068388,0.30306122448979594,23.43673469387755,0.10526573447969893
