asset,entry,exit,select,n,per_year,mean,t,sharpe,hit_rate,worst,max_dd,mean_hold_hours,mean_iv_change,mean_net_usd
BTC,utc_noon_fri,utc_sun_00,wknd_frac,227,23.886572643906934,0.06862133247511543,5.27025524438214,1.7096044528046097,0.6872246696035242,-0.7940979038587697,-1.4931803003737374,35.47526014929026,-0.022603524960085167,79.95278193843696
BTC,utc_noon_fri,utc_sun_00,closed_frac,227,23.886572643906934,0.06862133247511543,5.27025524438214,1.7096044528046097,0.6872246696035242,-0.7940979038587697,-1.4931803003737374,35.47526014929026,-0.022603524960085167,79.95278193843696
BTC,utc_noon_fri,fx_open_sun,wknd_frac,256,26.938161219560243,0.0006415389000045627,0.056207608943177986,0.018233040730463283,0.61328125,-0.9633019220357152,-5.350734748623206,56.796902968750004,0.06577734492719173,0.7515082075424129
BTC,utc_noon_fri,fx_open_sun,closed_frac,256,26.938161219560243,0.0006415389000045627,0.056207608943177986,0.018233040730463283,0.61328125,-0.9633019220357152,-5.350734748623206,56.796902968750004,0.06577734492719173,0.7515082075424129
BTC,utc_noon_fri,tokyo_open_mon,wknd_frac,280,29.463613833894016,-0.01488182813398161,-1.4955069717426603,-0.4851236343471118,0.55,-0.9050369653479399,-6.551425776145685,59.43400427777779,0.08260357025691441,-22.85494788049044
BTC,utc_noon_fri,tokyo_open_mon,closed_frac,280,29.463613833894016,-0.01488182813398161,-1.4955069717426603,-0.4851236343471118,0.55,-0.9050369653479399,-6.551425776145685,59.43400427777779,0.08260357025691441,-22.85494788049044
BTC,us_equity_close,utc_sun_00,wknd_frac,262,27.569524373143686,0.05614559565716433,4.827103018958357,1.5658514498238987,0.648854961832061,-0.8955833289720554,-1.8970843233870092,27.10742342345208,-0.01443053347463826,50.771029498966236
BTC,us_equity_close,utc_sun_00,closed_frac,273,28.727023488046665,0.052924664327448454,4.102076609691281,1.3306620101842932,0.6959706959706959,-1.3303722163683407,-2.3321679369447077,27.586062634310135,-0.009974726128490855,49.58226002226937
BTC,us_equity_close,fx_open_sun,wknd_frac,282,29.67406821842183,0.011716144864665648,1.2972526118463554,0.4208124158671451,0.599290780141844,-0.764817344260292,-2.473147373885633,48.55005456264775,0.0708159583341991,8.94929404379492
BTC,us_equity_close,fx_open_sun,closed_frac,283,29.779295410685737,0.008423762922224699,0.7989129420877927,0.25915730071184523,0.6042402826855123,-1.1110658792969141,-3.108975649174381,49.0082046005104,0.06488798444768144,0.5777374988702441
BTC,us_equity_close,tokyo_open_mon,wknd_frac,302,31.778612063699974,0.005861647881780389,0.7139363770109411,0.23159197279071952,0.6192052980132451,-0.6311851333328735,-3.437329932825472,51.1783566924209,0.0907874155360342,-8.810938242159612
BTC,us_equity_close,tokyo_open_mon,closed_frac,301,31.673384871436067,0.009094130566162017,0.9744432137345324,0.31609711104250215,0.6112956810631229,-1.1409496983065928,-3.1491604649433573,51.65113381875231,0.08184551619216059,-10.99705554987397
BTC,cme_close,utc_sun_00,wknd_frac,278,29.2531594493662,0.059557692174748496,5.126512702780638,1.6629761819174775,0.6690647482014388,-0.971295242243488,-1.7601927243606212,26.15498817446043,-0.0034284193052662375,49.41508580983002
BTC,cme_close,utc_sun_00,closed_frac,270,28.411341911254944,0.04671966124757464,3.596514924640952,1.1666641641879798,0.6444444444444445,-1.3750649375707062,-2.3777390912828835,27.18577268621399,-0.007414813394899718,33.103649830926706
BTC,cme_close,fx_open_sun,wknd_frac,278,29.2531594493662,-0.00976510255491557,-1.1021771985111715,-0.35753240763110594,0.5575539568345323,-0.7830648380278791,-4.094256370587532,47.52051822242206,0.08043776930664942,-22.9433534997305
BTC,cme_close,fx_open_sun,closed_frac,285,29.98974979521355,-0.0012384069449105832,-0.14120649552453654,-0.04580560946664041,0.5824561403508772,-0.8077229269191865,-3.2032199913267414,48.520814154970765,0.07152491198087993,-12.062887917084566
BTC,cme_close,tokyo_open_mon,wknd_frac,307,32.30474802501951,-0.011920940562936234,-1.3431727996261396,-0.4357083466829486,0.5537459283387622,-0.822197971720975,-5.336946935789116,50.19309235703945,0.09098794831515135,-39.249490774908075
BTC,cme_close,tokyo_open_mon,closed_frac,303,31.88383925596388,-0.002848434008639365,-0.34782158911496586,-0.1128289447017539,0.5775577557755776,-0.8188474387952095,-3.18848810641993,51.148643269160246,0.09223102198182159,-24.511018735178585
BTC,fx_close,utc_sun_00,wknd_frac,278,29.2531594493662,0.059557692174748496,5.126512702780638,1.6629761819174775,0.6690647482014388,-0.971295242243488,-1.7601927243606212,26.15498817446043,-0.0034284193052662375,49.41508580983002
BTC,fx_close,utc_sun_00,closed_frac,270,28.411341911254944,0.04671966124757464,3.596514924640952,1.1666641641879798,0.6444444444444445,-1.3750649375707062,-2.3777390912828835,27.18577268621399,-0.007414813394899718,33.103649830926706
BTC,fx_close,fx_open_sun,wknd_frac,278,29.2531594493662,-0.00976510255491557,-1.1021771985111715,-0.35753240763110594,0.5575539568345323,-0.7830648380278791,-4.094256370587532,47.52051822242206,0.08043776930664942,-22.9433534997305
BTC,fx_close,fx_open_sun,closed_frac,285,29.98974979521355,-0.0012384069449105832,-0.14120649552453654,-0.04580560946664041,0.5824561403508772,-0.8077229269191865,-3.2032199913267414,48.520814154970765,0.07152491198087993,-12.062887917084566
BTC,fx_close,tokyo_open_mon,wknd_frac,307,32.30474802501951,-0.011920940562936234,-1.3431727996261396,-0.4357083466829486,0.5537459283387622,-0.822197971720975,-5.336946935789116,50.19309235703945,0.09098794831515135,-39.249490774908075
BTC,fx_close,tokyo_open_mon,closed_frac,303,31.88383925596388,-0.002848434008639365,-0.34782158911496586,-0.1128289447017539,0.5775577557755776,-0.8188474387952095,-3.18848810641993,51.148643269160246,0.09223102198182159,-24.511018735178585
ETH,utc_noon_fri,utc_sun_00,wknd_frac,158,21.361092059782862,0.07429177043255596,4.2310717466642105,1.5557276558266178,0.7025316455696202,-0.7738784251240663,-3.244392975342893,35.515545007032344,-0.017919618600531463,5.27879531648734
ETH,utc_noon_fri,utc_sun_00,closed_frac,158,21.361092059782862,0.07429177043255596,4.2310717466642105,1.5557276558266178,0.7025316455696202,-0.7738784251240663,-3.244392975342893,35.515545007032344,-0.017919618600531463,5.27879531648734
ETH,utc_noon_fri,fx_open_sun,wknd_frac,186,25.14660204506084,-0.01617366779596205,-1.224189395950622,-0.45012361247515664,0.532258064516129,-0.8057960544502045,-3.634465214556446,56.82280492383512,0.06708871000556536,-0.9380952485108971
ETH,utc_noon_fri,fx_open_sun,closed_frac,186,25.14660204506084,-0.01617366779596205,-1.224189395950622,-0.45012361247515664,0.532258064516129,-0.8057960544502045,-3.634465214556446,56.82280492383512,0.06708871000556536,-0.9380952485108971
ETH,utc_noon_fri,tokyo_open_mon,wknd_frac,205,27.715340963642323,-0.021179224065870687,-1.6713330288757917,-0.6145343711480415,0.5219512195121951,-0.8441227509671543,-4.779708226987574,59.47167540514906,0.09779414553758574,-1.368792295929928
ETH,utc_noon_fri,tokyo_open_mon,closed_frac,205,27.715340963642323,-0.021179224065870687,-1.6713330288757917,-0.6145343711480415,0.5219512195121951,-0.8441227509671543,-4.779708226987574,59.47167540514906,0.09779414553758574,-1.368792295929928
ETH,us_equity_close,utc_sun_00,wknd_frac,182,24.60581490430684,0.03295283956961888,1.2020997342049864,0.44200143924265706,0.7032967032967034,-2.7598862573771203,-3.0246552963493,27.176194677960936,0.012788463713048575,1.810180186440448
ETH,us_equity_close,utc_sun_00,closed_frac,180,24.335421333929844,0.05273460450715833,2.2049743496593854,0.8107495645418697,0.7111111111111111,-2.3256248687295322,-2.4904495363222336,27.574396689814815,-0.0038483322461446133,2.7354824178325763
ETH,us_equity_close,fx_open_sun,wknd_frac,207,27.98573453401932,-0.028992010992078276,-1.661516940207851,-0.610925082171838,0.5507246376811594,-1.827863695522268,-6.791488227111425,48.61701469672572,0.09292608869248543,-1.428042694051518
ETH,us_equity_close,fx_open_sun,closed_frac,192,25.957782756191833,-0.02517373483070078,-1.511813243019628,-0.5558803569012657,0.5572916666666666,-1.8930945435862072,-5.817671625777587,49.007143946759264,0.09447239418824514,-1.9009498826717959
ETH,us_equity_close,tokyo_open_mon,wknd_frac,222,30.013686311846808,-0.016065880071598895,-1.3215225762740694,-0.4859121619314803,0.5405405405405406,-0.9966028319460692,-3.1123556248054585,51.21935496621621,0.11276576669366511,-0.47913729538163186
ETH,us_equity_close,tokyo_open_mon,closed_frac,223,30.148883097035306,-0.01969049594785962,-1.5576284080012859,-0.5727261878126462,0.5246636771300448,-0.9966028319460692,-4.496061825128839,51.6260440470852,0.12489999976393357,-0.8956779060533867
ETH,cme_close,utc_sun_00,wknd_frac,189,25.552192400626335,0.0225514487377468,1.0424610589204932,0.38330371040470623,0.656084656084656,-1.976010914474952,-3.5672467127775374,26.192851115520288,0.051120107312681816,2.1527399946464305
ETH,cme_close,utc_sun_00,closed_frac,176,23.794634193175845,-0.004647840988008172,-0.17320193097755837,-0.06368481798419035,0.6420454545454546,-2.3727506004425893,-4.634942939287236,27.154094957386363,0.031771594150499856,0.41205008544800653
ETH,cme_close,fx_open_sun,wknd_frac,195,26.36337311175733,-0.05773742647338907,-2.5981483067489433,-0.955316150792093,0.48205128205128206,-2.8897257473528617,-11.333954743702577,47.606995602564105,0.11744410392565605,-3.98699882242579
