f_iv,f_iv_premium,f_wd_vol,f_friday_move_abs,f_funding_abs,f_wknd_frac,f_dvol_chg,f_T_days,entry_ts,exit_ts,instrument,strike,cp,expiry,hold_hours,wknd_frac,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,option_fees,spread_cost,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega
0.4558,0.832676,0.547392,1.74188,0.000226168,0.797162,7.26333,1.6726,2024-02-16 15:51:27.321000+00:00,2024-02-18 00:00:00+00:00,ETH-18FEB24-2750-P,2750,P,2024-02-18 08:00:00+00:00,32.1424,0.797162,2776.75,2787.97,0.404275,0.4558,0.3293,-0.1265,23.824,1.06023,22.7638,-14.638,7.5917,0.965553,1.00881,74.6909,8.12577,-1.44029,0.108792,-0.0192833
0.4801,0.810275,0.592515,1.91246,0.000238913,0.799407,,1.6679,2024-02-23 15:58:13.247000+00:00,2024-02-25 00:00:00+00:00,ETH-25FEB24-2900-P,2900,P,2024-02-25 08:00:00+00:00,32.0297,0.799407,2918.13,2986.84,2.35444,0.4801,0.5521,0.072,31.0813,0.75874,30.3226,-22.1713,5.13238,0.970282,1.09227,80.8699,8.1513,0.956374,0.100795,0.0118261
0.5296,0.674248,0.785468,1.60473,0.000176348,0.799051,,1.66865,2024-03-01 15:57:08.899000+00:00,2024-03-03 00:00:00+00:00,ETH-3MAR24-3400-P,3400,P,2024-03-03 08:00:00+00:00,32.0475,0.799051,3395.42,3425.03,0.87213,0.5296,0.447,-0.0826,53.1985,8.52169,44.6768,-28.0896,9.36732,2.04613,1.29645,95.9872,16.5872,3.8773,0.172806,0.040394
0.6999,0.698193,1.00245,0.870462,0.000286156,0.799531,,1.66764,2024-03-08 15:58:35.497000+00:00,2024-03-10 00:00:00+00:00,ETH-10MAR24-4000-C,4000,C,2024-03-10 08:00:00+00:00,32.0235,0.799531,3923.85,3911.92,-0.30407,0.6999,0.4574,-0.2425,46.1308,1.23865,44.8921,-19.0095,8.05615,1.33199,1.40305,103.88,25.8826,15.0914,0.249158,0.145277
0.6552,0.648096,1.01096,4.16685,5.54952e-05,0.797294,,1.67232,2024-03-22 15:51:51.197000+00:00,2024-03-24 00:00:00+00:00,ETH-24MAR24-3325-P,3325,P,2024-03-24 08:00:00+00:00,32.1358,0.797294,3360.9,3348.97,-0.35482,0.6552,0.5375,-0.1177,45.6223,11.7188,33.9035,-30.3907,11.5548,2.01296,1.24257,91.998,3.5128,-11.2976,0.0381835,-0.122802
0.5216,0.9196,0.567203,1.92915,0.000179176,0.799142,,1.66846,2024-03-29 15:57:25.438000+00:00,2024-03-31 00:00:00+00:00,ETH-31MAR24-3475-P,3475,P,2024-03-31 08:00:00+00:00,32.0429,0.799142,3497.66,3506.62,0.25616,0.5216,0.3637,-0.1579,40.8749,4.41909,36.4558,-20.4507,8.02173,1.60168,1.31071,97.0429,16.0051,5.07095,0.164928,0.0522547
0.4755,0.685455,0.6937,0.423097,0.000100876,0.799127,,1.66849,2024-04-05 15:57:22.629000+00:00,2024-04-07 00:00:00+00:00,ETH-7APR24-3350-P,3350,P,2024-04-07 08:00:00+00:00,32.0437,0.799127,3328.08,3358.76,0.921772,0.4755,0.3268,-0.1487,56.6948,9.29442,47.4004,-29.5156,10.4638,2.00605,1.25097,92.6202,17.8848,4.16397,0.193099,0.0449574
0.4476,0.642744,0.696389,3.0372,5.1274e-07,0.795282,-0.975,1.67655,2024-05-03 15:45:45.726000+00:00,2024-05-05 00:00:00+00:00,ETH-5MAY24-3075-P,3075,P,2024-05-05 08:00:00+00:00,32.2373,0.795282,3076.3,3108.3,1.04039,0.4476,0.4636,0.016,38.2762,5.49798,32.7782,-29.0293,7.98055,1.61014,1.17427,86.9417,3.74895,-7.01601,0.0431203,-0.0806979
0.487,0.939513,0.518354,0.030683,0.000148101,0.795453,,1.67619,2024-05-31 15:46:16.814000+00:00,2024-06-02 00:00:00+00:00,ETH-2JUN24-3800-C,3800,C,2024-06-02 08:00:00+00:00,32.2287,0.795453,3753.76,3812.99,1.57791,0.487,0.3597,-0.1273,32.1209,23.8108,8.31006,19.2051,8.24535,2.27003,1.35415,100.259,27.5152,15.6456,0.27444,0.156052
0.5273,0.759564,0.694214,1.84592,3.40343e-05,0.799078,,1.66859,2024-07-05 15:57:13.764000+00:00,2024-07-07 00:00:00+00:00,ETH-7JUL24-3025-P,3025,P,2024-07-07 08:00:00+00:00,32.0462,0.799078,2982.42,3058.61,2.55454,0.5273,0.4049,-0.1224,69.251,3.71736,65.5337,-50.3444,9.57141,1.3594,1.06722,79.0155,15.1892,3.19121,0.192231,0.0403872
0.392,0.540356,0.725448,1.0512,2.04991e-06,0.799085,,1.66858,2024-07-12 15:57:15.112000+00:00,2024-07-14 00:00:00+00:00,ETH-14JUL24-3150-P,3150,P,2024-07-14 08:00:00+00:00,32.0458,0.799085,3138.11,3176.69,1.22926,0.392,0.5265,0.1345,41.1105,9.49293,31.6176,-35.8591,9.81851,1.89444,1.18947,88.0666,-4.24155,-17.144,-0.048163,-0.19467
0.6963,1.13588,0.613006,2.45636,1.89292e-05,0.791623,-3.50667,1.6843,2024-07-26 15:34:36.121000+00:00,2024-07-28 00:00:00+00:00,ETH-28JUL24-3250-P,3250,P,2024-07-28 08:00:00+00:00,32.4233,0.791623,3252.36,3252.75,0.0118455,0.6963,0.4611,-0.2352,62.8262,16.7344,46.0917,-14.5427,8.91735,1.95153,1.24105,91.8853,31.549,19.4391,0.343352,0.211558
0.5257,0.934174,0.562743,5.1913,6.07415e-05,0.797527,-4.88833,1.67183,2024-08-02 15:52:33.512000+00:00,2024-08-04 00:00:00+00:00,ETH-4AUG24-3050-C,3050,C,2024-08-04 08:00:00+00:00,32.124,0.797527,3038.86,2903.8,-4.4443,0.5257,0.7878,0.2621,39.8959,0.506922,39.3889,-41.5276,7.15247,0.975023,1.15681,85.6484,-2.13864,-11.4229,-0.02497,-0.13337
0.639,0.896187,0.713021,2.79624,8.85895e-06,0.792051,,1.68339,2024-09-06 15:35:54.842000+00:00,2024-09-08 00:00:00+00:00,ETH-8SEP24-2275-P,2275,P,2024-09-08 08:00:00+00:00,32.4014,0.792051,2295.74,2270.63,-1.09406,0.639,0.4688,-0.1702,31.7409,15.1505,16.5904,-4.9857,6.74769,1.36991,0.855154,63.3144,11.6047,2.63191,0.183286,0.0415689
0.4281,0.768274,0.557223,2.01796,8.27004e-06,0.797067,,1.6728,2024-09-13 15:51:10.198000+00:00,2024-09-15 00:00:00+00:00,ETH-15SEP24-2425-C,2425,C,2024-09-15 08:00:00+00:00,32.1472,0.797067,2408.77,2419.42,0.442127,0.4281,0.2805,-0.1476,21.852,5.70228,16.1497,-5.19613,6.7292,1.43542,0.900521,66.6733,10.9536,1.88846,0.164288,0.0283241
0.4785,0.824177,0.580579,3.78261,9.38184e-06,0.794193,,1.67885,2024-09-20 15:42:27.057000+00:00,2024-09-22 00:00:00+00:00,ETH-22SEP24-2575-P,2575,P,2024-09-22 08:00:00+00:00,32.2925,0.794193,2549.56,2606.41,2.22963,0.4785,0.4461,-0.0324,48.8558,3.5116,45.3442,-39.736,7.58706,1.20382,0.937298,69.3963,5.60821,-4.11997,0.0808142,-0.0593687
0.384,0.706795,0.543298,1.84801,5.86882e-05,0.796738,-3.535,1.67349,2024-10-18 15:50:10.375000+00:00,2024-10-20 00:00:00+00:00,ETH-20OCT24-2650-P,2650,P,2024-10-20 08:00:00+00:00,32.1638,0.796738,2659.5,2646.1,-0.503845,0.384,0.2314,-0.1526,24.3194,9.49858,14.8209,-2.41332,6.74895,1.59168,1.00497,74.4064,12.4075,3.06194,0.166754,0.0411516
0.6399,0.87578,0.730663,1.41626,0.000188286,0.794914,,1.67733,2024-11-22 15:44:38.616000+00:00,2024-11-24 00:00:00+00:00,ETH-24NOV24-3375-P,3375,P,2024-11-24 08:00:00+00:00,32.2559,0.794914,3326.23,3398.49,2.17238,0.6399,0.4962,-0.1437,88.0936,10.6439,77.4497,-75.9416,12.4234,2.01742,1.21496,89.9538,1.50812,-14.1476,0.0167654,-0.157277
