entry_ts,exit_ts,instrument,cp,strike,expiry,hold_hours,wknd_frac,closed_frac,iv_in,iv_out,iv_change,index_in,index_out,index_move_pct,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega
2018-04-20 12:38:46.951000+00:00,2018-04-22 00:00:00+00:00,BTC-27APR18-8500-C,C,8500,2018-04-27 08:00:00+00:00,35.3536,0.293841,0.318328,0.8092,0.8307,0.0215,8540.05,8914.92,4.38955,396.508,594.643,-198.134,6.66134e-16,0.00620254,463.941,-198.134,-207.422,-0.427068,-0.447087
2018-04-27 12:36:11.793000+00:00,2018-04-29 00:00:00+00:00,BTC-4MAY18-9500-C,C,9500,2018-05-04 08:00:00+00:00,35.3967,0.293764,0.318244,0.8424,0.9212,0.0788,9326.71,9411.7,0.911254,351.471,377.173,-25.7022,6.245e-17,0.000291402,506.46,-25.7022,-35.7399,-0.0507487,-0.070568
2018-05-25 12:06:08.351000+00:00,2018-05-27 00:00:00+00:00,BTC-1JUN18-7500-C,C,7500,2018-06-01 08:00:00+00:00,35.8977,0.292866,0.317271,0.6488,0.6142,-0.0346,7518.57,7332.99,-2.46829,275.244,146.136,129.108,0,0.0393639,409.338,129.108,121.045,0.315408,0.295708
2018-06-08 12:00:36.083000+00:00,2018-06-10 00:00:00+00:00,BTC-15JUN18-7500-C,C,7500,2018-06-15 08:00:00+00:00,35.99,0.292701,0.317093,0.4743,0.4488,-0.0255,7560.8,7433.02,-1.69003,226.834,130.291,96.5437,1.11022e-16,0.00249645,407.666,96.5437,88.4886,0.236821,0.217061
2018-08-10 12:40:44.213000+00:00,2018-08-12 00:00:00+00:00,BTC-17AUG18-6750-C,C,6750,2018-08-17 08:00:00+00:00,35.3211,0.2939,0.318391,0.6944,0.763,0.0686,6484.17,6254.81,-3.53723,139.877,68.7408,71.1359,-1.13687e-13,0.479246,329.866,71.1359,63.9589,0.215651,0.193894
2018-08-17 12:37:33.178000+00:00,2018-08-19 00:00:00+00:00,BTC-24AUG18-6500-C,C,6500,2018-08-24 08:00:00+00:00,35.3741,0.293804,0.318288,0.6627,0.6524,-0.0103,6461.62,6366.06,-1.47885,215.665,142.377,73.2879,-73.0276,2.67901,352.642,0.260338,-9.3417,0.000738248,-0.0264906
2018-09-07 12:24:47.842000+00:00,2018-09-09 00:00:00+00:00,BTC-14SEP18-6500-C,C,6500,2018-09-14 08:00:00+00:00,35.5867,0.293422,0.317874,0.5533,0.7188,0.1655,6408.71,6171.46,-3.702,152.637,93.2402,59.3966,-109.056,2.53817,345.965,-49.6597,-58.9885,-0.14354,-0.170504
2018-09-14 12:13:28.288000+00:00,2018-09-16 00:00:00+00:00,BTC-21SEP18-6500-P,P,6500,2018-09-21 08:00:00+00:00,35.7755,0.293084,0.317508,0.5907,0.5933,0.00260002,6458.64,6490.45,0.492651,230.194,190.609,39.5855,-22.8712,2.06504,352.288,16.7143,7.69286,0.0474449,0.0218369
2018-09-21 12:39:55.389000+00:00,2018-09-23 00:00:00+00:00,BTC-28SEP18-6750-P,P,6750,2018-09-28 08:00:00+00:00,35.3346,0.293875,0.318365,0.6336,0.5288,-0.1048,6723.08,6696.52,-0.395032,246.624,199.486,47.1375,-1.28001,2.52782,366.983,45.8575,36.1041,0.124958,0.0983807
2018-09-28 12:36:13.719000+00:00,2018-09-30 00:00:00+00:00,BTC-5OCT18-6500-C,C,6500,2018-10-05 08:00:00+00:00,35.3962,0.293765,0.318245,0.4558,0.5687,0.1129,6597.33,6563.43,-0.513744,216.172,212.598,3.57461,-25.5761,3.05596,347.278,-22.0015,-32.0336,-0.0633542,-0.0922421
2018-10-05 12:35:23.151000+00:00,2018-10-07 00:00:00+00:00,BTC-12OCT18-6500-P,P,6500,2018-10-12 08:00:00+00:00,35.4102,0.293739,0.318218,0.4192,0.4729,0.0537,6536.43,6551.09,0.224389,131.625,124.641,6.98355,-9.55148,1.80631,353.97,-2.56793,-11.3868,-0.00725466,-0.0321688
2018-11-16 12:25:41.947000+00:00,2018-11-18 00:00:00+00:00,BTC-23NOV18-5500-P,P,5500,2018-11-23 08:00:00+00:00,35.5717,0.293449,0.31179,0.5787,0.8553,0.2766,5514.72,5501.27,-0.243915,166.665,226.145,-59.4795,8.98952,1.71396,300.217,-50.49,-58.1264,-0.168178,-0.193615
2018-11-23 12:20:52.611000+00:00,2018-11-25 00:00:00+00:00,BTC-30NOV18-4250-C,C,4250,2018-11-30 08:00:00+00:00,35.6521,0.293305,0.311637,0.7802,1.29,0.5098,4258.06,3776.19,-11.3166,185.14,80.6651,104.475,-209.265,2.3095,231.843,-104.79,-111.531,-0.451987,-0.481064
2018-11-30 12:33:23.591000+00:00,2018-12-02 00:00:00+00:00,BTC-7DEC18-3750-P,P,3750,2018-12-07 08:00:00+00:00,35.4434,0.29368,0.312035,1.1364,1.2011,0.0647,3909.81,4139.38,5.87163,165.908,84.3489,81.5589,-91.1394,1.3116,201.01,-9.58051,-15.0595,-0.0476618,-0.0749191
2018-12-07 12:42:33.563000+00:00,2018-12-09 00:00:00+00:00,BTC-14DEC18-3500-C,C,3500,2018-12-14 08:00:00+00:00,35.2907,0.293954,0.312326,1.1201,1.2008,0.0807,3362.91,3383.54,0.613394,148.122,146.274,1.84742,-12.5686,1.48436,180.483,-10.7212,-15.8031,-0.0594029,-0.0875603
2018-12-14 12:41:40.036000+00:00,2018-12-16 00:00:00+00:00,BTC-21DEC18-3250-P,P,3250,2018-12-21 08:00:00+00:00,35.3055,0.293928,0.312298,0.9139,0.8389,-0.075,3252.75,3185.76,-2.05968,160.72,164.758,-4.03748,32.6925,1.2227,177.128,28.655,23.9564,0.161775,0.135249
2018-12-28 12:39:13.261000+00:00,2018-12-30 00:00:00+00:00,BTC-4JAN19-3750-C,C,3750,2019-01-04 08:00:00+00:00,35.3463,0.293854,0.31222,0.8245,0.9945,0.17,3603.06,3712.46,3.03629,102.171,160.694,-58.5229,15.7495,1.67201,188.139,-42.7734,-48.2805,-0.227349,-0.256621
2019-01-25 12:22:27.204000+00:00,2019-01-27 00:00:00+00:00,BTC-1FEB19-3500-P,P,3500,2019-02-01 08:00:00+00:00,35.6258,0.293352,0.311687,0.6078,0.5892,-0.0186,3528.63,3549.96,0.604393,102.806,77.1333,25.6726,-14.7961,1.29104,190.747,10.8764,5.79866,0.0570201,0.0303998
2019-02-01 12:01:06.212000+00:00,2019-02-03 00:00:00+00:00,BTC-8FEB19-3500-C,C,3500,2019-02-08 08:00:00+00:00,35.9816,0.292716,0.31101,0.4491,0.4919,0.0428,3417.82,3464.72,1.37235,49.9471,66.151,-16.2039,15.2897,1.03611,175.112,-0.914204,-5.5419,-0.00522067,-0.0316477
2019-02-15 11:50:51.045000+00:00,2019-02-17 00:00:00+00:00,BTC-22FEB19-3625-C,C,3625,2019-02-22 08:00:00+00:00,36.1525,0.292411,0.310687,0.4549,0.4756,0.0207,3572.59,3585.92,0.373081,65.5779,64.6068,0.971135,3.04776,1.00006,191.042,4.01889,-0.794434,0.0210367,-0.00415843
2019-02-22 12:43:43.304000+00:00,2019-02-24 00:00:00+00:00,BTC-1MAR19-4000-C,C,4000,2019-03-01 08:00:00+00:00,35.2713,0.293989,0.312364,0.5502,0.5486,-0.0016,3940.65,4109.63,4.28811,91.8808,170.86,-78.9788,59.8941,1.71481,212.337,-19.0848,-25.066,-0.0898797,-0.118049
2019-03-01 12:29:14.511000+00:00,2019-03-03 00:00:00+00:00,BTC-8MAR19-3875-C,C,3875,2019-03-08 08:00:00+00:00,35.5126,0.293555,0.311903,0.494,0.461,-0.033,3806.7,3809.59,0.0760847,72.9603,56.6575,16.3029,-0.138743,1.13235,202.4,16.1641,10.9822,0.0798625,0.0542598
2019-03-22 12:37:46.963000+00:00,2019-03-24 00:00:00+00:00,BTC-29MAR19-4000-P,P,4000,2019-03-29 08:00:00+00:00,35.3703,0.293811,0.318295,0.3702,0.3946,0.0244,3982,3980.75,-0.0314302,89.9603,85.9408,4.0195,2.11892,1.25611,216.92,6.13841,0.602135,0.0282981,0.00277584
2019-03-29 12:43:18.071000+00:00,2019-03-31 00:00:00+00:00,BTC-5APR19-4125-C,C,4125,2019-04-05 08:00:00+00:00,35.2783,0.293977,0.318475,0.3882,0.4391,0.0509,4072.51,4100.48,0.686654,63.1109,75.3648,-12.254,2.82306,1.47593,217.244,-9.4309,-15.2529,-0.0434115,-0.0702108
