bucket,n,mean_abs_delta,mean_tau,beta_shock,t_shock
d0_t0,435,0.059500632162892225,2.217342925697716,25.604678102582543,1.0052133367288265
d0_t1,435,0.0611414585458618,15.275142889572466,32.30990738257679,1.545749770450538
d0_t2,435,0.0615505929375599,58.54644708697622,1.381737374461716,0.10984637051100646
d0_t3,435,0.06706383432646296,213.93961787275902,0.4753252458585451,0.026607972488965397
d1_t0,435,0.23534029424929648,2.2182527720767196,24.854485695830345,1.2747183812893763
d1_t2,435,0.23768154550387435,60.85693815433037,6.8210175937130355,0.4016460062686808
d1_t1,435,0.238538959043463,15.491611693951011,37.931000104206994,1.828750023381066
d1_t3,435,0.2449138562342238,236.2504902772925,-4.002493496155322,-0.18395613934923055
d2_t3,435,0.49719585474437133,240.94619575584431,-1.469252360979066,-0.06358528508228062
d2_t1,435,0.49828986170373435,15.548831891992814,40.15437677282122,2.066056792170659
d2_t0,433,0.49892816951088753,2.2215645254348804,24.540008896132267,1.2608037977969282
d2_t2,435,0.4991564541565465,61.26898264493527,6.251834532879802,0.3360257080515873
d3_t3,435,0.7993811445752416,215.24177430596697,-6.9834783941393,-0.31789114877802505
d3_t1,435,0.8236452264673864,14.776313416896643,37.043918009529364,1.9616421568581597
d3_t0,435,0.8336939134069391,2.292399653799848,22.129768976991127,1.0924720640599808
d3_t2,435,0.8366243881906537,57.12921256524664,-0.9206517088572141,-0.06015458462098195
