currency,year,n,wknd_frac_mean,eff_time_frac,vol_cut_pct,vol_cut_points,elasticity,price_cut_pct,price_cut_pct_mean,price_gap_pct,tv_usd_m,tv_flat_usd_m,tv_fair_usd_m,discount_usd_m,gap_usd_m,prem_paid_usd_m,implied_ratio,implied_ratio_se,realized_ratio,usable
BTC,2018,67153,0.14581512713277978,1.1381418976976714,6.540677263082686,5.925872969418987,1.851214320352513,12.719802481235988,12.719802481235993,18.115423128481932,8.032312940597548,7.125911121015897,6.800392978197498,-0.9064018195816511,1.2319199624000507,16.04008172526787,1.947377,0.501443,0.667869,False
BTC,2019,250970,0.17263831224909548,1.0978113432943455,4.728399441426524,3.761879602736316,1.858170588182025,8.967786726217719,8.96778672621771,12.136730870845902,77.0743664046263,70.73133145144645,68.7324891728805,-6.343034953179866,8.341877231745809,112.4140979549157,1.566568,0.33229,0.824137,True
BTC,2020,801712,0.1937205692178487,0.9818272671222427,-0.9162336181908017,-0.6797068665453595,1.8493734849396337,-1.66621234560842,-1.666212345608408,7.610315322230421,317.92968885451864,323.3168338556518,295.44536497500616,5.387145001133144,22.484323879512488,436.02058629692914,0.906191,0.135355,0.520764,True
BTC,2021,1581898,0.2097895203531757,0.9855392083620556,-0.7278284319775479,-0.7261640728360887,1.8047223908963206,-1.3022151706836516,-1.302215170683653,4.812035656170233,1779.4506891789417,1802.9287002299457,1697.7541539373647,23.478011051003932,81.69653524157715,2256.3555180128774,0.93107,0.040705,0.694181,True
BTC,2022,1663600,0.2130753040369741,0.8885055771837007,-5.924587610601964,-5.042291962069244,1.764193452015178,-10.046037178450895,-10.0460371784509,-0.54509699184907,834.5773163100366,927.782712547832,839.1515059258949,93.20539623779536,-4.574189615858197,1072.2118874728096,0.476737,0.148346,0.501714,True
BTC,2023,2189407,0.2173290479482748,0.9087559205222526,-4.795803729012081,-2.654429635804458,1.7513881306654449,-8.06044991888446,-8.060449918884474,3.9238412593988636,661.6763984293744,719.6863567916059,636.6935540592641,58.009958362231494,24.982844370110392,855.659492631603,0.580157,0.056274,0.405396,True
BTC,2024,2959107,0.21162639805590203,0.8954730662194327,-5.530311603473893,-3.545599820839527,1.724114570816296,-9.201253771728446,-9.20125377172844,2.6843719920460307,1841.7469895763734,2028.3837234339671,1793.6000910820546,186.63673385759378,48.14689849431873,2352.734210980386,0.506078,0.049758,0.383029,True
BTC,2025,2797717,0.23305999751600567,0.865796362450366,-7.2145371807906855,-3.791393266862189,1.7593770856652378,-11.975550265396206,-11.975550265396198,0.8449438442842849,1892.6453860522672,2150.136003983719,1876.7875848835024,257.49061793145154,15.85780116876483,2413.424048986982,0.424167,0.043183,0.389859,True
BTC,2026,1257473,0.26404105615864354,0.8139841321004603,-10.332154568466692,-6.319630274186337,1.7513636119357325,-16.762484019608024,-16.762484019608017,-6.472713935753949,761.8271944420751,915.2449895567962,814.5507332681058,153.41779511472106,-52.72353882603061,922.1774415026763,0.295504,0.169852,0.530352,True
ETH,2019,37398,0.17750107653135808,1.1238428560980815,5.945279038515086,5.502797684051955,1.8530021578365035,11.260202891577586,11.260202891577583,17.473940429615965,3.4908614518841135,3.1375652400040446,2.9716049696789124,-0.35329621188006877,0.5192564822052009,6.18180487668248,1.697702,0.310321,0.679531,True
