weekend_sat,px_open,px_close,px_high,px_low,ret_pct,range_pct,rv_vol_ann,wd_vol_ann,vol_ratio,iv_weekend,iv_weekday,iv_minus_rv,iv_wknd_ratio
2018-08-18 00:00:00+00:00,6559.5,6490.5,6603,6301.5,-1.05191,4.78458,0.506923,0.793207,0.639081,,0.677811,,
2018-08-25 00:00:00+00:00,6705,6703,6777,6585,-0.0298285,2.91572,0.352805,0.719051,0.490654,,0.617654,,
2018-09-01 00:00:00+00:00,7026.5,7285,7324.5,7025.5,3.67893,4.25592,0.377897,0.40845,0.925198,,0.608279,,
2018-09-08 00:00:00+00:00,6414.5,6235.5,6452.5,6109,-2.79055,5.62285,0.725813,0.675329,1.07475,,0.629172,,
2018-09-15 00:00:00+00:00,6487.5,6497.5,6555,6413,0.154143,2.21425,0.285998,0.393359,0.727066,,0.60525,,
2018-09-22 00:00:00+00:00,6788.5,6702.5,6802,6639,-1.26685,2.45519,0.322417,0.508152,0.63449,,0.550997,,
2018-09-29 00:00:00+00:00,6610.5,6602.5,6638.5,6470,-0.12102,2.60433,0.383214,0.40737,0.940703,,0.529234,,
2018-10-06 00:00:00+00:00,6591,6568.5,6591,6499.5,-0.341375,1.4078,0.169304,0.274302,0.617218,,0.512711,,
2018-10-13 00:00:00+00:00,6182,6178.5,6258,6169.5,-0.056616,1.43448,0.164535,0.458656,0.358732,,0.427567,,
2018-10-20 00:00:00+00:00,6377.5,6414,6449,6367.5,0.572325,1.27994,0.123502,0.628228,0.196587,,0.554255,,
2018-10-27 00:00:00+00:00,6412.5,6409,6423,6392,-0.0545809,0.484981,0.0646854,0.15048,0.429861,,0.474681,,
2018-11-03 00:00:00+00:00,6350.5,6428,6450.5,6322.5,1.22038,2.02452,0.155502,0.235637,0.659923,,0.397813,,
2018-11-10 00:00:00+00:00,6335.5,6361.5,6375,6295,0.410386,1.27085,0.112171,0.183048,0.612798,,0.371722,,
2018-11-17 00:00:00+00:00,5493,5554.5,5583,5447.5,1.11961,2.48738,0.295449,0.983243,0.300484,,1.0125,,
2018-11-24 00:00:00+00:00,4294,3929,4361.5,3446.5,-8.50023,26.5487,1.8236,1.46414,1.2455,,1.36151,,
