subsample,start,end,n,beta,t
pre-2020-03-12,2016-12-22,2020-03-11,0,,
from 2020-03-12,2020-03-12,2021-05-18,4443,9.898039317583128e-05,3.5765398667593846
from 2021-05-19,2021-05-19,2022-05-08,5677,0.00011913638222037341,2.1993822234891485
from 2022-05-09,2022-05-09,2022-11-07,2928,2.4323729787558978e-05,0.795226041935806
from 2022-11-08,2022-11-08,2024-01-10,6861,8.467980952069189e-05,1.6513195279074646
from 2024-01-11,2024-01-11,2026-08-13,15136,3.1335690402742155e-05,1.409693564123315
