entry_ts,exit_ts,bucket,instrument,cp,strike,expiry,T_days,wknd_frac,abs_delta,log_moneyness,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,vega_usd,gamma_per_vega,volga_per_vega,vanna_per_vega,perp_fees,option_fees,half_spread_volpts,spread_cost,total_cost,term_gamma,term_theta,term_vega,term_volga,term_vanna,gross_usd,net_usd,gross_per_vega,net_per_vega,cost_per_vega
2025-08-08 11:06:59.199000+00:00,2025-08-10 00:00:00+00:00,OTM,XRP_USDC-15AUG25-3d1-P,P,3.1,2025-08-15 08:00:00+00:00,6.83333,0.291115,0.226297,-0.0672063,3.3155,3.2274,-2.65722,0.6965,0.756,0.0595,0.0432414,0.06261,-0.0193685,0.00985003,0.136317,76.6901,0.710771,-6.89994,0.00136458,0.00196287,0.243856,0.000664836,0.00399229,-0.0270747,0.0783213,-0.0595,-0.00125815,-0.0109091,-0.00951851,-0.0135108,-0.0698263,-0.0991131,0.0292868
2026-01-09 13:30:02.519000+00:00,2026-01-11 00:00:00+00:00,ATM,XRP_USDC-23JAN26-2d05-C,C,2.05,2026-01-23 08:00:00+00:00,13.8333,0.29047,0.606103,-0.0264757,2.105,2.0877,-0.821853,0.6668,0.6272,-0.0396,0.137238,0.115138,0.0220995,-0.015474,0.157682,39.5704,0.0560662,-1.07117,0.00105509,0.00125781,0.478539,0.00150914,0.00382204,-0.00133638,0.0346448,0.0396,-4.39603e-05,0.000348615,0.00662546,0.00280342,0.0420178,0.017779,0.0242389
2026-01-23 13:33:54.045000+00:00,2026-01-25 00:00:00+00:00,OTM,XRP_USDC-30JAN26-2-C,C,2,2026-01-30 08:00:00+00:00,6.83333,0.295503,0.285949,0.0481928,1.9059,1.907,0.0577155,0.5849,0.5796,-0.00530003,0.02625,0.0202262,0.00602378,-0.000600979,0.0888287,91.3227,0.617246,8.02453,0.000677394,0.00114387,0.243856,0.000433229,0.00225449,-1.52102e-05,0.0614056,0.00530003,-8.66931e-06,2.45465e-05,0.0054228,0.00316831,0.0610478,0.0356676,0.0253802
2026-02-13 10:18:46.797000+00:00,2026-02-15 00:00:00+00:00,deep OTM,XRP_USDC-20FEB26-1d6-C,C,1.6,2026-02-20 08:00:00+00:00,6.83333,0.289703,0.0979463,0.157093,1.3674,1.5196,11.1306,0.8452,0.75,-0.0952,0.00686157,0.0250681,-0.0182065,0.0235845,0.0320386,63.1976,2.17924,12.2462,0.000415635,0.0008661,-0.242454,-0.000155357,0.00112638,-0.391479,0.097113,0.0952,-0.00987526,0.129765,0.00537801,0.00425163,0.16786,0.132703,0.0351569
2026-03-13 13:20:09.321000+00:00,2026-03-15 00:00:00+00:00,OTM,XRP_USDC-20MAR26-1d6-C,C,1.6,2026-03-20 08:00:00+00:00,6.83333,0.295087,0.190593,0.103557,1.4426,1.4059,-2.54402,0.816,0.7416,-0.0743999,0.0161782,0.0044816,0.0116966,-0.00694425,0.0538556,65.4591,1.05043,8.80726,0.000295985,0.00085455,0.243856,0.000262661,0.0014132,-0.0211827,0.0862375,0.0743999,-0.00290726,-0.0166699,0.00475238,0.00333919,0.0882431,0.0620026,0.0262405
