weekend_sat,px_open,px_close,px_high,px_low,ret_pct,range_pct,rv_vol_ann,wd_vol_ann,vol_ratio,iv_weekend,iv_weekday,iv_minus_rv,iv_wknd_ratio
2019-03-23 00:00:00+00:00,135.4,135.59,137.59,134.59,0.140325,2.22899,0.289785,,,,,,
2019-03-30 00:00:00+00:00,142.97,141.21,145.22,140.3,-1.23103,3.50677,0.384973,0.373681,1.03022,,0.53795,,
2019-04-06 00:00:00+00:00,165.53,175.07,176.67,158.9,5.76331,11.1831,0.973551,1.47231,0.661238,,0.753221,,
2019-04-13 00:00:00+00:00,164.23,168.25,169.18,162.1,2.44779,4.36767,0.41121,0.986589,0.416799,,0.925662,,
2019-04-20 00:00:00+00:00,173.95,169.78,177.41,166.9,-2.39724,6.29718,0.472863,0.606635,0.779485,,0.680686,,
2019-04-27 00:00:00+00:00,153.58,153.53,157.99,152.58,-0.0325563,3.54568,0.407651,0.81938,0.497511,,0.741239,,
2019-05-04 00:00:00+00:00,165.36,161.38,168.22,157.46,-2.40687,6.83348,0.604399,0.569684,1.06094,,0.680285,,
2019-05-11 00:00:00+00:00,172.52,188.33,206.72,172.52,9.16415,19.8238,1.55954,0.859945,1.81353,,0.869117,,
2019-05-18 00:00:00+00:00,246.77,261.16,265,232.31,5.83134,14.0717,1.16713,1.98056,0.58929,,1.31922,,
2019-05-25 00:00:00+00:00,249.97,268.73,271.32,246.43,7.5049,10.1002,0.744101,1.00158,0.742925,,1.04415,,
2019-06-01 00:00:00+00:00,268.31,269.35,274.68,262.71,0.387611,4.55635,0.753701,1.04949,0.718159,,1.10346,,
2019-06-08 00:00:00+00:00,249,231.25,250.95,226.95,-7.12851,10.575,0.592026,0.885512,0.66857,,1.02619,,
2019-06-15 00:00:00+00:00,264.45,268.5,279.5,262.25,1.53148,6.57769,0.668303,0.694753,0.961929,,0.775435,,
2019-06-22 00:00:00+00:00,294.5,307.05,319.3,294.5,4.26146,8.42105,1.00129,0.586708,1.70662,,0.948962,,
2019-06-29 00:00:00+00:00,308.4,290.25,323.85,287.65,-5.88521,12.5847,1.10477,1.57485,0.701507,,1.09069,,
2019-07-06 00:00:00+00:00,290.25,306.5,310.9,284.9,5.59862,9.12601,0.759047,1.01908,0.744834,,1.06502,,
2019-07-13 00:00:00+00:00,275.25,225.75,275.7,223.6,-17.9837,23.3005,1.73544,1.01251,1.714,,0.955941,,
2019-07-20 00:00:00+00:00,223.15,225.4,234.9,218.05,1.00829,7.72759,0.794413,1.73103,0.458925,,1.42597,,
2019-07-27 00:00:00+00:00,219,211.4,223.7,198.85,-3.47032,12.4969,1.122,0.916095,1.22476,,1.21728,,
2019-08-03 00:00:00+00:00,217.85,222.85,224.15,216.8,2.29516,3.39022,0.475652,0.567974,0.837455,,1.09638,,
2019-08-10 00:00:00+00:00,211.5,216.3,216.5,202.15,2.2695,7.09869,0.817394,0.708648,1.15346,,0.968538,,
2019-08-17 00:00:00+00:00,185.15,194.45,197.95,181.9,5.02295,8.82353,0.609562,0.965238,0.631515,,0.85581,,
