fri,entry_ts,instrument,cp,strike,expiry,T_days,wknd_frac,abs_delta,iv_in,iv_out,iv_change,index_move_pct,vega_usd,gamma_per_vega,theta_per_vega,volga_per_vega,vanna_per_vega,charm_per_day,vega_traded_in_window,net_per_vega,gross_per_vega
2018-09-28,2018-09-28 11:51:42.163000+00:00,BTC-5OCT18-6750-C,C,6750,2018-10-05 08:00:00+00:00,6.83333,0.292436,0.399373,0.4472,0.4985,0.0513,-0.865527,350.478,119.442,-0.032722,0.180427,5.16911,-0.00893725,350.637,-0.0641206,-0.0371219
2018-09-28,2018-09-28 12:22:34.537000+00:00,BTC-5OCT18-6500-C,C,6500,2018-10-05 08:00:00+00:00,6.83333,0.293356,0.604758,0.509,0.5687,0.0597,-0.633057,348.071,104.94,-0.0372439,0.102122,-2.8116,0.00551806,2430.77,-0.00554491,0.0233222
2018-09-28,2018-09-28 11:20:38.920000+00:00,BTC-5OCT18-6750-P,P,6750,2018-10-05 08:00:00+00:00,6.83333,0.291517,0.58812,0.4542,0.4632,0.00900002,-1.3588,353.747,117.602,-0.0332341,0.140314,4.59282,-0.00812677,354.499,-0.0979528,-0.0685135
2018-10-05,2018-10-05 11:47:55.312000+00:00,BTC-12OCT18-6500-P,P,6500,2018-10-12 08:00:00+00:00,6.83333,0.292324,0.444904,0.4044,0.4729,0.0685,0.169331,353.58,132.084,-0.0295902,0.0285373,-1.50482,0.00240737,1060.48,-0.04298,-0.0173265
2018-11-16,2018-11-16 12:25:05.491000+00:00,BTC-23NOV18-5500-P,P,5500,2018-11-23 08:00:00+00:00,6.83333,0.293431,0.471358,0.5776,0.8553,0.2777,-0.232349,300.214,92.4769,-0.0422634,-0.000891442,0.0906564,-0.000208603,599.656,-0.193732,-0.168293
2018-11-23,2018-11-23 11:51:01.517000+00:00,BTC-30NOV18-4250-C,C,4250,2018-11-30 08:00:00+00:00,6.83333,0.292416,0.553717,0.7721,1.29,0.5179,-11.9172,231.889,69.181,-0.0564951,0.00514784,-0.278545,0.000851187,463.593,-0.491048,-0.462015
2018-11-23,2018-11-23 11:50:58.005000+00:00,BTC-30NOV18-4500-C,C,4500,2018-11-30 08:00:00+00:00,6.83333,0.292414,0.362753,0.8632,1.3985,0.5353,-10.586,220.009,61.8798,-0.063161,0.191062,3.9746,-0.0128831,220.126,-0.383772,-0.356887
2018-11-30,2018-11-30 11:52:12.962000+00:00,BTC-7DEC18-3750-P,P,3750,2018-12-07 08:00:00+00:00,6.83333,0.292452,0.356455,1.1673,1.2011,0.0338,5.41814,200.303,45.7591,-0.0854122,0.0656784,-1.30427,0.00568271,1001.97,0.0121334,0.0390257
2018-11-30,2018-11-30 11:33:38.025000+00:00,BTC-7DEC18-4000-C,C,4000,2018-12-07 08:00:00+00:00,6.83333,0.291901,0.489267,1.0308,1.0566,0.0258,4.78333,215.277,51.8186,-0.0754244,0.00442673,1.19238,-0.00490734,215.567,0.012794,0.0405538
2018-11-30,2018-11-30 11:33:16.075000+00:00,BTC-7DEC18-4000-P,P,4000,2018-12-07 08:00:00+00:00,6.83333,0.29189,0.507281,1.0709,1.0823,0.0114001,4.7809,215.391,49.8783,-0.0783585,0.00284673,1.12609,-0.00481577,215.684,-0.0176231,0.0101382
2018-12-07,2018-12-07 12:16:06.504000+00:00,BTC-14DEC18-3250-P,P,3250,2018-12-14 08:00:00+00:00,6.83333,0.293163,0.383119,1.3104,1.2633,-0.0470999,0.833671,176.175,40.7621,-0.0958829,0.026741,-0.657592,0.00329304,702.636,0.102738,0.13044
2018-12-07,2018-12-07 11:25:29.409000+00:00,BTC-14DEC18-3500-C,C,3500,2018-12-14 08:00:00+00:00,6.83333,0.29166,0.437227,1.0846,1.2008,0.1162,0.0697837,182.259,49.2482,-0.079361,0.0448673,2.06832,-0.00884804,1464.85,-0.0266384,0.00014248
2018-12-14,2018-12-14 11:58:02.623000+00:00,BTC-21DEC18-3250-P,P,3250,2018-12-21 08:00:00+00:00,6.83333,0.292625,0.486029,0.9825,0.8389,-0.1436,-1.55153,176.529,54.366,-0.0718902,-0.00354316,0.739525,-0.00290026,1059.95,0.236779,0.262822
2018-12-21,2018-12-21 11:55:28.174000+00:00,BTC-28DEC18-4250-C,C,4250,2018-12-28 08:00:00+00:00,6.83333,0.292548,0.368446,1.0558,0.9971,-0.0587,-1.19017,206.692,50.5916,-0.0772537,0.152967,3.32646,-0.0132573,1458.07,0.0819639,0.108896
2018-12-21,2018-12-21 12:36:48.495000+00:00,BTC-28DEC18-4000-C,C,4000,2018-12-28 08:00:00+00:00,6.83333,0.293782,0.577198,0.9532,1.0366,0.0834,-2.75866,217.894,56.0372,-0.0697463,0.0131048,-0.492146,0.00183853,1524.38,-0.0243243,0.00457335
2018-12-28,2018-12-28 11:54:03.372000+00:00,BTC-4JAN19-3750-C,C,3750,2019-01-04 08:00:00+00:00,6.83333,0.292506,0.390305,0.7826,0.9945,0.2119,2.58377,190.022,68.2528,-0.0572634,0.137335,3.60218,-0.0108308,3588.64,-0.253311,-0.224409
2018-12-28,2018-12-28 11:51:21.813000+00:00,BTC-4JAN19-3500-P,P,3500,2019-01-04 08:00:00+00:00,6.83333,0.292426,0.370782,0.913,1.0859,0.1729,3.50501,187.08,58.5045,-0.0668049,0.0740493,-1.64061,0.00566585,2439.1,-0.179968,-0.15244
2018-12-28,2018-12-28 11:50:56.240000+00:00,BTC-4JAN19-3500-C,C,3500,2019-01-04 08:00:00+00:00,6.83333,0.292414,0.643753,0.7706,0.9446,0.174,2.65201,184.547,69.3156,-0.0563854,0.125901,-2.49615,0.0071781,184.64,-0.186205,-0.155488
2019-01-04,2019-01-04 12:10:48.958000+00:00,BTC-11JAN19-3750-P,P,3750,2019-01-11 08:00:00+00:00,6.83333,0.293005,0.454742,0.7017,0.7466,0.0449001,0.455563,204.665,76.1218,-0.0513439,0.00286261,-0.184037,0.000512469,818.46,-0.000142239,0.0259513
2019-01-11,2019-01-11 12:21:29.740000+00:00,BTC-18JAN19-3750-P,P,3750,2019-01-18 08:00:00+00:00,6.83333,0.293324,0.614319,0.7222,0.7272,0.005,-0.402896,189.782,73.961,-0.0528439,0.156288,3.93645,-0.0108867,567.601,0.0410683,0.0680037
2019-01-18,2019-01-18 12:04:38.925000+00:00,BTC-25JAN19-3500-C,C,3500,2019-01-25 08:00:00+00:00,6.83333,0.292821,0.649321,0.5828,0.7173,0.1345,2.32299,182.441,91.6517,-0.0426439,0.199782,-3.80817,0.00823628,551.283,-0.142643,-0.113215
2019-01-25,2019-01-25 12:03:09.961000+00:00,BTC-1FEB19-3500-C,C,3500,2019-02-01 08:00:00+00:00,6.83333,0.292777,0.552298,0.502,0.4967,-0.00530003,0.658224,190.674,106.404,-0.0367317,0.0164378,-0.913875,0.00181658,190.643,0.0143083,0.0420475
2019-01-25,2019-01-25 12:22:27.204000+00:00,BTC-1FEB19-3500-P,P,3500,2019-02-01 08:00:00+00:00,6.83333,0.293352,0.444487,0.6078,0.5892,-0.0186,0.604393,190.747,87.8819,-0.0444732,0.0129426,-0.677889,0.0016297,381.776,0.0303998,0.0570201
