entry_hour,exit,n,gross_per_vega,net_per_vega,t,sharpe_ann,hit_rate,worst,cost_per_vega
8,sat_00,117,0.0606130047868024,0.025920742101605974,2.5326931892817646,1.6884621261878427,0.5982905982905983,-0.31545174381957874,0.03469226268519642
8,sun_00,117,0.0685476331193798,0.0231835095085297,2.0527206769458544,1.3684804512972362,0.5811965811965812,-0.33650353483249007,0.04536412361085009
8,mon_00,117,0.07470529511624723,0.01594899966824436,1.3160369847228157,0.8773579898152104,0.5128205128205128,-0.34176250843697503,0.05875629544800285
8,expiry,117,0.07470529511624723,0.01594899966824436,1.3160369847228157,0.8773579898152104,0.5128205128205128,-0.34176250843697503,0.05875629544800285
12,sat_00,122,0.0660720227890883,0.03291543703951023,3.22220003243468,2.103653727328051,0.6311475409836066,-0.3662671705445531,0.03315658574957808
12,sun_00,122,0.06860730080100294,0.023252890330514392,2.039455185578916,1.3314839115124308,0.5245901639344263,-0.3770224440311051,0.04535441047048854
12,mon_00,122,0.07412655752844513,0.01537921429673287,1.2282696124931551,0.8018912303630816,0.48360655737704916,-0.43737910936812213,0.058747343231712254
12,expiry,122,0.07412655752844513,0.01537921429673287,1.2282696124931551,0.8018912303630816,0.48360655737704916,-0.43737910936812213,0.058747343231712254
16,sat_00,123,0.06944029669520449,0.03991511929420819,4.437770193945929,2.8854524708972886,0.7317073170731707,-0.3150584345864926,0.02952517740099631
16,sun_00,123,0.07186533749475868,0.026424203323734692,2.368456071919159,1.539977765016755,0.5528455284552846,-0.37516110667369107,0.04544113417102398
16,mon_00,123,0.07331112084646842,0.011281156267234188,0.9266566008000742,0.6025151059195282,0.5528455284552846,-0.48613922114278196,0.06202996457923422
16,expiry,123,0.0738067957142701,0.011754419513306897,0.9666768971443037,0.6285364314784844,0.5528455284552846,-0.48613922114278196,0.06205237620096322
