asset,bucket,median_signal,n,mean,t,sharpe,recent_n,recent_mean,recent_t,recent_sharpe
BTC,all,1.4825383211224656,1231,0.03914851999912315,3.325730332410708,1.504728945762954,207,0.004172334134175906,0.19224049145255895,0.21210942453999282
BTC,rich (top third),2.4890539881638176,411,0.0710669631785299,3.478903732915404,2.7240919994793975,48,0.05194723885958987,1.1757343250053287,2.6939457707473653
BTC,middle,1.4818420103083034,410,0.06536998289689107,3.2334734982361963,2.5349981563838724,73,0.06504628292360806,1.8720610595010425,3.4782344321529384
BTC,cheap (bottom third),0.8740569477230339,410,-0.019069235939464732,-0.9410294552568108,-0.7377539774116558,86,-0.07416480177801502,-2.1840341839057342,-3.7386126946790728
ETH,all,1.3207679830889263,1212,0.038732587338992035,2.4286810770430405,1.1074380712798606,209,-0.001162304178465684,-0.04014319187810689,-0.04407974044771099
ETH,rich (top third),2.0733941172269885,404,0.08696770530302673,3.256430179047613,2.5718838940151745,42,0.00692956193558891,0.10491897574048178,0.25699795489962723
ETH,middle,1.3207679830889263,404,0.037021450362887974,1.4323239571313668,1.1312298172582382,74,0.009145808478652297,0.15981168866339934,0.2949123440550831
ETH,cheap (bottom third),0.8195328816183067,404,-0.007791393648938591,-0.25965932070300346,-0.2050753703069681,93,-0.013018849484025078,-0.3595682674751925,-0.5918888429292897
