currency,n,iv_exchange_mean,iv_inverted_mean,iv_diff_med_pts,iv_diff_p10_pts,iv_diff_p90_pts,share_inverted,price_cut_pct_exchange_iv,price_cut_pct_inverted_iv
BTC,39975,0.7721580260199856,0.7740665520727785,0.0009921845098737059,-0.9536775210655457,0.986901801551607,0.999375,-6.878486500222802,-6.873957683386611
ETH,31990,0.8234954327326636,0.8239904100367992,6.99051402264228e-05,-1.018266926812117,0.9732602371075072,0.9996875,-6.723399742724645,-6.714660181196342
SOL,12000,0.8344533751106261,0.8344571844140992,0.000398899848086387,-0.0369469569812797,0.035263394888976916,1.0,-8.149723880868676,-8.150012547799312
XRP,12000,0.9330050912380219,0.933052141134354,0.0007344056696834134,-0.01588578964069498,0.022232034131171037,1.0,-9.020043251582532,-9.02045286514167
