currency,var_weekday,var_weekend,variance_ratio,vol_ratio,n_weekday,n_weekend,n,n_days,slope,se,t,v_weekday_implied,implied_ratio,gap,diff,se_diff
BTC,0.0014183617224635,0.0008283621778707,0.5840274485354562,0.7642168857958166,2089,834,5339133,3413,-0.1611771271210928,0.0149474129953244,-10.782944658818796,0.4416133036169431,0.6350265587539944,0.0509991102185382,-0.0005899995445927,0.0001109076779284
ETH,0.0022519022132461,0.001366908080889,0.6070015264644304,0.7791030268612942,1932,772,3624938,2703,-0.2461023523869429,0.0276563945438487,-8.898569623627239,0.6940398688880015,0.6454060300869302,0.0384045036224998,-0.0008849941323571,0.0001668163715166
SOL,0.0024057923651423,0.0015802577954832,0.6568554370608585,0.8104661850199911,655,260,189906,886,-0.3568397610744599,0.0243397971792322,-14.66075326950265,0.80803799363764,0.5583873977657506,-0.0984680392951078,-0.0008255345696591,0.0002558575808303
XRP,0.0025516297771038246,0.0015838703467094316,0.620728900768344,0.7878635038941352,634,253,70128,885,-0.5513321647209404,0.06913832915757813,-7.974334518040777,1.0758703488203731,0.487547765095076,-0.13318113567326795,-0.000967759430394393,0.0003397037224252841
