asset,exit,rehedge,n,gross_per_vega,net_per_vega,t,hit_rate
BTC,sat_00,5,275,0.015095619518110594,-0.048381501227401445,-5.529831788550389,0.36
BTC,sat_00,30,275,0.019425273157892834,-0.026869767063231163,-2.83246044869833,0.4727272727272727
BTC,sat_00,60,275,0.02623342959143257,-0.016568096145189847,-1.9341931267891854,0.5163636363636364
BTC,sat_00,240,275,0.029665519101049108,-0.00912504862216857,-0.9468110635980416,0.5527272727272727
BTC,sun_00,5,227,0.06578218905147247,-0.036274832306166564,-3.396887366812257,0.43171806167400884
BTC,sun_00,30,227,0.0797686425826225,0.019760741128450606,1.7640989455709504,0.5814977973568282
BTC,sun_00,60,227,0.09385302727735406,0.042693266315827476,3.913917329823989,0.6431718061674009
BTC,sun_00,240,227,0.11006682398113354,0.06862133247511543,5.25863393973404,0.6872246696035242
ETH,sat_00,5,185,0.018181149944319124,-0.05719420660071421,-5.094400346481471,0.31351351351351353
ETH,sat_00,30,185,0.026409859818627063,-0.028750175336910443,-2.4721793379694055,0.44324324324324327
ETH,sat_00,60,185,0.0272197233102155,-0.024093361692738468,-2.006941016421339,0.4972972972972973
ETH,sat_00,240,185,0.03155614153817565,-0.015080388708468036,-1.1122169303449594,0.5513513513513514
ETH,sun_00,5,158,0.0691784343212438,-0.05667984014314323,-3.7931431490536656,0.37341772151898733
ETH,sun_00,30,158,0.09123256324140679,0.01790904370966609,1.167207387680621,0.6075949367088608
ETH,sun_00,60,158,0.10056706459360248,0.03769173362417874,2.3977124264784746,0.6329113924050633
ETH,sun_00,240,158,0.12521928952634054,0.07429177043255596,4.217661025934828,0.7025316455696202
