currency,T_days_friday,wknd_frac_friday,wknd_frac_monday,eff_days_friday,eff_days_monday,decay_flat_pct,decay_clock_pct,premium_saved_pct,friday_markdown_pct
BTC,4.0,0.5,0.0,3.270053117507989,1.0,-49.992438319024934,-44.693994521043464,5.2984437979814665,-9.583559051630585
BTC,5.0,0.4,0.0,4.270053117507989,2.0,-36.744882328489005,-31.554003137604102,5.190879190884901,-7.5873047951961485
BTC,7.0,0.2857142857142857,0.0,6.270053117507989,4.0,-24.39567459435954,-20.118892843234725,4.276781751124814,-5.357415825131195
BTC,10.0,0.4,0.2857142857142857,8.540106235015978,6.270053117507989,-16.321347296035306,-14.305359968595443,2.015987327439861,-7.5873047951961485
BTC,14.0,0.2857142857142857,0.18181818181818182,12.540106235015978,10.270053117507988,-11.34607393581164,-9.492323804767677,1.853750131043963,-5.357415825131195
BTC,30.0,0.3111111111111111,0.2716049382716049,26.593581215037283,24.323528097529294,-5.117337954251955,-4.352302233932481,0.7650357203194735,-5.84838253285771
BTC,60.0,0.3,0.2807017543859649,53.4304780575719,51.16042494006391,-2.517349389567314,-2.136186057985201,0.3811633315821128,-5.63327028946069
ETH,4.0,0.5,0.0,3.2908120601738604,1.0,-49.98811622667011,-44.86501352610953,5.123102700560578,-9.297022372831377
ETH,5.0,0.4,0.0,4.29081206017386,2.0,-36.739415833161935,-31.715197283951845,5.024218549210091,-7.362944129534643
ETH,7.0,0.2857142857142857,0.0,6.29081206017386,4.0,-24.38914223829407,-20.245455718668147,4.143686519625922,-5.2008735711296605
ETH,10.0,0.4,0.2857142857142857,8.58162412034772,6.29081206017386,-16.314119552904195,-14.365769951077588,1.9483496018266044,-7.362944129534643
ETH,14.0,0.2857142857142857,0.18181818181818182,12.58162412034772,10.29081206017386,-11.338419631236619,-9.544446319275313,1.7939733119613055,-5.2008735711296605
ETH,30.0,0.3111111111111111,0.2716049382716049,26.69045628081135,24.39964422063749,-5.109159462325497,-4.3703770509323725,0.7387824113931241,-5.677050723217681
ETH,60.0,0.3,0.2807017543859649,53.61730854156474,51.32649648139088,-2.5089729470743505,-2.1418802806640325,0.367092666410318,-5.468428076854714
SOL,4.0,0.5,0.0,3.1167747955315015,1.0,-49.98616437146812,-43.345804909877515,6.640359461590606,-11.72805095145597
SOL,5.0,0.4,0.0,4.1167747955315015,2.0,-36.73694724868357,-30.28580418980873,6.451143058874842,-9.261091085119377
SOL,7.0,0.2857142857142857,0.0,6.1167747955315015,4.0,-24.386192525207917,-19.117695507761535,5.268497017446383,-6.521394384050927
SOL,10.0,0.4,0.2857142857142857,8.233549591063003,6.1167747955315015,-16.310856162800224,-13.79103202955283,2.5198241332473947,-9.261091085119377
SOL,14.0,0.2857142857142857,0.18181818181818182,12.233549591063003,10.116774795531501,-11.334964108077672,-9.044382606765511,2.290581501312161,-6.521394384050927
SOL,30.0,0.3111111111111111,0.2716049382716049,25.878282379147006,23.761507583615504,-5.105469277006646,-4.1584309511480955,0.9470383258585513,-7.123231503339134
SOL,60.0,0.3,0.2807017543859649,52.05097315978351,49.93419836425201,-2.50519725720868,-2.035417081956825,0.4697801752518549,-6.859449253844052
XRP,4.0,0.5,0.0,2.975095530190152,1.0,-49.98157869461322,-42.00976480229709,7.971813892316126,-13.757673816881654
XRP,5.0,0.4,0.0,3.975095530190152,2.0,-36.73114777355996,-29.05095888227519,7.680188891284767,-10.83615609239189
XRP,7.0,0.2857142857142857,0.0,5.975095530190152,4.0,-24.379263212601355,-18.16051911949178,6.218744093109574,-7.610331976922325
XRP,10.0,0.4,0.2857142857142857,7.950191060380304,5.975095530190152,-16.303190779413757,-13.286059898322545,3.0171308810912123,-10.83615609239189
XRP,14.0,0.2857142857142857,0.18181818181818182,11.950191060380304,9.975095530190153,-11.32684855704964,-8.614699891892597,2.7121486651570437,-7.610331976922325
XRP,30.0,0.3111111111111111,0.2716049382716049,25.217112474220713,23.24201694403056,-5.0968074540208015,-3.9727864769696586,1.1240209770511433,-8.317372648502431
XRP,60.0,0.3,0.2807017543859649,50.77585977171137,48.800764241521215,-2.496344058695177,-1.940538779562162,0.5558052791330148,-8.007373690685249
