spec,n,beta,t,p,r2
"levels, no controls",803,1.4108309663013748e-05,0.06912104669857153,0.9448932682499087,2.3079060191499856e-05
"levels, with controls",435,-0.0002901897558708178,-1.6448122950608424,0.10000852587182572,0.26950284805516533
