currency,bucket,n,wknd_frac_mean,eff_time_frac,vol_cut_pct,vol_cut_points,elasticity,price_cut_pct,price_cut_pct_mean,price_gap_pct,tv_usd_m,tv_flat_usd_m,tv_fair_usd_m,discount_usd_m,gap_usd_m,prem_paid_usd_m
BTC,far wing,3095387,0.25868442135859726,0.8779881297687399,-6.524193756100808,-5.711067368001658,4.215054760853858,-22.658498014769847,-22.658498014769847,-3.1237135234880364,347.4282667819511,449.21323980532367,358.63086769555974,101.78497302337259,-11.20260091360867,944.1212317372563
BTC,wing,2814843,0.22471523781042235,0.9121462294865885,-4.588184121607415,-3.505615984692608,2.8476337310494713,-12.13693598150103,-12.136935981501024,0.8915534201387798,921.4926878459084,1048.7827827764968,913.3496874694476,127.29009493058848,8.14300037646079,1401.5402626479731
BTC,near,3500047,0.2158002714644373,0.9220358937255995,-4.050590923240895,-2.857325189924989,1.911602845639515,-7.492231744004007,-7.492231744004011,1.2801866263199013,2451.7875376641073,2650.3585416516544,2420.7968205174657,198.57100398754693,30.99071714664173,3119.8194072626843
BTC,at the money,4180474,0.21223656225255028,0.9214208984819292,-4.09121872917572,-2.7529541018359565,1.2183123818591515,-4.938379525386772,-4.938379525386776,0.6776365753341063,4457.560300194629,4689.127197642341,4427.557550836197,231.56689744771194,30.00274935843277,4977.801393833519
ETH,far wing,2031350,0.25234965775995816,0.88449022470593,-6.14025957380594,-6.646289151185157,4.165668415787374,-21.513421567086954,-21.513421567086958,-3.5222683801719112,160.636521568121,204.66750465549492,166.50113852294075,44.03098308737394,-5.864616954819769,517.6688224572875
ETH,wing,1917559,0.22539719320450935,0.913318325217762,-4.519235299642969,-4.21423380186307,2.851926999188868,-12.00652336560023,-12.006523365600227,0.29979335548993014,466.841395561749,530.5409144150626,465.446019322428,63.69951885331363,1.3953762393209934,688.0309858441831
ETH,near,2416419,0.2160593976768139,0.9233332672689617,-3.9806277618472996,-3.4524277461596453,1.9183344610689126,-7.397457616198255,-7.397457616198271,0.8916545393167219,1120.4406595228747,1209.945894227268,1110.5384926423696,89.50523470439315,9.902166880505085,1377.8792006016497
ETH,at the money,2851778,0.21306941607284885,0.9231543843991664,-3.9934174943874448,-3.3441160223828237,1.2168439297014884,-4.820301625249323,-4.82030162524932,0.47670911499519963,2088.5097657192755,2194.2807146710993,2078.600885832143,105.77094895182347,9.908879887132883,2318.1863291041036
SOL,far wing,66571,0.24771935905452586,0.8642896740549276,-7.3213673110966635,-8.647929828897892,4.080583875964487,-24.327551202061514,-24.327551202061507,-10.367455858426112,1.9108532821486912,2.525163798056906,2.13187442178425,0.614310515908215,-0.22102113963555894,4.538851658148691
SOL,wing,85805,0.22367403525274035,0.9210332238982315,-4.104950180578747,-4.0217130228772255,2.8474026482125705,-10.949886391514884,-10.949886391514886,-0.3436532889695809,6.754732133699221,7.585315571181483,6.778025039675247,0.830583437482261,-0.023292905976025388,9.82680891169922
SOL,near,119973,0.22021794778673448,0.902578222514522,-5.107214780118937,-4.750812713082197,1.8984666229085572,-9.338966822825178,-9.338966822825178,-2.314937721185839,19.699186101991543,21.72839356848526,20.166016832507953,2.0292074664937183,-0.4668307305164114,23.45871937499154
SOL,at the money,150570,0.21281303102072902,0.9064299408947437,-4.907199400020493,-4.507202840709141,1.2296420607905474,-5.975854496370525,-5.975854496370534,-1.4288256087773843,38.434177867119566,40.87692332778068,38.99129548216277,2.442745460661113,-0.5571176150432006,44.49276501911956
XRP,far wing,18290,0.2534476487370131,0.8387682644653544,-8.778857238511407,-12.178705967075812,4.062299317847267,-28.86276152961601,-28.86276152961602,-13.641012371628602,0.7861670616857451,1.1051413838801796,0.9103477047100849,0.31897432219443445,-0.12418064302433969,1.9288999616857452
XRP,wing,24673,0.2425020094421262,0.8782700538102887,-6.514801129352487,-8.114273085824736,2.833524268471278,-16.422809115001957,-16.422809115001957,-4.6031699480650445,2.4311110475090025,2.9088212008156673,2.548419110137603,0.4777101533066649,-0.11730806262860075,3.513906647509002
XRP,near,33834,0.23362933227547256,0.8823024486155946,-6.299350537367842,-7.3880591947181165,1.8756883179034807,-11.164661442616552,-11.164661442616564,-3.121306333312479,5.603117632763356,6.307307118713806,5.783642843121894,0.7041894859504495,-0.18052521035853775,7.063926932763355
XRP,at the money,58648,0.20053384027411117,0.8981524721339039,-5.393373114845951,-5.894098385952134,1.211264717380752,-6.47476257481766,-6.474762574817655,-1.7998972829663007,16.345411632891526,17.4770062957257,16.64500461877446,1.131594662834173,-0.29959298588293604,19.71119423289153
